1571063010,0,4,0,"C5,C3,C7,C2;D2,D6,D7,DA;DQ,D4,SA,DJ;C4,C10,SQ,CJ;S4,S6,S7,S8;SK,S5,S3,S9;C8,C6,D8,CQ;C9,SJ,S2,S10;DK,D5,HK,D3;CK,H9,HA,CA;H4,H3,HQ,H2;H7,D10,H6,H5;H10,D9,H8,HJ"
1571063010,0,13,0,"C5,C3,CQ,C2;C6,CA,CJ,C8;D4,D7,D8,DA;D6,DK,D10,DQ;S3,S9,S4,SA;C9,C7,CK,C4;S6,S8,SK,S5;D9,D2,SQ,D5;S7,S2,DJ,SJ;H10,H6,HK,H3;HQ,HA,H4,H2;C10,H7,H5,H9;S10,D3,H8,HJ"
1571063010,0,13,0,"C3,C5,CK,C2;S3,SQ,S5,S4;C7,C9,CA,C6;D5,D9,DK,D6;DA,D4,D7,DJ;C8,C4,SA,HA;S9,S2,S6,S8;CJ,C10,SJ,HQ;CQ,H4,HK,H3;H9,H6,H8,SK;HJ,H2,H7,DQ;H10,D2,S7,S10;H5,D10,D3,D8"
1571063010,0,3,0,"C3,C9,CA,C2;S3,SQ,S7,S2;S6,SK,SJ,S10;D4,D8,D3,D6;CJ,C4,C6,C10;D10,C5,D5,D7;DQ,S4,D2,D9;CQ,C8,S9,C7;CK,H4,S8,H9;DA,SA,HA,DJ;H3,H6,HK,H7;H2,H5,H8,HQ;H10,HJ,DK,S5"
1571063010,0,19,0,"C9,CK,C2,CQ;S10,SJ,S4,S3;SA,SQ,S6,S7;D2,DA,DK,DJ;D5,SK,S9,S5;D7,D4,HA,DQ;C10,C8,C3,CJ;D8,H2,H10,D3;D9,H3,D6,H5;D10,S8,HK,H4;H6,HJ,H8,CA;H7,S2,C7,HQ;H9,C5,C4,C6"
1571063010,0,1,0,"C3,C5,C2,C9;S2,S3,S4,S10;S8,S7,SQ,S5;C7,C6,CA,C4;D2,DA,D8,D7;D9,DK,D10,D6;DJ,D5,DQ,D3;C8,HJ,CJ,C10;H2,H8,H5,H9;H3,H6,H7,HQ;SJ,SK,HA,D4;SA,H4,CK,S6;H10,HK,S9,CQ"
1571063010,0,3,0,"C8,C3,CK,C2;S4,S2,S5,S3;D4,D5,D10,D3;D6,D2,D7,D9;C6,H5,C10,C4;H2,H8,HQ,H10;S6,H7,HJ,H4;S7,S8,SA,SJ;C9,H9,CA,C5;S9,S10,CQ,SQ;DJ,HA,D8,DQ;DA,H6,CJ,DK;SK,H3,C7,HK"
1571063010,0,5,0,"C6,CJ,C2,C4;C9,CK,C5,C8;S2,CQ,C7,C3;S5,S4,S8,SA;D6,D2,D7,DA;D9,DK,D8,D5;D10,D4,HA,D3;S6,S3,SQ,S9;S7,C10,HK,S10;HQ,H5,H3,H2;DJ,DQ,HJ,H10;SJ,H8,H7,H6;SK,H9,CA,H4"
1571063010,0,2,0,"C3,CQ,C2,C5;S4,S2,S10,S3;S8,S7,SK,SQ;C6,C7,C10,C8;C9,C4,DQ,CJ;D3,H2,SJ,CK;H3,HK,H9,H5;D6,DA,HQ,DJ;H4,HJ,H7,D10;D7,S6,SA,S5;H6,D9,D8,H8;HA,S9,D4,H10;DK,D5,D2,CA"
1571063010,0,18,0,"C6,C4,C2,C5;S7,S9,SK,S2;C10,C7,CJ,CQ;D2,DJ,D3,DQ;D4,DA,D6,D5;SQ,S6,S3,C8;D7,D9,C3,D8;CK,S5,S4,HA;DK,CA,H10,HJ;H4,HQ,SJ,H8;H9,SA,S8,H7;H5,H2,D10,H3;HK,C9,H6,S10"
1571063010,0,20,0,"C7,C8,C2,C5;D2,DQ,D9,D5;S4,S3,S2,SA;S8,S7,SJ,S5;D4,D7,D6,D10;CK,C9,C6,C10;D8,H10,D3,DJ;H9,H8,HA,H7;S9,C4,HJ,S6;S10,H3,SK,CA;HK,H6,DK,H4;SQ,C3,HQ,CQ;DA,H2,H5,CJ"
