1571063227,0,0,3,"C7,CA,C2,CK;S4,S3,S5,S7;D3,D7,D2,DA;C8,C6,C4,C3;S6,S9,DK,S8;D10,C9,CJ,C5;DJ,H2,D8,D4;SJ,S2,HJ,S10;SQ,H5,H10,SA;H3,H6,CQ,H8;H7,H9,C10,HK;SK,HQ,D6,D9;HA,H4,D5,DQ"
1571063227,0,1,3,"CK,CA,C2,C3;S6,S5,S10,S3;C4,C8,SA,CJ;D2,DK,D6,D5;C5,C7,HJ,C10;D4,D10,D8,D3;C6,C9,H7,HK;S7,S2,S8,HQ;H3,HA,H10,H2;SK,SQ,SJ,H8;D7,S4,H6,D9;DA,S9,H5,DJ;CQ,H9,H4,DQ"
1571063227,0,4,3,"C3,C5,C4,C2;D2,D8,DA,D7;D5,D4,D10,DK;S4,S5,S10,S2;S8,CA,SQ,C10;D9,C7,CJ,SA;S9,S3,S6,SJ;SK,C6,D3,DJ;H8,C8,S7,CQ;H2,H6,H10,H3;H7,HK,HQ,H4;HJ,C9,CK,H5;H9,HA,D6,DQ"
1571063227,0,0,3,"C4,C6,CK,C2;S4,S2,S3,S6;C10,C7,C5,CJ;D9,D4,D3,DK;D10,D8,D5,DJ;CQ,S10,C8,C3;S7,SK,SA,S5;S9,DQ,DA,D6;SJ,H2,C9,S8;CA,HQ,H10,SQ;H6,HA,H5,H7;H4,H8,HJ,H3;H9,D2,D7,HK"
1571063227,0,5,3,"C3,CK,C8,C2;D2,D5,DK,D6;S5,S10,S2,S6;D10,D9,D7,D4;S7,SA,SK,S8;DJ,S4,HJ,S9;CA,S3,H10,SJ;DA,C4,C5,C6;HQ,DQ,D8,D3;HA,SQ,H5,H8;H2,H4,CQ,H7;H9,CJ,C10,H3;HK,C7,H6,C9"
1571063227,0,4,3,"C5,C9,C10,C2;S6,SJ,S5,S2;S9,SQ,S8,S7;D5,D7,D3,D4;CJ,CA,C6,C4;D6,CK,CQ,C3;D8,C8,HA,S4;H4,HQ,H3,HK;D10,D9,DJ,D2;SK,H7,S3,S10;DQ,H2,H9,DK;H10,H6,H8,HJ;SA,C7,H5,DA"
1571063227,0,0,3,"C3,C5,CA,C2;CJ,CK,C4,C7;D2,DJ,D4,D8;D7,DK,D6,SQ;D9,D5,D10,S3;S4,CQ,S2,C9;S5,D3,DA,H10;HQ,HK,H9,H6;S6,C8,C10,H8;S7,S9,H5,S10;HA,H7,H4,HJ;S8,C6,H3,SK;SJ,DQ,H2,SA"
1571063227,0,5,3,"CA,C3,C2,CQ;S3,S9,S2,S5;DJ,D8,D4,D10;S4,S7,SK,HQ;C4,C6,C5,CJ;DK,DQ,D6,D5;S6,SA,C8,H8;H7,H6,H2,HA;H10,H3,H5,H4;C7,C10,HK,C9;SJ,S8,DA,H9;CK,S10,D3,D9;HJ,SQ,D2,D7"
1571063227,0,13,3,"C7,C6,C2,CA;S2,S6,S3,SQ;C9,CK,C8,CJ;D2,D8,D6,D4;S5,SK,S8,SJ;D7,D9,DJ,D3;C10,C5,C3,CQ;D10,D5,S7,DA;H4,HA,H6,H2;HK,H10,H7,H5;S9,S10,S4,HQ;DQ,HJ,H8,H3;DK,SA,H9,C4"
1571063227,0,1,3,"CK,C6,C2,CA;S2,S5,SJ,SA;S4,SK,HK,S8;H4,HA,H3,HJ;D2,D7,D3,DQ;S7,S6,H10,S9;C3,C9,C8,C7;SQ,S10,H8,DJ;C5,C4,H9,C10;D5,HQ,H7,H6;D6,S3,DK,H5;DA,D10,D8,D4;CJ,H2,D9,CQ"
1571063227,0,0,3,"C5,C10,C2,CQ;S4,S10,S6,SJ;S8,S5,SQ,S2;D4,D7,DA,D3;D8,DK,D6,DJ;SK,S7,HQ,S3;C7,C3,H10,C4;C8,C6,H8,C9;H3,H4,H6,H7;D10,S9,D2,D9;DQ,HA,D5,HJ;CA,CJ,H5,CK;SA,HK,H2,H9"
1571063227,0,3,3,"CQ,C7,C2,C10;D2,D5,DK,D7;S2,SA,S9,S8;S3,CK,C3,C6;D3,D9,D8,C5;S4,CJ,C8,C4;S6,SQ,S10,HK;D4,H7,H3,HQ;D6,HJ,H9,H2;S7,S5,SJ,H10;D10,DQ,H8,C9;DJ,H6,H5,SK;DA,HA,H4,CA"
