1571062068,0,1,1,"CJ,C3,CQ,C2;D2,D6,DQ,D10;S5,SQ,SK,S3;S10,S9,SJ,S4;D4,D8,HA,D9;H2,H10,HJ,H9;H3,H4,C10,H8;CK,SA,C9,S8;DK,D3,D7,H7;DA,D5,C8,H6;HK,S2,C6,CA;H5,DJ,C5,S7;HQ,S6,C4,C7"
1571062068,0,2,1,"CQ,C4,CA,C2;S2,SA,SJ,S8;D2,D10,DK,DA;S4,S5,S6,S3;D6,C8,C10,CJ;D9,D4,HK,D3;DJ,D5,D7,H9;SQ,S9,H10,S7;SK,S10,H5,H8;H7,HJ,H2,H4;H3,HQ,DQ,CK;HA,C3,C6,C5;H6,C7,C9,D8"
1571062068,0,13,1,"C3,C4,C2,C7;S4,S3,SQ,SJ;C6,CK,CQ,CA;D4,D10,DJ,DK;DQ,D7,D5,D8;S5,SA,S10,S7;S8,D2,D3,DA;C10,C8,C9,C5;SK,S6,S9,H10;HQ,HJ,H9,H7;HK,H4,H3,H6;H8,D9,H2,H5;HA,S2,D6,CJ"
1571062068,0,2,1,"CJ,DK,C3,C2;S8,S4,SQ,S5;D3,S6,SA,S2;C4,C9,HA,C7;C6,C8,C5,HQ;D4,D7,DJ,D10;D5,DQ,H10,D2;HJ,H2,H9,H8;D8,D9,D6,H7;C10,H5,H4,H6;CQ,S7,S10,S9;CK,CA,S3,SJ;DA,HK,H3,SK"
1571062068,0,13,1,"C6,C9,C2,C3;S4,S10,SK,SQ;D6,DK,D10,D8;D9,DJ,D2,D7;CQ,C5,S9,CJ;S8,SJ,S2,S7;CK,C10,D5,C8;DQ,C7,D4,HJ;SA,S6,HK,S5;DA,HQ,D3,H10;CA,C4,H9,H7;HA,H8,H4,H6;H2,H5,H3,S3"
1571062068,0,1,1,"CK,C4,C2,C3;S9,SA,SQ,S3;S10,S6,S4,S7;D5,DA,DJ,DK;CQ,C5,CJ,C9;D6,H6,D9,D4;HK,H9,HJ,H2;D8,H4,D2,D3;D10,H10,D7,H3;SJ,S8,HQ,S5;DQ,H7,H8,C8;CA,H5,C7,C6;HA,SK,C10,S2"
1571062068,0,4,1,"CQ,C3,C2,C10;S2,SK,SQ,S9;S6,S3,CJ,SJ;DA,DK,D6,D4;C5,CA,C8,HA;C7,DQ,D2,D9;S8,D3,C6,D8;S10,D5,C4,S7;C9,CK,HJ,HK;SA,D10,H9,D7;H4,H3,H8,H6;H5,HQ,S5,H2;H10,DJ,H7,S4"
1571062068,0,0,1,"C4,CA,C2,C5;S3,S5,SQ,S2;D2,D10,D9,D5;D3,D4,D6,D8;C6,S10,CJ,C9;C7,HK,CK,C3;H4,HA,H9,HJ;S6,S7,S4,SA;HQ,H8,H6,H10;C8,DK,H5,CQ;DQ,D7,H2,C10;SK,SJ,S9,H7;DA,DJ,S8,H3"
1571062068,0,25,1,"C9,CQ,C2,C7;D4,D2,DQ,D10;DJ,D7,D8,D5;S6,S10,SK,SQ;S9,CJ,C10,C3;SA,S5,CA,S8;DK,D9,CK,D6;DA,H5,C8,D3;H7,H9,HA,HK;H2,H4,H10,HJ;H8,S2,S7,C4;H6,H3,S4,C5;HQ,SJ,S3,C6"
1571062068,0,7,1,"C5,C8,C2,C7;S2,S7,SK,S5;S10,S3,SA,S4;SJ,S8,S9,S6;D4,D3,D10,D9;C6,C3,C9,C4;D6,H10,D7,SQ;H7,HJ,HK,H9;DJ,D5,DA,D2;C10,H5,HQ,H8;CJ,CK,H3,H2;CQ,D8,H6,HA;CA,DQ,H4,DK"
1571062068,0,1,1,"CA,C7,C3,C2;S3,SQ,SK,S4;S7,S2,SJ,S5;C4,C10,CJ,CK;D2,D4,D9,DA;DQ,DK,HK,D3;S10,S8,HA,S9;C5,C9,CQ,H10;H5,HJ,H9,H3;SA,S6,D10,H8;C6,DJ,D8,H7;C8,D5,D7,H6;HQ,H4,D6,H2"
1571062068,0,0,1,"CK,C5,C4,C2;S5,S3,SQ,S2;D6,D9,D10,D3;S6,CJ,C10,C9;S7,C6,C3,CA;S9,SJ,SA,S4;DJ,DK,D4,D2;DA,DQ,D8,H9;SK,S10,H10,S8;H8,H5,H6,H3;H7,HJ,H4,CQ;HQ,H2,D7,C8;HK,HA,D5,C7"
1571062068,0,5,1,"C5,CA,C2,C6;S10,SK,SQ,S3;D2,D3,DA,DK;C9,CJ,C8,C7;D4,S2,SA,SJ;D8,DJ,D7,DQ;D9,S7,S6,S4;D10,S8,S9,S5;C10,H10,D5,D6;H5,H6,HQ,H2;HJ,H3,HA,H7;HK,H9,CK,H4;CQ,C4,H8,C3"
