1571062079,0,2,3,"C4,C7,C2,C3;S3,SQ,S10,S5;DJ,D10,DA,D9;C5,S2,CJ,C6;S7,D3,DK,D2;C9,DQ,D7,D4;SA,S6,S9,S4;C10,HK,SK,C8;CQ,H2,HJ,CA;CK,D8,D6,D5;H3,S8,SJ,HA;H4,H6,HQ,H7;H5,H8,H9,H10"
1571062079,0,0,3,"C9,C3,C2,C6;S10,SQ,SJ,S2;D2,DJ,DA,D10;D8,D9,D7,D3;SA,S5,SK,S6;C5,C10,DK,CA;C8,S9,S3,S4;CJ,S8,S7,HA;H6,CQ,HQ,CK;H3,H4,H8,H10;H9,C7,H5,H7;HJ,D5,DQ,H2;HK,C4,D6,D4"
1571062079,0,4,3,"C3,CQ,C2,C9;C4,C7,C8,CJ;D2,DQ,DK,DJ;D6,D3,D5,D4;S3,S8,SA,S7;S4,S2,HA,S5;H3,H4,H7,H6;D7,H8,SQ,D9;D8,H10,HJ,H5;S10,CK,C5,C6;SJ,S6,S9,HK;D10,H2,SK,HQ;DA,H9,C10,CA"
1571062079,0,4,3,"C7,CA,C2,C4;S3,SJ,S9,S2;C9,C5,CJ,C8;S8,SK,S7,S4;D6,D9,DJ,D8;SQ,H9,S5,S6;CQ,C10,C6,HJ;DQ,DK,D10,D5;CK,D2,D4,D3;SA,H3,DA,D7;H4,HQ,HA,H8;H5,HK,H6,H10;H7,C3,S10,H2"
1571062079,0,4,3,"CK,C3,C2,C9;S2,CA,CJ,CQ;S4,SA,SK,S10;S6,S9,DJ,S5;S8,SQ,C7,S3;D2,D9,D7,DK;D5,H6,C6,C4;H5,H10,H3,H4;DA,DQ,D3,D10;SJ,S7,D4,C10;HJ,H2,HA,C8;HQ,H9,D6,H7;HK,D8,H8,C5"
1571062079,0,5,3,"C6,C3,C7,C2;D4,D2,DJ,D9;S4,SK,SQ,S2;D8,DA,D10,D6;DQ,D3,D7,D5;S7,S6,S10,S5;CA,C8,CQ,C5;S8,S3,S9,HQ;H7,HK,HJ,H3;H8,H6,H5,H10;SJ,CK,C4,CJ;DK,H2,H9,C10;SA,H4,C9,HA"
1571062079,0,5,3,"C4,C8,C2,CK;CJ,CA,CQ,C6;D2,DK,DA,DQ;S4,S10,SK,S2;S6,H3,S9,S3;S7,H8,SQ,S5;H2,HK,HA,HJ;D3,D5,D8,D6;D10,DJ,C10,D7;SJ,C9,C7,C5;SA,D9,S8,H7;H5,C3,HQ,H6;H10,D4,H9,H4"
1571062079,0,0,3,"CK,CJ,C2,C9;S5,SJ,SK,S4;S8,S9,SA,S2;D2,SQ,S10,S7;C3,C4,C8,CA;D3,D9,DA,D7;C7,C6,CQ,C5;D4,D6,DQ,D10;DJ,H6,HA,D5;C10,H3,H9,HK;DK,H4,D8,HQ;HJ,H10,H8,S6;H7,H5,H2,S3"
1571062079,0,0,3,"CJ,C9,C2,C3;D3,D9,DJ,DQ;S4,S7,SK,S2;S6,C7,SQ,S5;SA,C6,S10,S3;D4,D2,D10,D5;CQ,C8,C10,C4;D6,D7,S9,H9;DK,D8,H10,CA;DA,H8,H6,CK;H3,HJ,H5,SJ;H7,HK,H4,S8;HA,HQ,H2,C5"
1571062079,0,0,3,"C4,CA,C2,C3;D2,D7,D3,DJ;D6,D10,CK,D5;D8,D4,CQ,DA;S3,C6,CJ,C5;S7,S4,SQ,S2;S9,SJ,S10,S6;D9,DQ,C8,DK;SK,HQ,S5,S8;SA,H4,HK,HA;HJ,H7,H3,H9;H8,H10,H2,C10;H6,H5,C7,C9"
1571062079,0,20,3,"CA,C3,C2,S2;C6,H9,CJ,C10;D4,D9,DK,DQ;D6,D3,DJ,D5;S5,S3,SQ,S10;C8,H6,C4,C5;S7,SK,S9,S8;D7,D8,C9,D10;H8,H4,HK,H10;SJ,HA,SA,H3;CQ,HQ,HJ,S6;CK,H5,H7,S4;DA,H2,D2,C7"
