1571062116,0,16,3,"C10,CA,C2,C5;S4,C7,C8,CQ;D9,D3,DK,DA;DQ,D4,D5,DJ;S6,S7,SQ,S8;S10,C9,C4,C6;SK,D8,D7,HJ;H4,H3,HQ,SA;H7,H5,CK,H2;HK,H10,CJ,S5;HA,H6,SJ,C3;H8,D2,D10,S3;H9,D6,S9,S2"
1571062116,0,0,3,"C3,DQ,C2,C6;C4,CK,D10,CQ;S2,S4,S8,SJ;C5,CA,D8,C7;C8,C9,S7,CJ;D2,D5,D7,D9;SQ,S9,S6,S10;D6,H8,D3,DJ;H3,HK,H5,HQ;DK,SK,S5,HJ;H6,SA,S3,H4;H9,H7,H2,DA;H10,HA,D4,C10"
1571062116,0,13,3,"C4,C3,C2,C7;S2,S10,SQ,SJ;C6,DJ,C8,C10;D2,D10,D8,DA;D3,DQ,H10,D5;S4,S7,S8,S3;D9,D4,H9,D6;S5,SK,HA,H8;S6,S9,HJ,H7;HQ,HK,H5,H4;CJ,H3,DK,CA;CQ,H6,C9,CK;SA,H2,D7,C5"
1571062116,0,15,3,"C4,C3,C2,CQ;S3,S8,SA,SJ;C10,CK,C7,CA;D5,D6,D10,DQ;DJ,D8,D9,D7;S5,S4,SQ,S6;S10,D4,S2,S7;SK,HK,S9,HJ;DK,C5,HA,D3;DA,C9,H7,D2;H8,H10,H6,H9;H2,C8,CJ,H5;HQ,C6,H4,H3"
1571062116,0,0,3,"CK,C7,C2,C4;C5,CJ,C8,C6;D5,D6,DA,DQ;D10,DJ,D9,D2;S4,SA,SQ,SK;C9,C10,C3,HK;S5,D7,D4,D3;H2,H10,H8,H7;H3,HQ,H5,SJ;HA,HJ,DK,S10;S6,H9,S3,S2;CQ,H6,D8,S9;CA,H4,S7,S8"
1571062116,0,0,3,"C7,C3,C2,CQ;D6,D8,D2,D9;S2,D10,CA,D3;S4,S5,SJ,S8;CJ,S3,C9,C4;S9,S7,C10,S6;S10,SK,C8,SA;SQ,DQ,C6,D4;H10,D7,C5,D5;H2,H8,HQ,HA;HK,DJ,H9,DA;H7,HJ,H6,DK;H4,H3,H5,CK"
1571062116,0,1,3,"C5,CA,C2,CQ;S8,S3,S7,S4;D2,D10,D8,D9;D7,DJ,D6,D5;S10,SQ,SJ,S6;C7,CK,C10,CJ;SK,S2,S5,HA;C8,H8,C9,C6;H2,HK,H9,H3;H5,H10,H4,H7;DQ,S9,HQ,C4;DK,D4,HJ,D3;DA,SA,H6,C3"
1571062116,0,19,3,"C6,C7,C2,C5;S2,S10,SA,SQ;CA,C10,CJ,C3;D3,D4,CK,DQ;S3,S6,S9,S4;D6,H2,C8,C4;DJ,SK,S5,SJ;DK,D9,CQ,D10;H7,H10,HQ,H6;H8,HK,H4,H3;HA,D7,H5,DA;H9,D5,S8,S7;HJ,D2,D8,C9"
1571062116,0,1,3,"C8,C10,C2,C4;S3,S9,SJ,S2;S7,S4,SK,S6;SQ,HQ,S8,S5;D2,D6,DA,DJ;C5,C9,CJ,C7;HJ,H9,H10,HK;SA,DQ,H8,S10;D8,D5,DK,H7;HA,D7,H6,H2;D10,D3,D9,H5;CQ,C6,H3,CA;CK,C3,D4,H4"
1571062116,0,4,3,"CA,C10,C4,C2;S4,S2,SJ,S5;SQ,S3,S9,S6;D3,D10,DA,DJ;D6,D2,HK,D5;C5,C3,CK,CJ;D7,C8,H8,C6;H2,H10,HA,H5;H3,H7,H4,H6;D8,HQ,HJ,SA;D9,C9,C7,SK;DQ,D4,CQ,S10;DK,S8,H9,S7"
1571062116,0,17,3,"C3,C5,C2,CQ;S2,S10,SK,SQ;C8,CA,CJ,CK;S3,S8,S9,S7;D3,DQ,D6,DA;D9,D4,D2,D5;S6,S4,D10,S5;C10,H6,C6,C9;DJ,H2,D8,HQ;DK,H8,D7,H9;H7,H4,HK,H5;HJ,SJ,C7,H3;HA,SA,H10,C4"
1571062116,0,5,3,"C3,CQ,C2,C8;S5,S10,SJ,S2;S8,S3,SK,S4;SQ,SA,S9,S6;D3,DQ,D8,DJ;D4,D5,D7,DA;C4,HJ,C10,C9;H3,H5,H9,HQ;C7,D9,H8,D2;HK,H10,S7,H7;CJ,DK,C5,CA;HA,H4,C6,H6;CK,D10,D6,H2"
