1571062120,0,0,2,"C9,C6,C2,C4;S2,S4,SQ,SJ;S3,S8,SA,S5;C3,CJ,CQ,C8;D9,D2,DA,D5;DJ,D10,D7,D8;S10,S7,C7,S9;SK,H3,D4,S6;CK,C10,HA,H10;HK,H4,HQ,H8;H2,D6,H5,H6;H7,CA,D3,DK;H9,C5,HJ,DQ"
1571062120,0,1,2,"C3,C6,C2,CJ;SK,SQ,S9,S10;D4,D2,DA,DK;C7,CQ,C4,CK;D9,H9,D8,D10;H3,H2,H6,H4;DJ,SJ,D3,D7;C8,C5,C10,CA;C9,S3,S8,S6;DQ,S7,S5,S2;H7,S4,HK,SA;H8,H5,HJ,D6;HQ,HA,H10,D5"
1571062120,0,18,2,"C8,C6,C2,C5;S4,SK,SA,S2;C7,CJ,C10,C4;C9,CQ,C3,HK;S10,S7,SQ,SJ;D5,D2,D8,DK;D10,D3,DA,DQ;H3,HJ,HA,HQ;H6,D9,H8,H2;DJ,S9,S5,S8;CK,D6,D4,H10;CA,S3,S6,H7;H9,D7,H4,H5"
1571062120,0,10,2,"CA,C6,C3,C2;S6,S10,SJ,S3;S7,SQ,DA,S2;C10,C7,CK,C9;D5,D9,D2,DQ;D6,DK,HK,D3;D7,D10,D4,HQ;S8,S5,HJ,S9;CQ,CJ,C4,C8;SK,S4,DJ,SA;H5,H7,H9,H6;H8,H2,H4,C5;HA,H10,H3,D8"
1571062120,0,1,2,"C10,C5,C3,C2;S6,S4,SJ,S3;S7,SQ,S8,S2;D2,D8,D9,D6;D4,D3,HK,D5;H5,H4,HJ,H6;CA,C7,C9,CQ;D7,DQ,C8,H3;D10,DJ,H10,H2;HA,H7,H9,CJ;SK,SA,H8,S10;DK,HQ,C6,S9;DA,CK,C4,S5"
1571062120,0,2,2,"C5,CK,C2,C7;S2,SJ,SQ,S4;D4,D7,DA,D3;C9,CJ,C4,C6;D5,D2,DK,DQ;S7,S10,S9,S5;C10,C8,SK,CA;SA,HK,S6,S3;D9,C3,D8,H10;D10,H3,D6,H7;DJ,HJ,HA,H4;H9,H5,H6,H2;H8,CQ,HQ,S8"
1571062120,0,4,2,"C5,C4,C2,CJ;S4,S3,S9,S8;D4,SJ,S7,S5;D5,DK,CK,D8;D9,D7,CQ,D6;DJ,D10,C10,D3;DQ,D2,C9,DA;CA,S10,C3,C7;H7,H6,HA,HJ;H8,S2,SA,S6;H3,HQ,H5,H10;HK,SQ,H4,H2;H9,SK,C6,C8"
1571062120,0,0,2,"C3,CJ,C2,C9;C5,CA,C7,C10;S2,S7,SA,S10;D3,D10,DQ,DJ;D4,DK,D9,D5;S3,S6,S4,S9;C8,D8,D2,D6;CQ,C4,C6,HA;SK,HQ,SQ,HJ;CK,H7,H4,H10;H2,H6,SJ,H3;H5,H9,S8,DA;HK,H8,S5,D7"
1571062120,0,0,2,"C5,C7,C2,CK;S5,S2,SK,S9;C8,C6,C10,C4;SA,S7,SQ,S3;D4,D9,D7,DJ;D5,D2,SJ,D3;D6,DK,S8,D10;C9,S10,C3,S4;CJ,CQ,HK,HA;DQ,DA,HQ,D8;H8,H10,H7,H6;HJ,H9,H3,H5;CA,S6,H2,H4"
1571062120,0,0,2,"CJ,C9,C4,C2;S5,S9,SK,S7;SJ,S6,SA,S3;C8,C5,CQ,C10;D3,S8,DK,S4;D4,S2,DQ,SQ;DJ,C3,D9,S10;CK,C6,C7,CA;HJ,D10,D5,DA;H3,HK,H5,HQ;H6,H4,D8,H2;H8,H7,D7,HA;H9,D2,D6,H10"
1571062120,0,1,2,"CK,C7,C3,C2;S6,S5,SQ,S2;D5,DA,DK,D3;S7,C5,CQ,C10;D10,D9,D8,D2;S8,S3,SA,HQ;H7,H3,H10,H2;S9,CA,HA,C9;S10,C4,H5,C8;H8,HK,D7,H9;SJ,CJ,D6,H6;SK,DJ,D4,DQ;HJ,C6,S4,H4"
1571062120,0,1,2,"C3,C8,C2,CJ;S5,SA,SJ,S7;D3,D8,DA,D5;SQ,S10,S3,S4;C4,C10,C5,C9;C7,S2,S8,HK;H5,HA,HJ,H9;DQ,D2,DJ,H10;CQ,SK,S9,C6;CK,H6,D9,H8;CA,D10,D7,H4;H7,DK,D6,H3;HQ,S6,D4,H2"
1571062120,0,4,2,"C3,C7,C2,DQ;D5,D7,D3,DK;C9,D4,CQ,C4;S6,S10,S4,S2;DA,DJ,D2,D9;S7,H2,S3,SA;CA,D6,CJ,CK;SJ,D10,S5,HA;SQ,H6,S8,HJ;H3,H4,HQ,H8;H7,D8,C10,C5;H9,H5,SK,C8;H10,HK,S9,C6"
1571062120,0,0,2,"C6,CK,C2,CJ;S3,S4,S7,S8;S5,S6,SA,S9;C10,C7,C9,C3;D3,D9,D8,D4;SQ,S2,SJ,SK;D5,C8,C4,C5;D10,D2,D7,HA;DJ,DQ,D6,HQ;H3,H9,H8,HJ;H4,H2,H7,H10;DK,HK,H6,CA;DA,S10,H5,CQ"
1571062120,0,21,2,"C4,CK,C2,C10;S2,S4,SK,S7;D4,D9,D3,D2;C5,CJ,C7,C9;CA,C8,C6,C3;S5,S6,SA,S10;S9,CQ,S8,SJ;H7,H5,H4,H8;HA,H3,H2,H9;D8,DQ,HK,D10;SQ,H6,H10,D7;DK,D6,D5,HJ;DA,DJ,S3,HQ"
1571062120,0,1,2,"C7,CQ,C2,C4;S2,S8,S10,SJ;S4,S9,S7,S3;D2,D7,DK,DJ;SQ,H7,S6,S5;D3,D10,D4,D9;CK,CJ,C3,HA;D5,H3,H8,D8;DQ,C9,H6,D6;DA,HJ,CA,HK;H9,H2,C10,H5;H10,HQ,C8,SA;H4,C5,C6,SK"
