1571156544,0,18,1,"CA,C3,C2,C4;C7,C9,C5,CK;DK,D8,D2,D6;S4,S9,SK,S2;DA,D9,D7,D4;S6,H6,SQ,S5;H3,H5,H9,H2;C10,HA,S3,S7;CQ,CJ,C6,C8;HQ,H4,HK,HJ;H7,D5,DQ,D3;H8,DJ,S8,SJ;H10,D10,S10,SA"
1571156544,0,20,1,"CA,C4,C3,C2;S4,S10,S3,S5;SJ,SK,S7,S8;C8,C7,CK,C5;D3,D7,D5,DQ;D4,DA,D6,D2;DK,D9,DJ,HK;CJ,C6,CQ,C9;SQ,HQ,H9,D8;H6,H3,H4,H5;SA,S2,HA,S9;H8,H2,HJ,H7;H10,S6,C10,D10"
1571156544,0,0,1,"CA,CQ,C3,C2;S5,S3,S2,S4;D4,D8,D2,D3;S10,S7,SK,SJ;C8,S6,SQ,S8;D9,DQ,C10,D5;CJ,C4,C9,HA;DJ,H2,HJ,D6;CK,C6,C7,HQ;DA,H6,H10,D7;HK,H3,H4,SA;H8,H5,S9,DK;H7,H9,C5,D10"
1571156544,0,2,1,"C6,C3,C2,CK;D4,DJ,D10,D8;S3,S5,SK,S9;D9,D7,DQ,D5;C4,SJ,C10,C7;DK,D6,DA,D2;CQ,HA,C5,CJ;S7,S6,SQ,SA;H4,HQ,H3,H2;H6,S10,S8,HK;H5,H10,C9,H7;HJ,S2,S4,H9;H8,D3,CA,C8"
1571156544,0,8,1,"C4,C3,C2,CA;D3,D10,DJ,D8;S3,S2,S10,S4;C5,H7,CK,C6;S8,S7,SJ,S5;D4,H5,CQ,C7;S9,D9,SQ,S6;H2,H6,HK,H8;D7,D2,DA,D6;DQ,D5,C9,C8;SK,H4,HJ,SA;H9,H10,CJ,H3;HA,DK,HQ,C10"
1571156544,0,0,1,"C3,C6,C2,C7;S3,SK,SA,S9;S4,H4,SJ,S2;D9,D7,DJ,D3;S6,HQ,H10,S5;S8,HK,S7,H9;C10,C5,C8,C4;CJ,H7,D10,C9;SQ,D6,S10,H6;CQ,H5,H8,CK;HA,HJ,H2,H3;DK,D2,D8,DQ;DA,D5,D4,CA"
1571156544,0,4,1,"C5,CK,C2,CA;C9,C4,C7,C8;D2,DK,DQ,D4;C10,C6,C3,HK;D5,D9,DJ,D6;S8,S3,S2,S4;D7,D3,D8,DA;SK,S6,SQ,S5;D10,H2,SJ,HQ;CJ,CQ,HA,HJ;H5,H3,H10,H6;SA,H7,S7,S9;H9,H4,S10,H8"
1571156544,0,26,1,"CA,C5,C2,CJ;C4,CK,C6,C8;S5,S3,DA,S2;D2,D3,DQ,D7;D4,SA,D8,D5;S8,S9,DJ,S4;S10,S6,D10,S7;C9,C3,D9,C7;C10,H9,D6,SQ;SJ,H3,HA,HQ;CQ,H6,HK,H10;SK,H2,HJ,H5;DK,H7,H8,H4"
1571156544,0,0,1,"CK,C4,C5,C2;S4,S2,S5,S3;D4,D2,DK,D5;S7,S6,S8,SJ;C9,C8,C6,C10;S10,DJ,D9,D8;CQ,DQ,D3,DA;SK,SQ,C7,S9;SA,H10,D6,HA;H7,H8,H5,H2;H6,D10,H4,HJ;HK,D7,H3,CA;HQ,H9,C3,CJ"
1571156544,0,0,1,"C7,CA,C2,C9;S2,C5,S3,S4;S9,HK,S7,S5;D5,DA,DQ,D2;CQ,C8,C6,CK;H2,HJ,H10,H4;D9,DK,D8,D4;D10,C4,C3,SA;SQ,C10,S10,H8;H9,DJ,D7,H5;H7,CJ,H3,SK;H6,D6,D3,SJ;HA,HQ,S6,S8"
1571156544,0,0,1,"CQ,C3,C2,CJ;S2,S8,S6,S5;C4,C8,SA,C6;D2,D7,D6,D10;C5,C7,SK,C9;D3,CK,SJ,C10;S3,S7,S10,SQ;D8,DA,D5,DQ;D9,DK,D4,HJ;H7,HA,HQ,H2;H10,HK,H6,H8;S4,H3,H4,H9;DJ,H5,S9,CA"
1571156544,0,4,1,"CQ,C3,C9,C2;S7,SK,S3,SJ;D5,DA,D10,D2;S9,S5,SA,S6;CJ,C5,C7,C10;DQ,D4,D9,D3;DK,HK,D6,DJ;H7,H9,HA,H6;H3,S2,H8,H2;HQ,C6,C4,C8;HJ,CA,H10,CK;H5,S4,D8,S10;H4,S8,D7,SQ"
1571156544,0,17,1,"C6,C9,C2,C3;S2,SK,SA,S5;S3,SJ,S7,S4;D3,D6,DQ,D4;S6,C5,S9,S8;D7,D8,D10,D5;CJ,C10,SQ,CK;DJ,C8,D9,D2;DK,C7,C4,DA;H6,CA,HK,S10;H2,H3,H10,H4;HJ,H7,H8,H5;HA,CQ,H9,HQ"
