1571156547,0,4,3,"CK,C4,C6,C2;C7,C9,SA,CQ;D2,D10,D4,D8;C8,C5,C3,SK;D6,DA,D5,D7;CJ,CA,C10,H10;DQ,D3,SQ,H5;H2,H6,H9,H3;H8,S10,H4,H7;HA,S4,SJ,S9;HJ,DK,S8,S6;HQ,DJ,S7,S5;HK,D9,S2,S3"
1571156547,0,4,3,"CA,C5,C2,C10;S4,S7,SA,S2;C3,C7,C9,C6;D3,S5,H8,S3;D8,S6,S8,H5;DJ,S10,H2,S9;H4,H3,HA,DA;DQ,SQ,DK,SJ;CQ,D6,D2,D7;CK,H6,C4,C8;H10,HK,HJ,CJ;HQ,D5,H7,D9;H9,D4,SK,D10"
1571156547,0,2,3,"CA,C6,C5,C2;S2,S8,S9,S3;D9,DA,DQ,D7;S4,SQ,S10,SJ;CQ,C9,C7,C10;S6,H4,S5,HA;D10,DK,D8,DJ;CK,C4,C3,CJ;SK,D3,S7,HK;SA,C8,H2,HJ;H7,H6,D6,H5;H3,HQ,D5,H8;H10,D2,D4,H9"
1571156547,0,0,3,"CA,C3,C4,C2;S7,SQ,S8,S3;C5,CQ,CJ,C7;D6,C9,C6,HJ;SJ,CK,HQ,H8;DJ,D8,D7,D2;DQ,D5,D3,D4;DK,H9,SA,D9;DA,C10,H5,D10;HA,HK,H3,H6;H4,S2,SK,H7;H2,S6,S4,S9;H10,C8,S5,S10"
1571156547,0,0,3,"CK,C7,C2,C5;D7,DA,D2,D10;DQ,D4,D8,D3;S3,S9,SK,S2;S4,S10,S6,S5;C6,C4,SQ,C8;S7,D6,SJ,D5;CQ,CJ,HA,C10;S8,HK,H10,SA;H8,H4,H7,H9;CA,H2,H6,D9;HQ,C9,H5,DJ;HJ,C3,H3,DK"
1571156547,0,4,3,"CK,C3,C4,C2;D4,D10,D3,DK;S5,D2,D5,DQ;S6,S3,S7,S2;C6,CJ,SQ,C5;S9,SK,S4,HA;H8,H9,HQ,H3;C7,H4,H5,H2;C8,HK,H10,H6;C9,H7,SA,DA;C10,S10,S8,DJ;CQ,D7,D6,D8;CA,HJ,SJ,D9"
1571156547,0,4,3,"CJ,C10,C2,C4;D2,DJ,D3,DK;D4,D6,D8,D10;C5,C9,CA,C3;S4,S10,SA,S2;CQ,HQ,SK,C6;D5,HK,D7,DQ;H9,H6,H10,H4;S5,H7,H8,H2;SQ,SJ,H5,S6;D9,S3,H3,HJ;CK,HA,C7,S9;DA,S8,C8,S7"
1571156547,0,4,3,"CJ,C9,C8,C2;D4,D2,D6,DJ;DK,HQ,D9,D3;S2,S5,SA,S3;C10,CQ,CA,C3;S10,S8,D8,S4;SJ,S6,D7,S9;SQ,S7,C7,SK;H2,H8,HK,H5;H3,H10,HA,H4;HJ,C4,D5,D10;H6,CK,C6,DQ;H9,H7,C5,DA"
1571156547,0,4,3,"C5,C10,C2,C4;D2,D4,DQ,D5;CK,CQ,C6,C9;D3,S9,D8,D9;S4,H4,C3,C7;H2,HJ,HA,H7;H6,H10,H9,H5;S6,S3,SQ,SA;D6,H3,D7,D10;DJ,SK,HQ,DK;S10,S2,C8,CJ;SJ,S8,H8,HK;DA,S7,S5,CA"
1571156547,0,3,3,"C3,CJ,C2,CQ;D3,D2,D8,D4;S3,S9,SQ,S2;DJ,D5,S8,D6;S5,SK,S7,SA;C5,H8,C4,C8;C6,H7,HA,H2;C7,HJ,H3,H4;SJ,S6,S4,H5;C9,D7,HK,C10;DQ,D9,HQ,D10;CK,S10,H10,DA;CA,H9,H6,DK"
1571156547,0,0,3,"CA,C4,C3,C2;D3,D7,D2,DA;CK,HK,C6,C5;S6,SQ,HJ,S4;S9,S8,H9,S10;H3,HQ,H4,H2;D6,D5,D9,D4;DJ,S5,C7,C8;SK,SJ,CJ,C9;H6,S2,DK,H5;H7,S3,DQ,H10;H8,D8,C10,CQ;HA,S7,D10,SA"
