1571156552,0,0,2,"C10,C8,C2,C4;S2,S10,S9,S3;D4,DA,DK,D5;C9,C5,CK,CA;S4,SJ,CQ,S6;CJ,C6,D8,SQ;S5,DQ,D6,SA;D10,D9,D3,D7;S7,D2,HA,HQ;S8,C7,H10,H8;DJ,HJ,H9,H7;SK,C3,H6,H4;H3,HK,H5,H2"
1571156552,0,0,2,"C3,CJ,C2,CQ;D2,D5,DA,D4;S3,S4,S2,S8;D6,D9,DJ,DK;D8,DQ,SQ,D3;S6,CK,C10,C5;SJ,S9,C9,S5;D10,HK,D7,HJ;SK,H3,H10,S7;SA,HA,H6,S10;H5,H9,H4,H7;H2,C7,C4,C6;HQ,CA,C8,H8"
1571156552,0,4,2,"CA,C4,C2,C9;S4,S9,S7,S3;D6,DJ,D4,D2;C6,C3,CJ,C5;S8,S10,SQ,S5;DK,D5,D3,D8;CK,CQ,C10,HQ;SA,SJ,SK,H8;HK,H9,HA,H5;H3,D7,H6,H2;H4,D9,HJ,D10;H7,S2,C8,DQ;H10,C7,S6,DA"
1571156552,0,4,2,"CJ,C3,C5,C2;S3,S2,S4,S5;SJ,S9,S6,S8;D4,DA,DQ,D3;D8,DJ,D7,SQ;C6,C9,S10,C4;C8,C10,D6,C7;D10,DK,D2,HJ;H3,H5,HQ,H9;H4,H10,CK,H2;SA,D5,H8,SK;CA,D9,H7,CQ;HA,HK,H6,S7"
1571156552,0,13,2,"C4,CA,C2,C3;C9,C6,C7,CQ;D3,DK,D2,DA;D4,D9,D5,D10;C10,C8,CJ,C5;S5,SA,SK,S2;S6,S10,SQ,S9;D7,H5,D8,D6;H3,HJ,H10,H2;DQ,S4,S7,SJ;H8,HQ,H9,H6;CK,S3,H7,HA;HK,S8,H4,DJ"
1571156552,0,0,2,"CQ,C3,C6,C2;S3,S10,S6,S4;S9,S2,S5,SJ;C10,CJ,C8,C4;D7,S8,DQ,SQ;DK,D3,DJ,D9;CK,H2,C5,C9;DA,D4,D8,HQ;CA,H6,C7,HJ;HK,H5,H9,H7;HA,S7,H3,H10;H8,D10,D5,SA;H4,D6,D2,SK"
1571156552,0,20,2,"C8,CJ,C2,C9;D3,CQ,C7,C5;S3,S8,SQ,S2;D5,D2,D4,DA;DJ,D10,D7,DK;S7,C6,C10,C3;DQ,S5,D6,D8;S9,S4,S10,SJ;SK,H8,S6,D9;H2,HJ,HK,H4;H3,HQ,H9,H6;H7,H5,H10,CA;SA,HA,CK,C4"
1571156552,0,17,2,"C9,C7,C2,C3;S2,SJ,SA,SQ;S5,C4,C8,C6;D5,D9,DQ,D7;DK,D3,DA,DJ;S8,D6,C5,C10;S9,H3,S10,CJ;H4,H9,HK,H2;H5,H10,HJ,H6;H8,D4,S7,CQ;HQ,D10,S6,CK;HA,D8,S3,SK;H7,D2,S4,CA"
1571156552,0,18,2,"C3,C6,C2,S5;S2,SQ,SK,S3;C7,H6,C5,CK;D4,D10,D2,D8;D7,DA,D6,D3;DK,DJ,SJ,D5;S8,S6,S4,S7;C9,H5,CJ,C8;S9,H10,H2,H3;S10,HK,HA,H8;CQ,HJ,HQ,H7;CA,DQ,H9,D9;SA,H4,C4,C10"
1571156552,0,5,2,"C7,C4,C2,C10;S10,SA,S4,S3;D2,D4,DA,D3;C5,S6,S5,S2;D6,S7,CK,S9;D8,H10,DJ,D7;H3,H6,H2,HQ;CA,H4,C8,C3;DQ,HK,D5,D10;DK,S8,D9,HA;H8,H7,CJ,H5;H9,SK,C9,CQ;HJ,SQ,C6,SJ"
1571156552,0,0,2,"C10,C3,C5,C2;D7,D2,D3,DQ;S3,CK,C6,C4;D9,D4,SQ,D5;S7,SK,SJ,S2;DJ,D8,S10,D10;S9,S4,S5,S8;SA,S6,C9,HJ;DA,D6,HQ,DK;H8,HA,H10,H7;H4,H6,H2,CA;H5,H3,C8,CQ;HK,H9,C7,CJ"
