1571156564,0,4,3,"CA,C6,C3,C2;S3,S8,S6,S5;C5,CQ,C9,CJ;S4,SK,SJ,S7;C7,D6,DQ,D3;C8,D4,D7,DJ;S9,DK,D8,D2;S10,SQ,D10,SA;C10,S2,C4,CK;H6,D9,D5,DA;H3,H7,H10,H5;H8,H9,HJ,H2;HA,HQ,H4,HK"
1571156564,0,13,3,"C10,C7,C2,C6;S2,SJ,S10,S6;D8,D2,DA,D9;S5,SA,S9,S7;DJ,D5,DK,SQ;DQ,D6,H6,D4;CJ,C9,HA,C3;CQ,H9,HQ,C4;SK,S4,S8,H3;H10,H8,H4,CA;HK,H5,H2,CK;H7,D3,D10,C8;HJ,S3,D7,C5"
1571156564,0,0,3,"CA,C4,C2,C10;S2,S5,S9,S4;D2,DJ,D10,D4;SQ,S3,SJ,S10;D3,D5,D6,D7;C6,C5,C9,C8;C7,DK,CJ,C3;DA,HA,S7,D8;SK,S6,HK,SA;H10,H6,HQ,D9;H9,HJ,H5,DQ;H8,H7,H4,CQ;H2,S8,H3,CK"
1571156564,0,7,3,"C5,C9,C2,DQ;CJ,DK,C6,C4;D4,D2,D7,DJ;SK,S4,SQ,S3;D8,DA,D6,H8;H4,HQ,HK,H3;CK,S2,C7,C3;D10,D9,D5,SA;CA,D3,S9,C8;H10,H7,HJ,CQ;H5,S6,C10,H2;HA,SJ,H9,S10;H6,S8,S7,S5"
1571156564,0,13,3,"CQ,CJ,C2,C8;S3,S6,SQ,S2;CK,C3,C5,C4;D4,D5,DA,D2;D10,DJ,D7,D6;S8,S5,SJ,S9;SK,S4,SA,S7;CA,C9,S10,C6;DK,D8,HA,D9;HJ,H7,H8,H2;H10,HQ,H6,DQ;HK,D3,H5,C10;H4,H9,H3,C7"
1571156564,0,4,3,"CQ,C3,C2,C7;S4,S2,S5,S6;S10,SQ,S8,S7;C4,S3,CJ,S9;D8,D5,D6,D7;C6,C5,C8,C9;D10,D9,D4,DQ;C10,H4,D3,SJ;H6,H7,H9,H2;H10,HJ,HQ,H3;DA,DJ,H8,SK;HA,CK,H5,CA;HK,DK,D2,SA"
1571156564,0,4,3,"CA,C7,C2,C5;S3,SA,S2,S4;D2,D9,DJ,D8;S9,H9,S5,S8;C3,CJ,C4,CK;H6,HK,HQ,H2;H10,H3,HJ,H5;D3,DA,DQ,D5;D4,D6,CQ,DK;S10,H8,C10,S6;D10,D7,C9,SQ;SJ,H7,C8,S7;SK,H4,C6,HA"
1571156564,0,18,3,"CJ,C3,C2,C6;D5,D4,DA,D2;C4,C7,CQ,C8;S3,S6,SQ,S4;S5,SA,S7,S2;C5,D8,DK,D9;C9,D6,DJ,D3;C10,S8,S10,S9;H3,D7,HJ,D10;H6,HA,H2,H5;H7,H8,HK,CA;H10,H4,SK,H9;HQ,SJ,DQ,CK"
1571156564,0,0,3,"C10,C6,C2,CK;DQ,D7,DA,D3;S2,S9,S3,S4;C3,C4,SQ,C8;S7,SJ,S10,S6;C5,D4,D10,D9;S8,HJ,HA,S5;C7,C9,H7,CQ;H5,H8,H4,H9;H6,HQ,H3,H10;SK,D2,D5,DJ;SA,H2,D6,DK;HK,CJ,D8,CA"
1571156564,0,4,3,"C4,C3,C2,C5;C7,C10,SQ,C6;S2,S7,SA,S4;D4,DJ,D7,DA;D9,D3,D10,D2;CQ,CJ,DQ,C8;S8,S3,S9,SJ;CA,CK,D8,C9;S10,S5,S6,SK;H10,D5,D6,DK;H2,H3,HA,H7;H5,H6,H9,H4;HJ,HQ,H8,HK"
1571156564,0,5,3,"C3,CA,C2,C9;S4,SQ,S3,S2;S8,S7,SJ,S5;C6,C4,CK,CQ;D4,D10,D8,D2;D7,SK,S9,S10;DQ,D6,D5,D9;C7,C5,C8,HJ;H2,HQ,H6,H3;C10,S6,HA,SA;H4,H5,H9,H7;HK,H10,DK,H8;CJ,DA,D3,DJ"
1571156564,0,17,3,"CQ,C3,C2,CA;S5,SJ,SK,S7;D3,C7,C5,C9;D7,D4,D5,DJ;D8,DQ,D6,D10;S6,S4,SQ,S8;DK,D9,H10,D2;DA,S2,HA,H8;H5,H2,H9,H4;H7,S10,SA,S3;H3,HQ,S9,H6;HK,CJ,C6,C8;HJ,CK,C4,C10"
1571156564,0,1,3,"C3,CA,C2,C9;C5,C4,C6,CQ;D4,D9,D2,DJ;DA,D5,D3,D10;S5,S7,SA,S3;S9,S8,S10,S2;C7,HJ,CJ,C8;H3,H10,H7,H2;C10,S6,S4,SJ;H6,HK,H5,H8;H9,HQ,SQ,DK;HA,H4,SK,DQ;CK,D7,D6,D8"
1571156564,0,4,3,"C4,C5,C2,CA;D2,D6,DK,D3;C9,C6,C7,CK;C10,CQ,C8,C3;D8,D9,SQ,D4;S3,S4,SA,S2;S5,H7,S6,SJ;S7,H2,H3,H4;S10,H5,H9,H6;D10,DJ,HA,D5;CJ,HQ,H10,S9;DQ,HJ,H8,S8;DA,HK,SK,D7"
