1571156771,0,13,2,"C4,C3,C2,C9;D3,DJ,D10,D5;S8,SJ,SK,S3;D6,D4,D8,D2;C6,S10,SQ,S4;C8,H9,C10,C5;H3,HJ,H8,H5;D7,S2,S5,S6;H10,H2,CK,H6;DQ,DA,CJ,HK;HQ,HA,S9,H7;DK,D9,S7,SA;CA,H4,C7,CQ"
1571156771,0,20,2,"C8,C4,C2,C7;DQ,D5,DK,D3;S3,S5,HA,S8;S4,S7,H8,S10;C6,H9,C10,C9;HJ,H6,HK,H2;S6,D9,D6,DJ;CJ,D4,D8,D2;HQ,H5,H10,H3;SQ,S9,SA,H4;CQ,S2,CK,C3;SK,H7,D7,D10;CA,SJ,C5,DA"
1571156771,0,0,2,"C9,C4,C3,C2;S6,S3,S5,S2;D3,DA,D4,D6;CJ,C10,C7,C8;D7,D5,S8,D8;DJ,D2,C5,D9;S7,SA,S4,SQ;CK,C6,HQ,CQ;S9,H2,HJ,HA;S10,CA,H10,H4;SJ,H6,H9,H3;SK,DK,H8,DQ;HK,H7,H5,D10"
1571156771,0,4,2,"CA,C5,C2,C4;C3,C10,C6,CK;D4,D6,D2,D10;D5,DA,D8,D3;S8,S3,SA,S4;D7,S5,S9,S6;C8,C9,SQ,CJ;DJ,D9,SJ,DK;CQ,S2,S7,SK;H7,H2,H10,H5;H8,H4,HJ,H3;H9,HA,H6,HQ;DQ,C7,S10,HK"
1571156771,0,4,2,"CK,C9,C2,C3;S10,S5,S2,S3;D3,DK,DA,D2;SJ,S6,S8,S4;D4,D9,D10,D5;C7,S7,SQ,S9;D8,H7,D6,D7;CJ,CA,C8,C10;DQ,C4,C5,CQ;H6,H5,H10,H3;H9,HA,H8,H2;HJ,H4,SA,SK;HK,HQ,C6,DJ"
1571156771,0,4,2,"CA,C7,C2,CJ;S8,S4,S5,S3;D3,D2,DJ,D4;SA,SJ,S9,S7;C3,CK,C10,C8;C5,S6,D10,HA;H8,H7,HQ,H3;D6,S10,D5,D9;C6,H10,HK,C4;D7,SQ,H9,D8;DQ,HJ,H2,H4;CQ,SK,H5,H6;DA,S2,C9,DK"
1571156771,0,7,2,"CA,C8,C2,C10;S3,S8,S4,S10;D3,D8,D4,D10;DQ,DK,HA,D2;C4,D9,D7,HK;H10,H9,HQ,H3;S5,H2,H4,H5;S6,DA,HJ,D5;C7,DJ,D6,H7;S7,S2,CK,S9;SJ,H8,CJ,H6;SK,SQ,C6,CQ;SA,C3,C5,C9"
1571156771,0,0,2,"C5,CK,C2,C9;CJ,C8,C3,C10;D3,D4,D6,D2;D7,D9,D10,D5;S7,SK,C7,S3;S8,S5,C6,S4;D8,H8,HA,DJ;S9,S2,HQ,S6;S10,SQ,H9,SJ;HJ,H6,H5,H7;DQ,HK,H4,CA;DK,H10,H3,CQ;DA,SA,H2,C4"
1571156771,0,0,2,"C3,C5,C2,CA;S6,S8,SA,S5;S7,S2,SJ,S3;C6,C9,C10,C4;SQ,S10,SK,S4;D4,D2,DK,D5;D8,DJ,D7,D9;CJ,C8,S9,C7;CQ,HJ,D6,HA;DQ,H10,D3,D10;CK,H9,HQ,HK;H7,H3,H5,H6;H4,H8,H2,DA"
1571156771,0,4,2,"CA,C4,C2,C6;C7,C10,C5,CQ;D2,DQ,D4,D10;S6,SA,SQ,S2;S9,S3,S5,S4;D3,DA,D7,D5;CJ,C3,SJ,C8;D6,D8,S10,DK;D9,DJ,S8,C9;SK,H7,HA,CK;H8,H6,HJ,H4;HQ,H10,H5,H2;HK,S7,H3,H9"
1571156771,0,3,2,"CQ,C5,C2,C4;S5,SQ,S3,S9;C9,CK,C8,CA;D5,D4,DK,D3;D7,D9,DJ,DQ;D8,CJ,H5,C3;H2,H6,HQ,DA;H8,H3,SA,H4;D10,D2,D6,SJ;SK,S2,C6,S4;HK,C7,HJ,S8;H10,S10,H9,S7;HA,C10,H7,S6"
1571156771,0,0,2,"C9,C3,C6,C2;D2,D3,D10,DQ;D5,D9,DK,D7;C8,C5,SQ,C4;S3,S5,SA,S6;S7,SJ,SK,S2;CJ,H8,S9,C7;D8,DJ,D6,DA;H3,HQ,H10,H2;S10,S8,S4,H5;CQ,D4,H9,C10;HA,HK,H7,CA;HJ,H6,H4,CK"
1571156771,0,0,2,"C6,C5,C9,C2;D3,D2,D10,D6;S3,S7,S5,S2;S4,CK,S10,C8;D4,C4,D7,CJ;S6,SJ,D5,S8;D8,DQ,HA,DJ;S9,C3,HQ,CQ;H3,HK,HJ,H2;SK,C10,H8,CA;H9,H10,H4,H6;DA,D9,H7,DK;SA,C7,H5,SQ"
