1571628186,0,3,2,"C6,C10,C2,CK;S6,S2,S3,S4;D3,D10,D7,D2;S9,SJ,S8,S7;D4,DQ,D8,D5;CA,C3,C4,C9;SK,S5,HA,H10;DA,D9,DK,D6;H9,H7,H4,H2;HJ,S10,HQ,H6;H8,C7,CJ,C5;H3,SQ,HK,DJ;H5,SA,C8,CQ"
1571628186,0,1,2,"C5,C6,C2,CK;S2,S4,S3,S6;CA,C4,C9,C3;D3,D7,D2,D8;D6,D5,C10,C7;DK,D10,DJ,D9;S7,S5,SK,SJ;S8,S10,H9,SA;H6,HQ,DA,H2;H7,H8,H3,DQ;HK,HJ,H5,CQ;S9,D4,HA,CJ;SQ,H4,H10,C8"
1571628186,0,0,2,"C3,C5,C2,CQ;D6,D4,D5,DJ;S3,SA,S5,S2;D10,D3,DA,DK;C7,H9,C6,C4;S7,SK,S8,S6;DQ,D8,HQ,SQ;C8,HJ,C9,CK;H3,H10,H2,H5;S10,D2,H6,HK;CA,D7,H4,H7;HA,S4,CJ,S9;H8,D9,C10,SJ"
1571628186,0,6,2,"C7,C5,C3,C2;S6,SK,S4,S2;D2,DK,D3,D4;C8,C4,CK,C6;S7,S3,S9,S5;SA,HA,S8,S10;D7,D6,D8,DJ;H3,H9,H2,H4;DA,D10,D9,DQ;C10,C9,HK,CA;H7,H6,H8,H5;CJ,HQ,SQ,SJ;CQ,D5,HJ,H10"
1571628186,0,0,2,"C3,C10,C2,C4;S4,S9,S8,S2;S7,S10,HQ,S5;SQ,S3,H5,S6;C5,CQ,C7,HK;D7,D6,D8,D2;H4,H9,H10,H3;C6,D5,D10,D3;CK,C9,DA,C8;SA,SK,CA,SJ;H6,HA,DK,DQ;H7,H2,DJ,D9;HJ,H8,CJ,D4"
1571628186,0,3,2,"C3,C5,C2,CK;D2,D4,D3,D5;C4,D10,C9,C6;S2,S6,S7,S3;D6,DA,DJ,D7;S5,SK,S4,S10;SA,S8,S9,HK;C8,HA,C10,C7;H4,H9,H7,H3;H6,H5,H8,HJ;D9,DK,HQ,D8;CJ,H2,H10,CQ;CA,SQ,DQ,SJ"
1571628186,0,16,2,"C5,C3,C2,C10;C8,CJ,C7,C6;CK,CQ,CA,SQ;D2,DJ,D3,D5;S3,C9,HA,H8;S5,S10,S7,S9;SK,S8,HK,SJ;D8,H4,D6,D4;D10,S2,D7,D9;HJ,S6,H3,H5;H2,C4,H7,H6;H10,S4,DA,H9;HQ,SA,DK,DQ"
1571628186,0,0,2,"C6,C3,C2,CA;C4,CQ,HK,C10;S5,SA,S4,S3;S9,S2,S7,S6;D3,D10,D2,D4;SJ,S10,HQ,S8;C5,C7,H8,CK;H3,HA,DA,H4;C8,H5,DK,H9;DJ,D9,D6,D5;C9,H6,DQ,SK;CJ,H7,D8,HJ;SQ,H2,D7,H10"
1571628186,0,0,2,"C5,CJ,C2,C3;S5,S8,S2,HA;H8,H7,H6,H2;S6,S3,S4,H10;D9,D4,D2,D3;S9,SQ,S7,H9;D10,DA,D5,D7;CQ,C6,C9,C7;SJ,C4,S10,H4;DQ,HK,D6,D8;SA,H5,SK,DK;CA,H3,C10,C8;HQ,HJ,CK,DJ"
1571628186,0,0,2,"C6,C3,C2,C9;S6,SQ,S2,S3;D7,D3,D4,DQ;S10,S5,S7,S8;C7,C10,C4,H8;D9,D2,D6,DA;H4,HK,H6,H2;C8,S4,HJ,S9;H5,HQ,H10,H3;CK,DK,D10,H7;CA,D8,CQ,SA;H9,DJ,CJ,SK;HA,D5,C5,SJ"
1571628186,0,0,2,"C5,C3,C6,C2;D5,D7,D3,D6;S10,S5,S3,S6;C7,CA,C10,C4;SA,SJ,SQ,S8;C8,S7,HK,CK;H2,H3,H4,H5;H9,HA,H6,H8;C9,S2,H10,S9;DQ,D2,D4,D8;CJ,H7,DK,DA;CQ,S4,D10,SK;HQ,HJ,D9,DJ"
