1571628187,0,0,2,"C4,C3,C2,C7;D3,D2,D5,D4;C9,CQ,C6,C5;S6,S2,S7,S4;CJ,CA,HA,C8;H8,H7,H2,H3;S9,S3,S8,S5;S10,SA,SJ,HJ;HK,H4,HQ,H5;D10,DQ,D9,D7;DA,D6,DJ,DK;SQ,D8,CK,H9;SK,H10,C10,H6"
1571628187,0,17,2,"C3,C4,C2,C5;DQ,D4,D5,D2;S3,HK,S2,S6;H3,H8,H6,H2;S4,HA,H9,H4;C10,C7,C6,C8;S5,H5,S8,S7;S9,DA,D8,D6;S10,DJ,D7,D9;CJ,D3,DK,D10;CK,H10,C9,CQ;SJ,HJ,SA,SK;SQ,HQ,H7,CA"
1571628187,0,0,2,"C3,C6,C2,CJ;C5,C10,C8,C4;D6,D4,D5,D2;S7,S10,S5,S4;DJ,D3,D8,D7;S9,S3,S6,SA;CQ,CK,C9,C7;DQ,D9,DK,D10;SQ,S2,HQ,S8;DA,H10,HK,HJ;H3,H6,H5,H2;H4,HA,CA,H7;H8,SK,SJ,H9"
1571628187,0,1,2,"C4,C3,C2,C10;S8,S5,S2,S6;D2,DA,D4,D7;D3,DJ,D9,DK;C7,C5,C9,C6;SQ,S3,S9,SJ;D6,D5,DQ,HK;H3,H6,H2,H4;SK,S7,SA,S10;H9,D10,HJ,H5;CQ,CJ,HA,C8;CA,D8,H8,CK;H10,S4,H7,HQ"
1571628187,0,0,2,"CQ,C3,C2,C5;DJ,D7,D5,D4;S2,S7,S8,S5;DQ,D2,D10,D6;C6,C9,SQ,C10;S10,S3,SA,S6;DK,D3,DA,D8;SJ,S4,HK,S9;C7,CJ,HQ,CK;H6,H3,H2,H4;C8,C4,H10,H9;CA,HA,H5,H8;HJ,SK,D9,H7"
1571628187,0,0,2,"C4,C9,C2,CA;S5,S6,S3,S4;SA,S2,S10,SJ;D3,DJ,D2,D4;C6,C3,C5,CJ;D8,D10,DA,D5;C7,CK,SQ,C10;C8,SK,H9,HJ;D9,S9,H7,H8;H10,HQ,H3,H2;HA,HK,H4,H5;DQ,S8,H6,D6;DK,S7,CQ,D7"
1571628187,0,17,2,"C3,C4,C5,C2;D3,CQ,D2,D5;CK,C8,CJ,C6;S3,S10,S2,SJ;D4,HJ,D6,D7;H6,HA,H2,H3;S5,S8,S9,SA;H9,H5,H8,H4;S6,S7,SQ,HK;D10,C7,D8,DK;DJ,C9,H7,H10;DQ,C10,DA,HQ;CA,S4,D9,SK"
1571628187,0,21,2,"C3,C4,C2,C9;S2,SK,S4,S5;D7,D6,D2,D4;C6,CQ,CA,C5;D9,DA,D8,D5;C8,DJ,D10,H10;S10,D3,DK,H3;HJ,SA,S7,S6;H4,H8,H7,CK;H5,H2,HK,C10;H6,S3,S8,SJ;HQ,DQ,S9,SQ;H9,CJ,C7,HA"
1571628187,0,4,2,"C3,C9,C6,C2;S2,SQ,S6,S5;C7,CK,C5,CA;S10,S4,S8,S7;D2,D6,D3,D8;D5,HQ,D4,D9;H6,HK,H3,H4;D7,SJ,SK,S9;DJ,H2,DK,D10;H8,H10,SA,H5;C10,C4,CQ,HA;CJ,S3,H9,DQ;HJ,C8,H7,DA"
1571628187,0,17,2,"C5,CJ,C2,C3;D5,D10,D3,D2;S2,S3,S5,HA;H4,H8,H2,H3;DQ,DJ,D6,D7;S6,S4,S7,HJ;H9,HQ,H5,H6;SK,S10,S8,H7;C6,C4,CQ,C7;DK,D4,D9,D8;C10,SJ,CK,C8;SA,S9,DA,H10;CA,SQ,C9,HK"
1571628187,0,0,2,"C5,C3,C2,CK;SJ,S6,S3,S2;D3,D8,D7,D4;SA,SQ,S7,S4;C6,CA,C4,C9;D9,D2,D10,D5;CJ,C7,HQ,C8;DJ,DK,HK,DQ;CQ,SK,S8,S5;H8,S9,H9,S10;H2,HA,H4,H6;H3,H10,H5,H7;HJ,D6,C10,DA"
1571628187,0,4,2,"C5,CJ,C2,C4;D4,DK,D2,D3;S3,S7,S10,S5;D5,D7,D6,D8;DQ,DA,HJ,D9;SK,S2,SQ,S6;C9,C3,CQ,C6;H2,H4,H6,H5;CA,C8,CK,C7;HK,SJ,H8,H7;HQ,S9,HA,H10;H9,DJ,C10,D10;H3,S4,SA,S8"
