1571660834,0,3,2,"C8,C3,C5,C2;D5,D3,D2,D4;S5,S2,S7,S4;DQ,D8,D6,D9;C7,CJ,C10,C4;DK,D7,D10,DJ;C9,CQ,SK,C6;CK,DA,HA,SQ;H5,S3,S10,S6;H3,HK,H2,H4;H8,S8,SJ,HJ;H7,SA,H9,H6;H10,S9,HQ,CA"
1571660834,0,13,2,"C4,C5,C2,CA;D3,D2,D6,D4;S3,S8,S6,S2;DA,D5,D9,D8;S4,S7,SK,S10;C7,S5,C3,C8;C9,D7,DJ,D10;C10,SQ,CJ,C6;SJ,S9,DQ,DK;H2,H7,H6,H3;HJ,H8,H4,H9;CK,H10,HQ,CQ;SA,HA,H5,HK"
1571660834,0,19,2,"C3,C10,C6,C2;S2,S6,S5,S3;D4,D2,D5,DA;SK,S10,HK,S4;D7,D10,D6,HA;C8,C5,C4,H8;D8,D3,D9,H5;H4,HQ,H2,H9;C9,CQ,CK,H3;H6,C7,SJ,H10;SA,CA,S9,DJ;H7,SQ,S8,DQ;HJ,CJ,S7,DK"
1571660834,0,0,2,"C5,C4,C2,C8;C7,C10,C3,CJ;D9,D4,D2,D3;S3,SQ,S2,S6;CQ,C9,H10,CA;H2,HQ,H4,H5;H8,H3,H6,H7;S9,S7,S4,S10;SJ,D8,DQ,D5;SA,DK,HA,S5;CK,C6,DA,HK;H9,D10,SK,D7;HJ,DJ,S8,D6"
1571660834,0,0,2,"C6,C4,C2,C10;S2,S5,S4,S7;CJ,C3,C5,C8;D4,D8,D2,D9;D7,DA,D3,DQ;S8,SQ,S6,SA;CA,C9,CK,CQ;S10,S3,S9,HQ;SJ,DJ,H10,H9;DK,D10,D5,H8;SK,HJ,H6,H7;HA,H2,H5,H3;HK,C7,D6,H4"
1571660834,0,2,2,"C3,C6,C2,CQ;C10,CJ,C4,C5;S3,SQ,S5,S10;S4,S2,S6,H9;D9,DA,D6,D3;SJ,S8,S7,H4;SK,S9,SA,H3;CK,D2,D7,D4;CA,C9,H8,C7;HJ,H6,H5,DK;HK,H7,DQ,DJ;HQ,H10,D10,D8;H2,HA,D5,C8"
1571660834,0,0,2,"C5,C8,C2,C6;S6,SQ,S3,S2;SJ,S9,S4,SA;C9,C4,HK,C3;D5,H7,D2,D4;D7,HJ,D3,D9;CQ,CJ,HQ,C7;D8,S8,D6,D10;DK,S5,DJ,DQ;CK,C10,H9,CA;H2,H3,H5,H10;SK,S10,H8,DA;H4,S7,H6,HA"
1571660834,0,5,2,"C5,C3,C2,CA;D5,D9,D4,D6;S5,S9,S7,S2;DJ,DQ,D7,DK;SQ,S3,SJ,S4;C4,C8,C9,H8;H6,HQ,H3,H2;C6,D2,D8,DA;H10,H9,H7,H4;C7,S8,CQ,H5;C10,HK,S6,SK;CJ,D10,SA,CK;HJ,D3,S10,HA"
1571660834,0,0,2,"C3,C6,C2,C8;CA,C4,C7,C10;S3,SA,S4,S6;D7,D10,D3,D5;S5,S2,S8,S9;S7,D6,D4,D8;S10,D2,DA,D9;SJ,CQ,CJ,C9;SK,SQ,HJ,HQ;H8,H2,H4,H5;H10,HK,H7,H6;HA,DJ,H9,DQ;H3,C5,CK,DK"
1571660834,0,6,2,"C4,C3,C2,C7;S4,SA,S3,S6;D3,D4,D6,D7;D8,D5,DJ,D9;SJ,S7,S10,S5;C5,C6,C8,CQ;DK,DQ,DA,D10;SQ,S2,HA,S9;CJ,C9,C10,CA;H2,HJ,H7,H4;CK,D2,HQ,HK;H3,S8,SK,H9;H6,H5,H8,H10"
1571660834,0,0,2,"C4,C3,C2,C8;C7,CA,C5,C6;D9,D7,D10,D2;S5,SJ,S2,S4;DQ,D3,SA,D8;S10,S3,S8,S6;C10,CK,C9,HK;DA,DJ,HA,DK;SK,SQ,S9,S7;H3,HJ,H6,H2;H5,D4,H9,HQ;H7,D6,CQ,H10;H4,D5,CJ,H8"
