1571660837,0,10,0,"C9,C4,C6,C2;S3,SK,S4,S2;D3,D2,D4,D10;S7,SQ,S6,S5;CJ,C3,HA,C7;D7,D8,D9,DK;H2,D6,H8,H3;H4,D5,H5,H9;CK,C5,S8,S10;H6,C10,SA,H10;H7,CA,CQ,HJ;HK,C8,SJ,HQ;DA,DJ,DQ,S9"
1571660837,0,11,0,"C9,C4,C2,CJ;C5,CA,C3,C10;S6,SA,S2,S5;C6,SQ,S4,S8;D8,D2,D6,D3;C7,CQ,H7,HJ;DJ,DQ,D7,D5;C8,D4,D10,D9;CK,S3,H10,S7;H2,H4,H6,S9;H9,H8,H5,S10;HA,H3,DA,SJ;HQ,HK,DK,SK"
1571660837,0,0,0,"C4,C5,C2,C10;C8,C9,CJ,CQ;D3,DK,D5,D2;S4,S8,S5,S2;S6,S3,HA,S7;H10,S10,H2,H3;D4,DQ,D7,D6;S9,SA,HQ,SJ;CA,C6,CK,HK;D9,DA,D8,DJ;SQ,SK,H6,H9;D10,C3,H5,H8;HJ,C7,H4,H7"
1571660837,0,26,0,"C4,C6,C2,CJ;D6,D10,D3,D5;DJ,D4,D8,D9;S3,S4,S2,S9;CK,C3,CA,C5;S6,S5,S10,S7;S8,CQ,HA,C7;H5,HJ,H2,H4;SJ,D7,DK,DQ;H6,H7,SA,H3;SQ,D2,H10,C10;HQ,DA,H9,C9;HK,SK,H8,C8"
1571660837,0,9,0,"C4,C3,C6,C2;S5,S9,S3,S2;D7,DJ,D4,D5;S6,S10,S4,SJ;CQ,C10,CJ,C5;S7,SA,SQ,H10;H2,H7,HJ,H4;DA,D8,D9,D6;S8,H9,SK,CA;H6,D2,DK,D10;H8,C8,HK,C7;H5,H3,HQ,CK;HA,D3,C9,DQ"
1571660837,0,15,0,"C5,C3,C2,C9;D6,D2,D7,D4;C8,CJ,C6,C4;D10,DJ,D8,DQ;S3,S10,SQ,S2;S5,D5,DK,D9;S6,S9,HQ,S4;SA,SK,HJ,S8;C10,S7,CK,C7;H3,H5,HK,H6;H4,HA,CA,CQ;H8,H2,DA,H7;H10,D3,H9,SJ"
1571660837,0,1,0,"C3,C5,C7,C2;D3,D10,D6,D8;S4,S2,S8,SJ;C9,C4,C6,C8;D4,DA,D7,DK;C10,CA,SK,CJ;S5,S3,S10,SQ;CK,H9,HK,CQ;D5,D2,D9,H8;HA,H10,H2,H6;S6,HJ,HQ,SA;S7,H7,DQ,H3;S9,H4,DJ,H5"
1571660837,0,19,0,"C3,C8,C4,C2;D2,D4,D6,D8;S2,S4,SJ,S8;C6,C9,CJ,C10;S6,S5,SQ,S9;D3,SK,D10,DQ;D5,H8,HQ,DK;H6,H9,H4,H2;S7,S3,SA,S10;D7,H5,H7,H3;D9,CA,HJ,H10;DJ,C7,CK,HK;DA,C5,CQ,HA"
1571660837,0,6,0,"C3,C4,C2,CQ;S4,S5,S7,S8;D7,DA,D2,D4;C7,CK,C5,C6;S6,S3,S10,S9;D8,D9,D6,D3;D10,DQ,D5,HA;H2,H3,H9,H5;CJ,C10,C8,C9;DJ,H10,DK,H8;H7,HK,H6,HQ;SK,S2,SQ,SJ;HJ,H4,SA,CA"
1571660837,0,1,0,"C3,C5,C2,C4;D5,DA,D6,D2;S2,SA,S3,S9;S8,SJ,S4,SQ;C7,HJ,CJ,C6;D9,DK,D7,D3;C10,SK,HK,HQ;H4,HA,H6,H2;D10,DJ,D4,H8;CQ,S5,H9,H7;CA,S7,CK,H3;H10,S6,DQ,C9;H5,S10,D8,C8"
1571660837,0,7,0,"C4,C5,C2,CA;C9,C8,C6,C3;S2,SQ,S3,S6;D3,DA,D2,D5;D6,D10,D7,D8;CQ,CJ,C10,C7;S5,S9,S4,HQ;H10,H4,H5,H2;S8,D4,S7,HJ;D9,H9,DK,DJ;S10,H6,H7,SK;SJ,HA,H3,CK;HK,H8,DQ,SA"
1571660837,0,13,0,"C6,C8,C2,CJ;D8,D4,D3,D6;S8,SK,S2,S3;CK,C7,C4,C9;S9,S5,SQ,S4;D10,D2,D7,D5;S10,S7,H10,S6;DK,D9,DJ,HK;SA,H5,H9,SJ;DA,H7,DQ,HQ;H8,CQ,H2,H3;HJ,C3,H4,H6;HA,C5,C10,CA"
