1571062081,1,1,0,"C4,C5,C2,CQ;S2,S3,SA,S9;S10,SJ,S8,S5;C7,C8,C3,C6;SQ,SK,S7,S4;C10,CJ,C9,H7;H3,HA,H10,H6;HJ,H8,CA,H4;D3,DK,D7,DQ;D6,D4,D5,DJ;D9,HK,D2,D10;DA,H5,CK,D8;HQ,H9,S6,H2"
1571062081,1,0,0,"C9,C4,C2,CK;S3,SJ,SK,SQ;C7,C3,CQ,C8;C10,CA,C6,C5;S6,S2,S8,S9;D2,S7,S4,S5;D4,D3,DK,DQ;D5,D10,DJ,D7;D6,D9,HA,D8;H10,HJ,HQ,H6;HK,H8,H3,H5;CJ,H4,H9,H2;DA,S10,H7,SA"
1571062081,1,2,0,"C4,C8,C2,CJ;S2,S9,SK,S10;S5,SA,S7,S4;C5,CQ,C6,CA;S8,SJ,DK,S6;C9,C10,C3,CK;D2,DJ,D9,D7;SQ,S3,D6,H9;D4,D3,D5,DQ;H2,D8,HQ,D10;H4,HK,HJ,H8;HA,DA,H5,H7;H10,C7,H3,H6"
1571062081,1,5,0,"C4,C9,C2,C7;C10,HA,CK,C8;CJ,H7,C6,CQ;D2,D3,DA,DQ;D10,D7,D8,D9;S2,S3,SQ,S8;DJ,DK,D5,D4;S4,S7,S10,S5;CA,H9,C3,C5;SJ,H8,S6,SA;H2,H10,HK,HJ;H3,HQ,H6,D6;H4,H5,SK,S9"
1571062081,1,0,0,"C3,C4,C2,C10;S2,S4,SK,SQ;D4,D10,D6,DQ;D8,D5,DA,D7;S3,S8,S10,S6;S5,S9,SA,S7;CQ,C6,CA,CK;D9,C5,H10,C7;H2,HQ,H9,HJ;H3,H4,HA,H6;H7,D3,H5,HK;DJ,C8,DK,C9;H8,D2,SJ,CJ"
1571062081,1,0,0,"C3,CA,C2,CQ;C5,D6,C10,CK;D7,D2,DQ,DK;S4,D10,D5,D4;S6,S10,SQ,S3;S9,S5,S2,S7;C6,H8,C8,C7;H4,HA,HQ,H6;H7,H2,H9,H5;CJ,D8,D3,D9;SK,H10,C4,C9;SA,S8,H3,SJ;HK,HJ,DJ,DA"
1571062081,1,21,0,"C7,C4,C2,C8;S2,S7,SJ,SK;S5,S3,S8,S4;C3,C9,CQ,C5;D3,D2,DJ,D4;D7,D10,D9,D8;S6,DK,D5,DA;C10,H6,D6,C6;S10,HJ,H10,SQ;CK,H3,H8,CJ;SA,H4,H7,S9;HK,H9,H5,HA;HQ,DQ,H2,CA"
1571062081,1,0,0,"C7,C6,C2,C5;S2,SA,SJ,S9;C8,CK,C4,CQ;D2,D10,DA,D9;S3,S5,S6,S10;D4,S4,D7,DQ;D8,HK,D6,D3;DJ,H5,HJ,D5;SQ,S8,H8,HQ;DK,HA,H6,H10;SK,S7,H4,H9;CA,C10,C3,CJ;H3,H7,H2,C9"
1571062081,1,0,0,"CJ,C4,C2,C3;S5,S4,SA,S2;DJ,D10,D4,D2;C10,C5,SJ,CK;DQ,D8,S8,D3;SQ,S9,S6,H10;CQ,S10,HA,C9;DK,D9,HJ,D7;SK,S7,S3,H2;CA,H5,H9,C8;DA,D5,H8,D6;H3,H4,H7,C7;HK,HQ,C6,H6"
1571062081,1,18,0,"C6,C3,C2,C4;S4,SK,SA,S3;SJ,S5,SQ,S2;DK,D3,DQ,D5;C5,CA,CK,C10;C7,S8,S9,H10;DA,D2,D10,DJ;C9,CJ,CQ,C8;HQ,D4,D6,D7;H5,H7,H8,H2;H9,HA,H6,H4;HK,S7,S10,H3;HJ,S6,D9,D8"
1571062081,1,1,0,"CK,C6,C5,C2;C7,CQ,C9,C10;S2,S6,SQ,SJ;D5,D2,D7,D8;D6,D9,D4,D3;S5,CJ,C4,CA;S9,SA,S4,S7;D10,C3,C8,H8;H7,H2,H6,H4;DJ,DK,HA,DA;SK,H10,S3,S10;DQ,HK,HQ,H3;H9,HJ,H5,S8"
1571062081,1,5,0,"C6,C7,C2,CJ;CA,C10,C4,CK;S3,SQ,SA,S5;D5,D9,DK,DQ;S4,S7,SK,S2;D10,D3,D8,DJ;DA,S10,HK,S6;H3,H6,H5,H9;H4,HA,SJ,H8;HQ,C5,S9,CQ;HJ,D2,D6,D4;H7,C8,H2,D7;H10,C3,C9,S8"
