1571062119,1,13,0,"CK,C3,C2,C9;C4,C7,CJ,CQ;D3,D10,DJ,DQ;S5,S8,S6,S2;S7,SK,S3,H10;H9,H2,HK,H8;HQ,H6,H7,H3;D4,D7,SQ,D9;DK,D6,SA,D8;C6,CA,C5,H4;C8,S4,S10,DA;C10,S9,D5,SJ;HA,H5,D2,HJ"
1571062119,1,0,0,"C4,C5,C2,C9;S3,SK,SA,SQ;D4,D2,D6,D10;DJ,D8,D3,D9;S9,S8,S6,S10;SJ,S2,S4,S7;CQ,C3,CJ,CK;CA,DK,C6,C8;DA,D5,D7,HQ;H9,H8,HJ,H10;H4,HA,H7,S5;H2,HK,H5,C7;H6,DQ,H3,C10"
1571062119,1,1,0,"C5,C10,C2,CQ;D5,D10,D6,DK;S3,C4,C7,C3;S7,S10,S4,S2;S8,CA,S6,CK;D9,DQ,D4,D7;DA,D3,D2,SQ;S9,H10,S5,SA;H3,H6,HA,H8;H4,DJ,H2,H7;H5,D8,SK,H9;HJ,C9,CJ,HQ;SJ,C8,C6,HK"
1571062119,1,14,0,"C6,C3,C2,C4;S8,S3,S2,S4;D7,D2,DJ,DA;S9,S5,CA,S6;C9,D5,CJ,C8;D10,DQ,DK,D3;C10,S10,C5,C7;SJ,H3,D6,SQ;H5,H2,HA,HQ;H8,H6,SA,H4;SK,D9,H10,S7;H9,HK,H7,CK;HJ,D8,D4,CQ"
1571062119,1,0,0,"C4,SK,C2,C3;S2,SQ,S6,S9;C8,C5,DK,CQ;D2,D3,DJ,D6;S5,S4,S7,S3;C10,CA,D10,C6;S8,SJ,D9,HJ;CJ,C9,HK,C7;S10,D5,H9,H8;CK,H3,H7,H6;SA,HQ,H4,H5;H10,D7,H2,DA;HA,DQ,D4,D8"
1571062119,1,0,0,"C3,C10,C2,CQ;S5,SA,S7,SK;S6,SQ,DA,S10;C7,C5,C8,C6;D7,DQ,DK,D10;S9,S2,D6,S3;C9,CJ,C4,HA;H4,H9,HK,H10;H8,H6,H5,H7;SJ,D9,HQ,S8;DJ,D4,D5,H3;CK,HJ,D3,H2;CA,D8,D2,S4"
1571062119,1,1,0,"CQ,C6,C2,CJ;C5,C3,C8,C10;D5,DQ,DK,DJ;S2,S9,SQ,S3;DA,D6,D9,D7;S6,H4,S10,SJ;H6,H9,HQ,H10;H7,HJ,H3,H2;CK,D8,D4,HA;SK,C9,C4,CA;SA,D3,S5,S8;H8,H5,C7,S7;HK,D10,D2,S4"
1571062119,1,5,0,"C4,C3,C2,CJ;S3,SQ,SA,S8;D2,D3,DQ,DA;S4,S2,H10,S6;H2,H4,H8,H3;CK,C7,CA,CQ;S5,SJ,H7,S7;D10,D9,HK,DJ;S9,D7,C8,C6;S10,HA,C5,C9;H6,H5,D6,HJ;H9,D8,D5,HQ;SK,DK,D4,C10"
1571062119,1,17,0,"C5,C3,C2,C7;C4,CQ,CA,CK;S3,S8,SQ,S10;S4,S9,DK,S2;C9,CJ,C6,C10;D5,D9,DQ,D10;D7,DA,D4,D8;S5,SJ,C8,S7;DJ,D6,D2,D3;SK,H8,HQ,S6;H7,H3,H10,HK;H4,H9,H5,H6;HJ,HA,H2,SA"
1571062119,1,0,0,"C6,C3,C5,C2;D4,C8,CK,C4;D5,D10,DK,D3;D7,D2,DJ,DQ;S10,S6,HK,S2;D9,DA,SQ,D8;SK,CA,SA,CQ;HA,S5,S4,H8;H4,C10,H10,C9;HQ,S3,S7,H3;H2,H9,CJ,H6;H7,S8,S9,C7;HJ,H5,D6,SJ"
1571062119,1,9,0,"C4,C3,C2,C9;D2,D6,DK,D5;S5,S7,SK,S3;S8,S6,S4,S2;C5,C6,DQ,CQ;S10,D7,D10,D3;SJ,DJ,DA,D4;CK,CJ,D9,C7;SA,S9,D8,SQ;H5,H2,HA,HQ;H6,H10,HJ,H3;H7,C8,H4,H9;H8,C10,HK,CA"
1571062119,1,0,0,"CQ,C4,C3,C2;S5,SK,SQ,S3;D6,DQ,DA,D7;C6,C10,CK,C8;DJ,D9,DK,D2;C7,C9,CJ,C5;S6,HK,D8,D3;H2,H5,H8,HJ;H4,H6,H3,HQ;H7,H10,SJ,HA;S8,S4,S10,S7;S9,S2,D10,D5;H9,CA,D4,SA"
