1571062197,1,4,3,"CJ,CK,C2,C10;D5,D7,DK,DA;D9,D8,D4,D2;S4,SJ,SQ,S9;DJ,SK,DQ,D3;S5,S2,S7,S3;CA,C8,CQ,C4;S6,SA,D10,S8;S10,C3,C6,HK;H6,H4,HJ,H2;H7,HQ,C9,H3;H9,C5,C7,H10;HA,H5,H8,D6"
1571062197,1,0,3,"CK,C5,C6,C2;S4,S8,SK,S2;D4,D2,DA,D3;S6,S3,HQ,S5;C8,C4,C3,CJ;H3,HK,H8,H2;DQ,DJ,D9,D10;S9,SJ,S10,CA;SQ,CQ,S7,C10;H6,H4,H7,C9;H10,HA,D8,H5;DK,H9,D7,C7;SA,HJ,D5,D6"
1571062197,1,1,3,"C5,C4,C2,C3;S3,S10,SJ,S6;SQ,SA,SK,S2;D2,DJ,D8,D10;C9,CQ,S9,C6;C10,CJ,S8,CA;D3,H8,S7,S4;D5,H2,D9,D7;H6,H4,HK,H3;HA,H10,H5,H9;DQ,C8,D4,D6;DK,C7,HQ,CK;DA,H7,HJ,S5"
1571062197,1,7,3,"C3,C4,C2,CJ;C7,CK,C10,C9;D5,D8,DJ,D4;S3,SA,SK,S4;D6,D9,D10,D2;S5,S10,S7,S8;DA,DK,D7,SQ;S6,S2,S9,HA;H5,H8,HJ,H2;C8,HQ,HK,H4;SJ,H6,H10,H3;CQ,C6,H7,C5;CA,DQ,D3,H9"
1571062197,1,1,3,"C10,C4,C7,C2;S2,SQ,SJ,S5;D7,D5,D9,DJ;D8,D2,D6,D3;S3,S4,S8,S9;CJ,C3,S6,C5;CQ,CK,D4,C9;DQ,D10,HA,DA;CA,S10,HK,C6;SK,H5,H9,S7;H8,H3,H7,SA;HJ,HQ,H4,DK;H6,H10,H2,C8"
1571062197,1,13,3,"C4,C6,C2,CA;D3,DK,D6,D9;S4,S7,S9,SJ;C7,HJ,CQ,C5;S8,S10,SA,S3;H3,H5,HA,H2;D7,SQ,SK,S6;D10,DQ,D4,D5;DJ,D2,C10,D8;C8,S5,C3,C9;H4,HK,HQ,H7;CJ,H6,H9,H8;DA,S2,CK,H10"
1571062197,1,13,3,"C6,C7,C2,C8;D3,D2,DK,DJ;S2,SQ,SK,S6;S8,SA,S10,S3;DA,DQ,D10,D7;C3,C4,C5,C10;CJ,CA,S7,S4;CQ,D6,D5,D8;H6,H4,H3,H2;CK,D9,HQ,C9;H10,HA,H9,SJ;H7,D4,H8,S9;HK,HJ,H5,S5"
1571062197,1,14,3,"CJ,C4,CQ,C2;S2,S7,S9,SQ;S3,HJ,S8,S4;D3,CK,C9,C10;DQ,D10,D7,DJ;S10,H2,S6,SJ;SK,C8,C7,C5;DA,D4,D6,D9;SA,DK,C3,S5;HA,H10,H7,CA;H6,H9,H5,D8;H8,H3,H4,C6;HK,HQ,D2,D5"
1571062197,1,0,3,"CK,C4,C5,C2;S3,S9,S8,S6;D3,DJ,DA,D8;S4,SA,S2,S7;S5,D7,D6,D5;CQ,C8,C10,CA;SJ,C6,D9,D2;HJ,SQ,HQ,S10;H2,C3,C9,H10;H8,H5,D4,D10;H7,H6,H9,DQ;HA,C7,H4,SK;HK,CJ,H3,DK"
1571062197,1,13,3,"C3,CJ,C2,C6;D3,DQ,D6,DK;D9,D8,CQ,D2;S7,S6,S8,SQ;CA,C9,C8,C4;S10,S9,S4,HK;D10,H3,H9,D7;DJ,HQ,H7,D5;SJ,S5,S3,H6;SK,SA,S2,H4;H8,H10,H5,H2;HJ,HA,C7,C10;DA,CK,C5,D4"
1571062197,1,1,3,"CA,C3,C6,C2;S4,S5,SK,S10;S8,S9,SA,S2;C9,C8,C4,C7;D4,D6,DQ,D7;D8,D3,D2,DJ;C10,HJ,CK,C5;D9,SQ,H10,S3;H3,HA,H8,HQ;HK,H4,H7,CQ;D10,D5,H6,SJ;CJ,DA,H5,S7;DK,H9,H2,S6"
