1571062201,1,5,3,"CQ,CK,C3,C2;S6,S10,SQ,S2;C4,C8,HA,C7;H4,H5,H10,HQ;S8,S9,SJ,S3;D9,D2,DQ,DJ;H6,HK,H8,H3;C5,S5,S7,SA;DK,D7,D8,D3;C6,C10,D6,HJ;C9,H9,H7,DA;CJ,S4,D5,SK;CA,H2,D4,D10"
1571062201,1,5,3,"CK,C7,C2,C9;D2,D8,D9,DQ;D3,CQ,C6,C4;D4,DA,SJ,DJ;S3,CA,C3,CJ;S6,S5,S10,S4;S9,SK,HA,S2;H2,H8,HJ,HQ;H7,H4,H9,H5;SQ,SA,H6,S7;D10,C10,C5,C8;H10,D5,S8,D7;HK,DK,H3,D6"
1571062201,1,0,3,"C4,CJ,C2,C6;S2,S9,SQ,S7;D2,D4,DQ,DA;CK,CQ,C9,C3;S4,SJ,S10,S6;D5,D3,D9,HK;D10,H9,HQ,D6;S5,S3,CA,SA;H8,H3,C10,H4;S8,H2,C8,HJ;DJ,HA,D8,H10;DK,H6,D7,H7;SK,H5,C7,C5"
1571062201,1,0,3,"C6,C10,C2,C3;CJ,C5,CQ,C9;S4,S5,SQ,S2;D4,D2,DQ,DA;D10,DJ,D9,DK;CK,SA,C7,C4;S7,S3,S6,SJ;S9,D3,D7,D6;SK,D5,H9,D8;H2,H10,H8,H3;H7,HQ,HK,H5;HJ,H4,CA,H6;HA,S8,C8,S10"
1571062201,1,4,3,"C10,C7,C2,C4;S10,S2,SK,S5;SQ,SJ,SA,S3;C3,C5,C9,C8;C6,S7,S8,S4;D10,D6,D9,D8;CJ,H6,D7,CA;H2,H9,HK,H3;H5,H7,H4,H10;H8,DA,HA,HJ;DK,DQ,D4,D5;CQ,DJ,D3,CK;HQ,S9,D2,S6"
1571062201,1,13,3,"C5,DA,C2,C9;C8,C3,SQ,C10;DJ,D4,D9,D2;S6,SA,S9,S4;S7,S10,S8,S3;CJ,C4,D8,C7;CQ,CA,D7,C6;SK,SJ,S5,HQ;CK,H9,HJ,H4;H6,HA,H10,DK;H3,HK,H7,DQ;H8,D10,D3,D6;H5,S2,H2,D5"
1571062201,1,1,3,"CQ,C3,C5,C2;C9,C8,C7,CJ;D3,D9,DQ,DK;D5,DJ,D7,D6;S8,S9,SQ,SJ;D8,S6,D4,D2;D10,HA,S4,DA;S10,SK,S3,S2;H2,H3,HK,SA;H9,H5,CA,H4;C10,H8,C4,C6;CK,HJ,HQ,S7;H10,H6,H7,S5"
1571062201,1,0,3,"CJ,C7,C3,C2;C6,C5,C10,C8;D6,D3,D9,D4;D10,DQ,DJ,D8;S3,SA,SQ,S9;S10,S6,S5,S8;C9,CQ,C4,H8;H5,H9,H10,H2;H7,HK,DA,H3;SK,SJ,S2,S7;CK,HA,D5,DK;CA,HQ,H6,D7;HJ,D2,H4,S4"
1571062201,1,4,3,"CA,C3,C2,C9;S3,S9,S10,S4;D4,D7,DQ,D2;SJ,SQ,S8,S7;D6,D8,DJ,DK;SA,S2,SK,S5;C4,C6,CQ,C10;D9,DA,HA,D3;H2,HJ,H8,HQ;CJ,H5,C5,C8;CK,D10,C7,H10;HK,H3,H7,H9;H4,H6,D5,S6"
1571062201,1,2,3,"C5,C7,C2,C4;S6,S5,S10,S7;SJ,S4,HA,S8;C3,C9,HQ,CQ;H9,H3,H7,H2;D3,DA,DQ,HK;CJ,CK,H5,C10;SQ,SK,S9,H10;D4,DK,DJ,H8;SA,S3,D10,H6;D5,D8,D2,H4;D9,C6,D7,CA;HJ,S2,D6,C8"
1571062201,1,14,3,"CQ,C4,C6,C2;S5,S4,SQ,S2;S7,SA,S10,S3;D5,D4,DQ,DK;SJ,S9,S8,S6;D9,DJ,D8,D10;CA,CJ,C9,CK;SK,C10,C7,HA;H10,HK,H8,HJ;H2,H7,D7,H5;H6,C3,C5,C8;H9,H3,D3,H4;HQ,DA,D2,D6"
1571062201,1,26,3,"CJ,C6,C2,CA;S10,SJ,S8,S7;C5,C7,C8,SA;SQ,S3,S6,S4;C9,C3,C4,HQ;C10,H4,HA,H10;CQ,D5,H7,H5;CK,S9,H6,H3;DA,D3,DJ,DK;HK,H8,D10,SK;H2,D4,D9,DQ;H9,S5,D8,D7;HJ,S2,D6,D2"
