1571062203,1,22,2,"C4,CA,C2,CJ;C5,C10,CQ,C7;DJ,DK,DA,D2;S3,S5,S4,S2;C9,C8,C6,C3;S7,S10,SQ,SA;DQ,D8,D10,D4;S9,S8,S6,SK;CK,HJ,D3,D5;H2,HK,H8,H6;H4,H3,SJ,HA;H7,H10,D6,D7;H5,H9,D9,HQ"
1571062203,1,0,2,"C9,C3,C2,C8;C5,C10,CK,C7;D4,DK,DQ,D2;S2,S3,SQ,SJ;D5,CJ,DJ,D8;S7,S10,S8,S4;CQ,CA,C4,H7;H3,H9,HA,SA;H5,H2,D10,H4;D7,H10,D3,D6;D9,HQ,HJ,S9;DA,C6,H8,S6;HK,SK,H6,S5"
1571062203,1,5,2,"CA,C8,C3,C2;S2,S9,S7,S3;S8,S10,SJ,S6;SK,SQ,S5,S4;D5,D9,D8,D6;C9,C6,C5,CQ;D10,D4,D7,D2;DJ,DQ,CK,D3;DK,C4,C7,C10;DA,HQ,CJ,SA;H5,HA,HK,H3;H7,H2,H8,H10;HJ,H6,H4,H9"
1571062203,1,0,2,"C5,CJ,C2,CK;D3,DJ,DK,D7;C6,C10,C9,C3;SA,S8,SQ,SK;C7,C8,SJ,C4;D9,DQ,D5,D6;D10,S4,S5,S7;DA,D8,S10,D2;CQ,CA,S9,H6;H2,HK,HQ,H5;H7,H4,H8,D4;H9,H10,S3,H3;HA,HJ,S6,S2"
1571062203,1,18,2,"C3,C10,C2,C7;S4,S9,SQ,S7;S5,S2,S10,S3;CA,C6,CQ,C4;D3,DJ,DQ,DK;D5,HA,D10,D4;H8,H3,HQ,H5;D7,CK,HK,C5;H9,H4,H6,SA;D8,H2,D2,D9;SJ,CJ,HJ,S6;SK,C8,H10,S8;DA,H7,D6,C9"
1571062203,1,0,2,"C5,C6,C2,D2;S4,SJ,SA,SK;D4,S3,S10,S2;D5,DQ,DA,D3;D9,D7,D10,D8;C7,SQ,CJ,S5;DJ,S8,C10,S7;CQ,S9,C8,S6;H2,H8,HQ,H7;H4,H6,CA,H9;H10,HA,CK,HJ;HK,H3,C4,C9;DK,H5,C3,D6"
1571062203,1,0,2,"C3,C7,C2,CJ;S6,SK,SJ,SQ;S8,S4,S10,HA;CK,C4,C10,CQ;D2,D7,DK,D10;DJ,D3,D8,D9;DQ,S2,D5,D4;CA,H5,C5,C9;SA,S7,S5,H10;H6,HJ,HK,H7;H3,H9,H2,H4;HQ,S3,C8,DA;H8,S9,D6,C6"
1571062203,1,17,2,"CJ,C3,C2,CQ;D2,DK,DA,DQ;S9,S7,SQ,SJ;S10,S3,SK,S2;C10,CK,H4,C4;CA,C5,C9,H3;D4,H5,HA,D9;D5,HQ,HJ,D3;D6,H6,H10,DJ;D7,S5,H9,S4;H8,HK,C8,SA;D8,H2,C7,S8;D10,H7,C6,S6"
1571062203,1,3,2,"C9,CK,C2,CJ;S3,D3,SJ,S7;S6,D6,S10,S2;SQ,H10,S8,S9;D8,DK,DQ,D10;D9,C6,C8,C7;DJ,D5,D4,D2;SK,H3,D7,S5;SA,H2,HK,S4;H8,C10,HQ,HJ;H5,CQ,H7,H4;H9,CA,C3,C4;H6,DA,C5,HA"
1571062203,1,0,2,"CQ,C5,C2,C8;C3,CJ,CA,C9;S6,SK,SQ,S2;D5,D10,DK,D8;DJ,D9,D3,D2;C4,C6,SJ,HQ;S8,S10,S3,S5;SA,S9,D7,S4;C7,H3,D6,H9;C10,H5,HA,H8;DQ,DA,D4,H7;CK,S7,HK,H6;H4,HJ,H10,H2"
1571062203,1,1,2,"C10,C7,C2,CK;D2,CJ,C6,C9;S3,C4,SK,CA;D9,D8,DA,D3;S4,S2,S10,S6;DQ,DK,D7,D4;S5,C5,SJ,CQ;SQ,H2,S7,S9;SA,H5,S8,HJ;H6,HQ,HA,H9;H3,H10,H8,H4;HK,DJ,D6,D10;H7,C3,D5,C8"
1571062203,1,0,2,"C6,C5,C2,C9;D9,D6,DA,DQ;C10,C3,CK,C7;S2,SA,SK,S3;S8,DK,D8,D10;CQ,C4,SQ,C8;S9,S6,S4,S5;CA,CJ,SJ,HJ;HA,H2,H10,H9;HK,H7,S10,H8;H4,H6,D7,H3;HQ,D5,D2,D4;H5,DJ,S7,D3"
