1571156553,1,1,2,"CJ,C5,C2,C4;S5,S2,S9,S3;D2,DQ,D8,D4;D5,DK,D3,D9;S6,S4,SJ,SK;C3,CK,C10,C8;DJ,D6,S10,DA;C9,HK,C6,CA;H10,HQ,H9,H2;S7,D10,H6,HA;CQ,D7,H5,H8;HJ,H4,S8,H3;SQ,SA,C7,H7"
1571156553,1,1,2,"C5,C6,C2,C8;C9,C3,CK,C10;D4,S4,S5,S3;D8,DK,DJ,D2;D10,S7,SJ,S6;DQ,SQ,S9,S8;DA,D3,D7,D5;CA,H3,C4,CJ;H7,H10,HA,H2;H4,HJ,H6,H5;H9,SK,S10,SA;HK,D9,HQ,D6;H8,S2,C7,CQ"
1571156553,1,8,2,"C4,C8,C2,CQ;C9,C7,CJ,C6;S5,S4,S2,S9;D2,DK,D3,DJ;CA,CK,C5,C10;D5,D10,D9,D6;S6,SA,D7,S3;D8,DQ,HQ,DA;H4,H5,H10,H2;H8,C3,HK,H3;S10,S8,H9,SJ;SK,S7,H7,SQ;HJ,D4,H6,HA"
1571156553,1,7,2,"CQ,C3,C2,CA;S3,S6,SK,S2;C7,CK,C6,C4;S7,S8,SQ,S5;D3,DK,D5,DJ;D4,S10,S9,HA;C8,CJ,HQ,C10;H6,H3,H10,H4;H7,H5,H8,H2;D10,SA,D9,D6;DA,SJ,D2,D7;H9,C5,D8,HK;HJ,C9,S4,DQ"
1571156553,1,0,2,"CJ,C5,C2,C4;D4,DQ,DJ,D3;D8,D7,SQ,D5;S5,S9,S2,S4;C6,D2,CA,D6;SJ,S3,CK,S6;C8,C3,C9,HK;H6,H8,H7,H2;SA,S7,HA,SK;C10,S8,C7,HJ;CQ,S10,HQ,DK;H10,H4,H5,D10;H9,DA,H3,D9"
1571156553,1,0,2,"C3,CK,C2,C10;S6,SQ,S3,S5;D4,D9,DK,D2;C7,C4,CJ,C9;D6,DQ,DJ,D3;DA,D8,D10,D7;S7,S2,SK,S4;C8,C6,HK,C5;SJ,H4,S8,S10;CQ,H10,HQ,HJ;CA,HA,H8,H5;SA,D5,S9,H3;H6,H9,H7,H2"
1571156553,1,24,2,"CJ,C7,C2,CA;D7,DA,D3,D4;D10,D2,S9,D8;S5,SJ,S3,S6;DQ,DJ,C3,D9;C5,C4,S2,C9;S10,S4,HA,S7;C6,CK,HJ,C10;H2,H7,H10,HK;C8,D5,H8,S8;CQ,D6,H6,SQ;H4,H9,H5,SK;HQ,DK,H3,SA"
1571156553,1,1,2,"C5,C3,C2,C7;S7,S8,S6,S5;D3,D6,D7,D8;D5,DJ,D4,D10;C4,C6,CA,CQ;S9,S4,SJ,S2;D9,DA,C9,DQ;CJ,C10,C8,SQ;S10,HA,S3,SK;H5,H3,HK,H2;H9,H8,H4,H6;CK,D2,HQ,HJ;H10,DK,H7,SA"
1571156553,1,1,2,"CJ,C5,C3,C2;C6,CA,CK,C8;C7,CQ,SQ,HA;H6,H9,HQ,H7;D8,D4,D2,DA;S3,S9,S2,S4;C9,C4,D10,HJ;S6,SA,S10,S5;S7,C10,D9,DK;H8,H4,H10,DQ;S8,H2,DJ,H3;SJ,HK,D3,D5;SK,H5,D7,D6"
1571156553,1,0,2,"CQ,C6,C2,CJ;S2,S5,S9,S4;S7,C8,S8,S3;CK,C3,C5,C4;D5,DJ,D8,D6;D9,DK,D4,D7;D10,DA,D2,HK;H7,HQ,H10,H8;HJ,H4,H9,CA;SQ,DQ,S6,S10;SK,H2,H6,SJ;SA,D3,H5,C10;HA,C9,H3,C7"
1571156553,1,0,2,"C8,C6,C9,C2;D4,D2,D9,D7;S5,SJ,S2,S3;C10,C4,C7,SQ;S6,S4,SA,S7;D8,DK,D10,D6;CA,CQ,C5,HA;S8,S9,S10,H8;H3,H2,H4,H7;H9,CK,H5,HQ;H10,DQ,DJ,D3;HJ,CJ,SK,H6;HK,C3,D5,DA"
