1571156574,1,0,3,"C8,C3,CA,C2;D3,DQ,DK,D9;S4,CK,C5,C6;S6,SA,SK,S2;D4,D2,DJ,H5;H2,H9,CQ,H7;S7,CJ,C4,C7;DA,D10,D7,C10;S9,H6,SQ,S3;H3,HA,S10,H10;SJ,D6,HK,C9;H4,D5,HQ,S8;H8,D8,HJ,S5"
1571156574,1,0,3,"CK,C3,C6,C2;SJ,S5,S3,S2;D2,D9,DA,DJ;SK,SA,S4,S8;D6,D7,D5,SQ;D10,D4,C5,HA;C8,CQ,C4,C7;DQ,D8,HQ,HK;C10,D3,H10,C9;DK,H8,H9,H6;CA,HJ,H7,CJ;H3,S10,H2,S7;H4,S9,H5,S6"
1571156574,1,7,3,"C9,C5,C3,C2;S6,S10,S2,S3;D9,DA,DJ,D2;C4,CQ,C8,CJ;S7,S5,S8,S4;D10,HQ,S9,SJ;DQ,D5,D4,D8;DK,D6,D3,D7;H5,H6,H9,H7;H3,H4,H10,H2;H8,CK,SA,HJ;HA,C7,SK,SQ;HK,C10,CA,C6"
1571156574,1,0,3,"CK,SA,C2,C8;S4,SQ,S6,S5;D8,DQ,DK,D2;C3,H2,HA,CJ;C5,D7,H7,C6;C7,D3,D5,D10;C9,S3,H4,C4;S8,SJ,SK,S9;C10,D9,D6,D4;CQ,S2,S7,S10;H9,H6,HQ,H3;H10,HK,DA,H5;CA,H8,HJ,DJ"
1571156574,1,18,3,"CK,C6,C2,C9;S7,S5,S10,S3;D6,D2,DQ,D4;S8,S2,SK,S6;C5,C4,C7,C10;CQ,C8,DJ,CJ;D7,D5,D8,DK;D9,D10,D3,DA;SJ,C3,S9,CA;SQ,S4,HK,SA;H4,H10,H8,H2;H6,HJ,H7,H5;HQ,H9,H3,HA"
1571156574,1,0,3,"C9,CJ,C2,C8;C10,CK,C4,C6;S2,S5,SQ,S3;D3,D8,D4,DK;D5,DJ,DA,D2;SJ,S10,S8,S4;CQ,C5,D10,HQ;DQ,S9,D9,HJ;H6,HK,H9,H7;HA,C3,D7,H10;H5,C7,S7,H8;H2,H4,S6,SA;H3,CA,D6,SK"
1571156574,1,9,3,"C9,C5,C4,C2;C7,CQ,C8,C6;S7,SA,SQ,S2;SK,S10,S3,S5;D5,D3,D8,D2;CK,CJ,C10,C3;D7,DQ,S8,D4;DK,DJ,S6,D6;DA,D10,S4,D9;H3,H9,HA,H10;H2,HJ,HK,H4;H6,S9,HQ,SJ;H8,H7,H5,CA"
1571156574,1,1,3,"CQ,C8,C4,C2;S2,S6,S3,S4;D7,D8,DQ,D3;S5,S9,SJ,S7;D10,D4,DJ,D5;SA,S8,SQ,S10;C5,C9,CJ,CK;DA,H6,D2,D9;C6,C10,HQ,CA;H4,H9,H8,H7;HJ,H2,H5,H10;C7,C3,SK,HK;HA,H3,D6,DK"
1571156574,1,4,3,"CJ,C7,C2,C8;S8,SQ,S2,S3;SJ,S10,SA,S5;C3,C6,CQ,C9;D2,D8,DQ,D4;D7,D3,D5,D10;C4,S6,S9,S4;C5,S7,D6,SK;D9,DK,HQ,DA;H4,H5,HJ,H2;H6,CA,H7,H3;HA,CK,H8,H9;DJ,C10,H10,HK"
1571156574,1,0,3,"SJ,C3,C2,CK;S9,S4,S5,S3;D3,D10,DQ,D5;SQ,S10,S6,S2;C4,C6,CA,HA;DJ,D4,D7,D6;C7,C5,CJ,HJ;H2,H7,H3,H9;C10,H5,H4,H10;CQ,HQ,H8,HK;DK,SA,D8,D2;SK,S8,C9,S7;DA,H6,C8,D9"
1571156574,1,24,3,"C4,C6,C2,C8;C10,CJ,C9,C5;D4,S2,SA,S7;D5,S9,S8,S4;DA,D10,DK,D2;CA,C3,C7,CQ;H8,H9,H4,H10;HA,D9,D8,D3;HK,DQ,D7,D6;HQ,S3,S10,SK;H5,SJ,H2,DJ;H6,H3,S6,HJ;H7,SQ,S5,CK"
1571156574,1,6,3,"C5,CA,C2,C3;S6,S4,SJ,S2;D5,DQ,D7,D2;S8,S3,S9,HQ;SQ,S10,H9,S5;D6,DA,HA,D3;H2,H3,HK,H4;D10,C10,C8,C4;DJ,C7,C6,CJ;SA,H5,CK,D4;H10,SK,CQ,D8;H7,H6,C9,D9;HJ,H8,S7,DK"
1571156574,1,0,3,"CJ,C5,C4,C2;S6,S8,S3,S2;D4,D3,D2,D5;SQ,DJ,SA,S5;C8,CA,C7,C6;D7,DA,SJ,D6;D10,DK,S10,DQ;C9,D9,S7,HK;H8,HA,H6,H7;H9,HQ,H5,H10;HJ,H2,H3,SK;CQ,D8,C3,C10;CK,H4,S4,S9"
