1571156658,1,9,3,"CQ,C3,C2,C8;C4,S6,C6,CJ;D5,D6,D3,DQ;D8,D9,D4,D2;S4,SK,SQ,S2;D10,DK,C10,D7;S5,S9,S8,S10;C7,H8,C5,C9;H6,H9,HK,H5;H10,H2,HA,H3;CK,S3,H7,CA;HQ,SJ,S7,SA;HJ,DJ,H4,DA"
1571156658,1,0,3,"C4,CA,C2,C7;S5,S7,S8,S2;D4,DQ,SA,D2;S6,SJ,CK,S9;D5,D7,CQ,D3;SQ,S3,C9,HQ;SK,S10,HJ,DK;DA,DJ,H7,D6;H2,H4,H5,CJ;H6,HA,C10,H3;H8,S4,C8,D9;H10,D10,C6,D8;H9,HK,C5,C3"
1571156658,1,10,3,"CQ,C6,C2,CK;D4,D5,DJ,D2;D9,DA,D6,D10;S6,SK,SQ,S2;C5,C10,C3,C8;S7,CA,C4,C9;SJ,S8,S9,S3;DQ,D8,D7,HQ;DK,H8,D3,HJ;H3,H4,H5,H7;H2,H9,CJ,H10;HK,S5,S4,S10;H6,HA,C7,SA"
1571156658,1,1,3,"CJ,CA,C2,C9;D2,D10,D9,DQ;S8,S10,S3,S2;SJ,S5,S4,SA;D4,C4,SQ,C3;D5,D6,S9,DK;D7,CQ,S7,C5;D8,C6,S6,C8;SK,C7,H10,C10;H4,HQ,H8,H3;H5,HJ,H7,H9;DA,D3,H6,HA;HK,DJ,H2,CK"
1571156658,1,0,3,"SA,C7,C3,C2;S10,S3,S9,S5;C4,C6,DA,C8;C5,CK,D9,CQ;D8,D2,D7,DQ;H7,H10,H4,H2;C9,C10,H3,HK;SJ,S4,S8,HQ;D10,DJ,D6,HJ;DK,D4,D5,H9;CJ,S6,S7,H8;SQ,SK,S2,H6;CA,HA,D3,H5"
1571156658,1,0,3,"C8,C5,C2,C3;D3,D2,DA,D6;S6,SK,SA,S2;D4,DK,DJ,D7;D9,DQ,D5,HA;C9,C7,CK,C10;S7,S9,HQ,S3;H3,H9,H7,H2;SJ,S8,S10,HJ;D10,D8,H6,H10;CA,SQ,C4,CJ;HK,H8,C6,H4;H5,S4,S5,CQ"
1571156658,1,22,3,"C3,CA,C2,C10;S10,S3,S5,S2;D2,D8,DK,D4;C4,C6,S7,S4;D6,DQ,DJ,D7;D10,D3,D5,DA;CJ,H8,S6,SJ;H3,H10,H5,H4;H7,H6,H2,H9;CK,C5,SK,CQ;HQ,C7,D9,HK;HA,C8,S9,SQ;HJ,C9,S8,SA"
1571156658,1,2,3,"CJ,C7,C4,C2;S5,SK,S2,S6;SQ,S10,S9,S4;C5,C3,C9,C10;D8,D6,DA,D3;D10,D4,D5,D2;C6,H5,DQ,CQ;H2,H6,HK,H3;H4,HA,H8,H7;SA,SJ,S8,HQ;C8,S3,H10,CK;HJ,S7,D9,H9;CA,DK,D7,DJ"
1571156658,1,0,3,"CA,SK,C2,CJ;D9,D8,D2,D6;C3,S9,CK,HK;H2,HA,H8,H3;S10,S2,H10,S4;C5,SQ,C4,HQ;C8,D4,C6,DA;DJ,D5,C10,D3;CQ,S3,C7,D10;DQ,D7,C9,S8;SA,SJ,H9,S5;HJ,H4,H7,S7;H6,DK,H5,S6"
1571156658,1,0,3,"C3,C6,C2,C4;D2,D4,D7,D8;S5,SQ,SK,S3;D10,D3,HK,D6;S6,SJ,S2,S4;C7,C5,C9,C8;CK,HQ,H7,C10;S9,HA,HJ,S7;DJ,D5,H10,H6;DQ,DK,H8,H4;H5,H3,CA,SA;DA,D9,CQ,S10;H9,H2,CJ,S8"
1571156658,1,1,3,"C3,C10,C2,C4;S8,SK,S9,S2;C7,CQ,SA,C5;C8,C6,DA,C9;D4,D10,DJ,D6;S10,S5,SJ,S3;D7,H7,D5,DQ;H2,H9,HA,H4;D8,SQ,H10,S4;H6,HQ,HK,H5;D9,H3,H8,D2;DK,CJ,D3,CA;HJ,S7,S6,CK"
