1571156662,1,0,0,"CK,C6,C3,C2;S2,SA,S7,S3;D3,DQ,DJ,D4;C5,C10,C7,CJ;D9,D8,D10,D5;S5,SK,SJ,S9;S6,S4,S10,HQ;H7,H4,H3,H9;H10,H6,H5,HK;DA,D2,D6,D7;S8,DK,CQ,HJ;SQ,C4,C9,H8;HA,H2,C8,CA"
1571156662,1,0,0,"C10,C3,C2,CK;D2,D4,DK,D9;C4,SA,S2,S5;D5,D3,D7,SQ;D6,SJ,S4,S6;D8,DQ,S10,HA;H3,HK,HQ,SK;H4,H8,H10,CJ;H5,HJ,C9,H2;CQ,C6,H9,C5;D10,DJ,H6,C8;DA,CA,S9,C7;H7,S3,S8,S7"
1571156662,1,3,0,"CK,C6,C4,C2;C5,C8,CA,CQ;D8,D4,D6,D3;S2,S5,SQ,S9;DJ,D9,D5,D2;S3,S10,SJ,SK;DQ,D10,CJ,DK;C9,S6,S4,SA;H2,C3,HK,H5;H4,S7,H6,H3;H7,D7,HQ,H9;H10,C7,HA,S8;H8,DA,HJ,C10"
1571156662,1,5,0,"C3,CQ,C2,C9;C5,H8,C6,C4;H5,H2,H9,H4;D9,D2,D6,D10;DQ,D8,DJ,D7;S2,SA,SK,S9;S8,S6,SQ,HA;H7,H10,HJ,H3;C8,HQ,H6,C7;S10,SJ,S7,HK;C10,S5,S4,CA;DK,D4,D3,CK;DA,S3,D5,CJ"
1571156662,1,2,0,"C9,C7,C2,C3;S2,S4,DK,S6;D8,D7,DQ,D3;C10,C4,C8,C6;S3,S7,DJ,SJ;S8,SA,D9,SQ;D10,D2,D4,DA;CJ,HK,C5,CK;H6,H3,H10,H4;H9,HJ,H8,H5;S10,S5,H7,SK;HA,H2,D6,HQ;CQ,S9,D5,CA"
1571156662,1,22,0,"C5,CA,C2,C4;S5,S10,S3,S2;SQ,S4,S9,SA;C6,C7,CK,C3;D2,DJ,D4,D9;C8,C9,C10,CJ;D5,D3,D6,DQ;H3,H9,HA,H2;H4,SK,H8,H6;H5,SJ,CQ,H10;H7,DK,S8,HJ;D10,D8,S7,HQ;DA,D7,S6,HK"
1571156662,1,2,0,"CJ,C4,C3,C2;S6,S10,S4,S2;C5,CA,SK,C7;D3,D4,DA,D2;C6,HQ,S5,S3;D7,H5,S9,S8;D9,H7,SJ,S7;CQ,C8,H9,C9;D10,DQ,D5,DJ;H4,HJ,H2,SQ;H6,HA,DK,SA;H8,HK,D8,CK;H10,H3,D6,C10"
1571156662,1,3,0,"CK,DJ,C2,C6;C4,C7,HK,CQ;D4,DQ,D2,DA;D9,D8,D3,D6;S6,SK,SA,S3;SJ,S2,S5,S4;C8,C3,CJ,HJ;DK,H3,D7,D5;H5,H2,SQ,H4;H9,H10,S10,H7;HQ,C5,C9,D10;HA,H8,S8,S7;H6,CA,C10,S9"
1571156662,1,15,0,"C5,C3,C2,C10;C6,CK,C4,C7;S2,S8,S7,S3;D4,D10,DK,D5;S6,D7,D8,DJ;S10,H10,C9,C8;SJ,S5,HQ,S4;SQ,S9,H5,SK;H8,H6,H4,H7;SA,D9,H3,HK;H9,D2,H2,DA;HA,D6,CQ,CA;HJ,D3,CJ,DQ"
1571156662,1,3,0,"CK,CQ,C2,C8;S3,SA,S2,S5;C5,C7,CJ,SQ;D10,D9,DJ,D6;S9,S4,S10,S7;DK,D7,DQ,D5;C6,CA,C3,HQ;H3,H7,HA,H2;C10,D2,DA,D4;H4,H5,C9,H9;H6,HJ,S8,H10;H8,D8,S6,SK;HK,D3,C4,SJ"
1571156662,1,1,0,"C3,CA,C2,C10;S3,SJ,S6,S2;D5,D3,CK,D8;S4,DA,CJ,C5;S5,D4,C6,C4;S7,DK,C8,C7;H7,HK,DQ,H2;S10,D2,HQ,D9;SQ,H6,H10,S8;SK,D7,H8,S9;SA,D10,H5,CQ;HA,H9,H4,DJ;HJ,D6,H3,C9"
1571156662,1,1,0,"C3,C5,C2,C4;D2,SQ,S3,S6;D4,DQ,DA,DK;D6,DJ,HK,D3;C6,S7,SA,S4;C7,D10,H10,D5;H6,HA,HJ,H3;H8,H5,H7,SK;C8,C10,H4,CJ;C9,S8,S9,S5;CQ,D7,CK,D8;CA,HQ,SJ,D9;H9,S2,S10,H2"
1571156662,1,0,0,"CQ,C5,CJ,C2;S2,C9,CK,C6;D8,D6,DA,D2;S6,C10,SA,C3;S7,C8,C4,H7;H5,H8,HA,H2;H6,H9,DK,H4;S8,S10,HK,S4;SJ,S3,HQ,S5;D9,HJ,D5,D3;SQ,H3,DQ,S9;SK,CA,DJ,D7;H10,C7,D10,D4"
