1571156735,1,0,3,"C3,C5,C2,C4;D4,D6,DK,D2;S6,SK,S2,S3;D7,DA,DQ,D3;S9,S7,S8,S4;C8,H6,CK,C6;SJ,S10,SA,S5;H10,H4,H9,H2;D8,DJ,D5,D10;SQ,D9,CQ,HQ;HJ,HK,H8,H3;HA,H7,CJ,C10;CA,H5,C9,C7"
1571156735,1,15,3,"CJ,C3,C2,C6;S5,S2,S4,S3;C5,CA,C8,C4;D8,D5,DK,D2;S9,H10,SJ,S6;DJ,D7,DQ,D4;SQ,H2,SA,S7;H3,HA,HK,H5;H8,H4,HQ,CQ;C9,H7,D10,HJ;DA,D9,D6,D3;SK,H9,S8,C10;CK,H6,S10,C7"
1571156735,1,13,3,"CJ,C6,C2,C3;C4,C10,C8,C7;D5,DA,DQ,D3;S5,S8,SA,SK;D8,D4,D6,DJ;S6,S4,HJ,S2;C5,S10,SQ,CQ;HK,H10,HQ,H4;S7,HA,S3,H9;C9,H8,H3,H7;SJ,DK,S9,H6;CK,H2,D10,H5;CA,D2,D9,D7"
1571156735,1,12,3,"C4,D2,C2,CK;S2,SJ,SA,S6;SQ,S8,S7,S3;D3,DQ,D10,D7;D4,CJ,CA,C6;D6,D5,D8,D9;DJ,C8,C7,C3;SK,S10,S4,S9;DA,HK,S5,DK;HJ,H2,H10,HA;H4,HQ,C5,C9;H7,H9,H8,C10;H5,H3,H6,CQ"
1571156735,1,0,3,"CJ,C3,CQ,C2;S4,SQ,S7,S2;S5,C4,C8,C6;D6,D3,D2,DA;D7,D8,D5,DQ;S8,CK,S6,S3;DJ,H4,D4,D9;SK,HA,H10,S9;DK,H9,D10,H5;SA,HJ,H8,S10;HK,H7,H2,CA;H6,H3,C7,SJ;HQ,C10,C5,C9"
1571156735,1,0,3,"CJ,CQ,C2,C9;S2,SJ,S4,S3;D3,C4,C10,C6;S6,H5,S5,S7;SQ,HJ,S8,S10;D4,DJ,DA,D9;D5,D2,HA,D6;H3,H10,H2,H6;D7,CK,HK,C7;DK,CA,H8,C8;SA,DQ,D10,H7;HQ,C5,SK,H4;H9,C3,D8,S9"
1571156735,1,5,3,"CJ,C5,C2,CQ;S7,SJ,S9,S4;D9,D5,DK,D4;S10,S2,S5,S3;C4,C3,DQ,C7;C10,C8,S8,C9;CK,C6,D6,SQ;DA,D7,D3,D10;H8,H3,HK,H2;H5,HJ,H9,H4;HA,D8,HQ,DJ;H7,D2,S6,SK;H10,CA,H6,SA"
1571156735,1,1,3,"CK,CA,C4,C2;D6,D10,D9,D2;D8,DJ,D4,D5;C5,C10,C9,SA;S9,S2,SK,S5;C8,S10,S6,S3;DK,C3,C6,HA;DA,SQ,S7,S4;H3,D3,SJ,D7;H2,H7,HK,H6;H4,H8,H9,HJ;H10,CQ,HQ,C7;H5,CJ,S8,DQ"
1571156735,1,0,3,"C8,C3,C2,C6;S5,S3,S7,S2;D6,DQ,DA,D4;SJ,SQ,S9,S4;C9,S8,S6,SK;C10,H2,C5,C7;CJ,D3,C4,CQ;H3,HQ,H10,H5;DJ,SA,S10,H7;H9,HK,H8,CA;HJ,H4,D10,CK;DK,D2,D5,D7;HA,H6,D9,D8"
1571156735,1,0,3,"C5,C4,C2,C6;S8,S10,SA,S3;D4,S7,S4,S2;D8,SK,D10,S5;DJ,DK,D9,D2;DA,D3,D5,SQ;C8,CJ,C10,C7;CK,CQ,C3,CA;H8,SJ,C9,S6;H4,H9,H7,H5;H10,D7,H6,HA;HJ,D6,H3,HK;HQ,DQ,H2,S9"
1571156735,1,0,3,"C3,C6,C2,C8;SK,S10,S6,S2;D2,DA,D10,D5;C7,CK,C5,C4;CJ,CA,D9,CQ;D3,DJ,D7,DK;SA,S7,S5,S3;D6,DQ,D4,SQ;D8,C10,HA,H3;H6,H5,HQ,SJ;H10,H2,S9,H7;HJ,H4,H9,S8;HK,C9,H8,S4"
