1571156773,1,0,2,"C4,C5,C2,C7;S2,S7,SA,S3;D7,D4,D10,DQ;D8,D2,DK,D3;C8,CJ,SQ,C3;S5,SJ,S10,S6;C10,S8,S4,S9;CK,H3,DJ,C6;DA,D5,D9,HQ;CA,HK,H10,C9;H5,H6,H9,H7;HJ,H2,H8,H4;HA,SK,D6,CQ"
1571156773,1,1,2,"C7,C5,C2,C8;C6,C10,C3,C9;S8,S3,SA,S6;D2,D4,D7,DK;D3,DQ,D8,D10;S10,S5,S2,S7;D5,HJ,D6,D9;H8,HA,H9,H2;DJ,SJ,S4,HK;CQ,CJ,SQ,H10;CK,C4,H6,H7;DA,CA,SK,H5;HQ,H3,S9,H4"
1571156773,1,21,2,"CA,C7,C2,C3;S9,S5,S3,S4;D2,D6,CQ,D3;SJ,S2,S6,S7;D5,D4,CJ,D9;D7,C5,C9,C8;D8,H3,C10,C4;H6,H2,HA,H5;D10,H4,HJ,H7;DJ,SK,H10,S10;DQ,S8,H9,SQ;DK,HQ,H8,HK;DA,SA,C6,CK"
1571156773,1,13,2,"C5,C3,C2,C8;S8,S6,SA,S2;CJ,C4,C6,CA;SJ,S7,S4,S3;D2,D3,SQ,D8;D4,DK,C10,C7;SK,D10,S9,S5;D5,DJ,CQ,HQ;D6,D7,H10,H9;HA,HK,H7,H8;D9,H3,H5,CK;DQ,HJ,H4,S10;DA,H6,H2,C9"
1571156773,1,0,2,"C10,CQ,C2,C3;S3,SJ,H8,S2;S5,C7,C9,C5;S9,S6,H6,S4;D9,D2,D7,D3;S10,S8,SA,CA;SQ,HJ,DK,S7;DQ,DA,HA,D4;H2,H4,HK,CK;H3,D5,CJ,H5;H9,D6,D10,H7;SK,DJ,H10,D8;HQ,C4,C8,C6"
1571156773,1,3,2,"CQ,C3,C9,C2;S5,SJ,S3,S2;C10,C7,C8,C6;D5,DQ,DA,D3;S9,SQ,S7,S4;CA,C5,SA,CJ;D9,HK,DK,D4;H3,H8,H4,H2;S10,C4,HJ,H5;SK,S8,S6,DJ;H9,H7,H10,D10;HA,CK,D6,D2;H6,HQ,D7,D8"
1571156773,1,16,2,"CA,C4,C2,C3;C5,C7,C8,CK;D2,D4,D6,DQ;D5,DJ,D8,D3;S7,S5,SK,S9;SJ,S3,SA,S2;D7,D10,SQ,DK;C6,H6,C9,CJ;H2,H3,HA,H4;H7,HQ,H5,HJ;D9,H10,S10,H9;C10,H8,S8,HK;DA,S4,S6,CQ"
1571156773,1,0,2,"C6,C5,C2,CJ;D2,D9,D4,D6;C7,CA,CQ,H8;S5,S6,S10,S7;S9,SA,H7,S2;H4,H10,HK,H2;SJ,S3,H5,S4;D3,DK,HQ,D7;D5,CK,C10,H3;DJ,C8,C3,DA;SQ,C4,C9,DQ;SK,HJ,D10,S8;HA,H6,H9,D8"
1571156773,1,0,2,"CA,CK,C7,C2;S3,SK,S4,S2;C8,CJ,C9,H10;S6,S7,S5,S10;D3,DQ,DA,D2;D6,D7,D4,D9;CQ,C10,H9,C3;S8,SQ,HQ,SJ;S9,C5,C4,H7;H3,HK,HJ,H5;H8,HA,H2,H6;DK,H4,C6,DJ;SA,D8,D5,D10"
1571156773,1,1,2,"C6,C3,C2,C4;D2,DK,D10,D3;C5,C10,CQ,CA;DJ,D8,D7,D5;S2,S3,SJ,S5;SQ,S7,S6,S4;C8,C7,D4,H5;C9,CJ,HK,SA;DQ,S8,HQ,S9;DA,H2,H10,D6;CK,HA,H9,SK;H8,H3,H6,S10;HJ,H7,H4,D9"
1571156773,1,3,2,"C6,CQ,C2,C5;S4,S5,S7,S3;D7,D9,DA,D2;S6,SQ,H9,S9;D10,D3,DQ,D6;C7,C4,C3,C9;DK,D4,DJ,D5;S8,S2,SK,H5;H6,H3,H2,H7;HK,H10,H4,HJ;C10,H8,C8,CJ;S10,HQ,HA,CK;SA,D8,SJ,CA"
1571156773,1,0,2,"C5,C3,C2,C8;C9,CJ,CA,C7;D5,D4,D2,DK;D6,D9,DJ,D8;S8,S5,SQ,S2;DA,D10,DQ,D3;SK,S3,S7,S4;CK,C4,C6,C10;HA,H7,HK,H6;H2,HQ,H5,H9;H8,H3,H4,CQ;H10,S10,D7,SJ;HJ,SA,S6,S9"
