1571054909,2,0,3,"C4,C9,C2,C10;S3,S2,S9,SA;D3,D4,DA,D9;C3,C6,CQ,SQ;S7,SJ,S4,S10;D10,D6,DJ,D8;S8,D7,S6,S5;C7,C5,CK,D5;DK,C8,DQ,D2;CJ,CA,H4,HJ;H2,H3,H10,H9;HK,H7,H6,H8;HQ,HA,SK,H5"
1571054909,2,21,3,"C10,C9,C2,C6;S10,S2,S5,S9;CJ,C3,C5,C8;D5,D6,D3,DA;SA,S7,SJ,S3;D10,D8,D2,DK;D9,S8,S6,S4;DQ,DJ,D4,D7;H5,H6,H9,HA;H3,HK,H4,H2;H10,CQ,CK,C7;HJ,SK,SQ,H8;HQ,CA,H7,C4"
1571054909,2,3,3,"C10,C3,C2,C4;D2,D4,D9,DK;D6,D7,DQ,D5;S5,S3,S9,SA;D8,DJ,DA,D3;C6,C5,CA,SQ;C7,S4,S6,S8;C9,S10,SJ,S7;D10,C8,S2,HQ;CQ,CK,SK,HJ;H4,H2,H8,H10;H7,H5,H3,H6;HA,HK,CJ,H9"
1571054909,2,15,3,"CK,C6,C2,C8;CJ,C5,C10,C9;S7,S3,SK,SA;D6,D4,DK,D7;S5,S8,S4,S2;D8,D5,DJ,D3;DQ,D10,D9,D2;C7,CQ,C3,C4;H3,HJ,H6,H10;H8,HK,H5,H2;HQ,H9,CA,SQ;H7,S9,S10,S6;H4,HA,DA,SJ"
1571054909,2,3,3,"C5,C7,C2,CQ;D2,D8,D6,D9;S2,S3,SQ,S5;D5,DJ,DQ,D3;C10,DK,D4,SK;S10,S4,HQ,S6;S7,SJ,CJ,H4;S8,CA,H7,C3;S9,SA,D10,CK;H2,H5,HK,C9;H6,HJ,DA,C8;HA,H10,D7,C6;H8,H9,H3,C4"
1571054909,2,19,3,"CJ,C6,C8,C2;S8,S2,S5,S3;D2,D4,D9,D8;CQ,C10,C3,C4;D3,D10,D6,D7;S4,SJ,S7,C9;DA,DJ,DK,D5;SK,S6,H9,C7;S9,CA,CK,C5;S10,SA,H4,H8;H3,HK,HJ,H7;HA,H6,H10,H5;HQ,SQ,DQ,H2"
1571054909,2,14,3,"CA,C6,C2,C10;S9,S4,S8,S3;DQ,D2,D4,DK;CK,C7,C3,CQ;S5,D3,DA,DJ;D6,S6,D7,SA;D8,S7,D5,CJ;C8,D9,H10,C9;S10,D10,H5,HA;SQ,SJ,S2,H9;H6,H4,HK,H8;SK,H3,C5,H7;HJ,HQ,C4,H2"
1571054909,2,0,3,"C7,C5,C8,C2;D3,D2,DJ,D9;D6,D4,D8,D7;S4,S7,SA,S10;S6,S9,S3,S5;C9,C10,C6,C4;S8,CJ,CK,C3;SJ,DK,SQ,S2;D10,CA,CQ,D5;H6,H9,HK,HQ;H7,H2,H5,HJ;SK,H4,HA,H3;DA,H8,DQ,H10"
1571054909,2,4,3,"CK,C6,C2,C9;D10,D4,D6,DK;DQ,D8,D3,D9;S8,S6,S4,SA;SJ,C3,DA,D2;SK,S9,S2,S5;C8,CA,C4,CJ;H5,H6,H2,SQ;H8,H7,H9,C10;HK,S10,D5,D7;H3,CQ,DJ,C5;H4,HA,HJ,C7;HQ,H10,S3,S7"
1571054909,2,1,3,"C7,C5,C2,C9;S3,S2,S8,SA;S6,S5,SJ,S4;D6,D2,D10,DQ;D7,S9,C6,S7;D8,D3,DA,D9;DJ,CJ,CA,C4;HA,CQ,C3,C8;HJ,D4,D5,SK;H4,H5,H9,H3;H8,H6,H7,CK;SQ,HK,HQ,S10;DK,H10,H2,C10"
1571054909,2,4,3,"C10,C3,C2,CA;S2,D7,D4,DA;S3,S10,SA,S4;C4,C8,CK,C7;C6,CQ,CJ,C5;S5,D10,D5,DK;S6,SK,H8,S7;S8,DJ,D8,D6;C9,DQ,D2,D3;H2,H4,H6,HA;S9,H7,HK,H3;SJ,H10,H9,H5;SQ,HJ,D9,HQ"
1571054909,2,0,3,"CK,C10,C3,C2;S6,S2,S5,S3;D2,D3,D10,DA;S8,S7,SQ,S4;D7,C9,CQ,CJ;S9,D5,C4,C8;D9,D6,SK,D4;D8,DJ,H4,DQ;H5,H2,H6,H7;HJ,H3,H10,H9;SA,DK,C7,SJ;H8,HA,CA,S10;HQ,HK,C5,C6"
