1571062065,2,0,2,"C10,C6,C2,C4;D4,DQ,DK,D3;S2,SQ,SJ,S6;C8,C3,CK,CA;S3,S10,S9,S4;CJ,C5,C9,SA;D8,DA,D10,DJ;S8,D5,HK,D9;HA,D2,HQ,SK;H4,H7,H10,S7;H8,C7,H9,D7;H5,CQ,H3,D6;H6,HJ,H2,S5"
1571062065,2,21,2,"C5,CQ,C2,C3;S4,S5,SK,S3;D2,D7,D10,D3;D5,CJ,DK,D9;CA,C4,C10,C6;S9,S2,C9,S10;DQ,H10,D8,D6;SJ,S7,HK,S8;SQ,S6,H9,HA;DA,H7,D4,DJ;SA,HQ,H3,HJ;H6,H4,C8,H8;H2,H5,C7,CK"
1571062065,2,8,2,"CK,C6,C2,C7;S4,S3,SK,S2;D7,D10,DA,D2;S6,S10,SQ,S8;D8,H7,D6,D5;C3,C10,CJ,CQ;DK,HJ,D4,DQ;C9,C8,C5,H4;SJ,HQ,S9,S7;CA,HA,C4,H2;SA,HK,H10,S5;H3,H8,H5,DJ;H6,H9,D3,D9"
1571062065,2,8,2,"C3,C4,C2,C7;D4,D2,D7,D10;D6,DK,CK,D3;S2,S4,S10,SA;C8,CA,C6,C5;SQ,SJ,S8,SK;D9,DJ,S5,D5;DQ,D8,S3,HK;C10,C9,HA,CQ;H7,H4,HJ,H10;HQ,S9,H9,H2;CJ,S6,H8,H6;DA,S7,H5,H3"
1571062065,2,15,2,"C7,CJ,C2,CA;D6,D4,D7,DK;S4,S10,SA,S2;S7,D8,SJ,S3;CQ,C8,C6,C4;D9,D2,S9,D5;D10,D3,S8,SK;DQ,DJ,S6,H7;SQ,DA,S5,H6;H3,HA,HQ,H4;H2,HK,H10,CK;H8,H5,H9,C9;HJ,C10,C5,C3"
1571062065,2,1,2,"C10,C5,C2,C9;S4,S10,SQ,S3;D3,D8,DA,D2;C3,C8,CA,C7;S5,SA,SJ,S2;D10,D9,D7,DJ;S6,D5,D6,D4;SK,H4,S8,S9;C6,CK,HK,H9;H3,HA,HQ,H7;CJ,DK,HJ,H5;CQ,DQ,H10,H2;H8,C4,H6,S7"
1571062065,2,8,2,"CA,C3,C5,C2;C9,CJ,C10,C7;D10,DJ,DA,D8;CQ,S4,C8,C4;S3,S9,SA,SK;S7,S2,SJ,S6;DQ,D3,S8,S5;CK,H3,S10,SQ;H6,H10,HQ,H2;DK,D9,HA,D6;H8,D4,H4,H5;H9,D2,H7,C6;HK,D7,HJ,D5"
1571062065,2,5,2,"CQ,C4,C2,C8;S6,S8,SQ,S4;D4,S9,SA,S2;C6,C10,CK,C5;D7,D2,DA,D6;D9,DJ,HA,D3;C9,SK,S5,SJ;DQ,S3,D10,S10;H9,HK,H7,H8;CA,CJ,C3,C7;DK,D8,D5,H5;H10,H4,H6,H3;HJ,HQ,H2,S7"
1571062065,2,6,2,"CJ,C5,C2,CQ;D10,D7,DQ,DJ;S3,S5,SQ,S2;S7,DK,S10,S4;C3,C7,C9,C6;S9,D3,D8,D4;C10,D5,H8,D2;SK,D6,HA,H6;SA,CK,C4,CA;H2,H9,HK,H4;H5,D9,SJ,H3;H10,C8,H7,S8;HQ,DA,HJ,S6"
1571062065,2,0,2,"C10,C3,CJ,C2;S4,S5,SK,SQ;S6,C8,CK,C7;S9,S3,S8,S2;D7,D3,DA,DJ;D8,D2,D10,D6;DQ,D9,D5,D4;S10,HA,S7,SA;SJ,CA,C4,CQ;DK,C5,HK,C6;H2,HJ,HQ,H7;H8,H9,H6,H3;H10,C9,H5,H4"
1571062065,2,5,2,"CK,C3,C2,C10;S6,S5,S9,S10;C7,C5,CQ,C8;S7,SQ,SA,S2;D7,D9,D10,DQ;S8,DK,D5,D2;SJ,S3,SK,S4;CJ,H6,C9,C4;CA,HJ,H9,C6;H7,HK,DJ,HQ;H3,H5,D8,H2;H8,HA,D6,DA;H10,H4,D4,D3"
1571062065,2,9,2,"C8,C10,C2,C4;S4,SK,S3,S5;D2,D5,DJ,D9;S6,SQ,S2,S8;C9,CJ,S9,C7;S7,C3,D4,C5;D8,H4,HA,D3;D10,H7,HK,D7;S10,C6,HQ,SA;DQ,H9,HJ,D6;SJ,H10,H6,H5;DK,CQ,H3,DA;H8,CK,H2,CA"
1571062065,2,8,2,"C8,CA,C3,C2;S3,S10,SQ,S5;C9,C6,HK,C5;S4,S9,S6,SK;D10,D6,DA,DQ;DK,D9,D8,D2;CJ,C10,C4,HQ;SJ,CK,S2,S8;CQ,C7,D5,HJ;SA,H8,H7,S7;H10,HA,H2,H6;H4,DJ,D4,D7;H9,H5,D3,H3"
1571062065,2,21,2,"C6,C9,C2,C4;C10,CJ,CK,C8;CA,HQ,SQ,C3;D2,D4,D10,DK;D6,DA,D9,DJ;S4,SA,SJ,S7;S6,S2,S5,H7;S8,S9,S3,H5;H4,HJ,HA,H3;H9,H6,CQ,H2;S10,H8,HK,C7;DQ,D7,D5,D3;SK,H10,D8,C5"
