1571062100,2,7,0,"CA,C3,C2,C9;S4,SQ,S9,S2;S5,SJ,SA,S8;D7,D8,DK,D6;DA,DJ,D5,D2;C5,CJ,C6,C4;S6,C8,C7,HA;S10,S3,HJ,HQ;SK,S7,H5,H10;H7,H4,CK,H6;H2,H8,CQ,H3;H9,DQ,D3,D10;HK,D9,C10,D4"
1571062100,2,0,0,"CA,CK,C2,C3;S2,S9,SQ,S7;D7,DK,DJ,D8;S6,CJ,C9,C8;D9,D5,D4,D10;DQ,D6,D3,D2;S8,H2,SJ,S4;H4,H3,HQ,H10;H7,HK,S5,S3;H6,C7,CQ,C4;H8,H5,S10,HJ;HA,DA,C6,SK;H9,C10,C5,SA"
1571062100,2,2,0,"C5,C3,C2,C7;S5,S9,SJ,S4;S6,S8,S3,S10;C9,C8,CQ,CA;D2,D8,D9,DQ;DK,H8,D6,D4;C10,C6,CK,HA;H7,HK,H9,H2;CJ,H10,HQ,H6;SQ,HJ,H4,H5;SK,S7,DJ,H3;DA,S2,D7,D5;SA,C4,D10,D3"
1571062100,2,17,0,"C3,CA,C2,C5;S2,S9,SJ,S3;D4,D8,D3,D5;S8,S7,S6,SA;DJ,D7,D2,D6;C8,C9,CJ,CK;DQ,D10,C10,D9;S10,SK,S5,H7;H6,H8,HQ,H5;SQ,HJ,H3,S4;DA,H10,H4,DK;HK,HA,C7,H2;H9,C4,C6,CQ"
1571062100,2,3,0,"CA,C4,C3,C2;C5,CQ,CJ,C9;D7,D5,DQ,DK;S3,S8,D10,S6;SJ,S9,C8,S10;C7,D4,C6,CK;D9,S2,D6,S7;DJ,D3,D2,D8;DA,SK,HA,SA;H7,H6,HK,H10;H4,SQ,H3,H8;H5,S5,H2,H9;HQ,S4,C10,HJ"
1571062100,2,11,0,"CK,C7,C5,C2;S4,S2,SQ,S5;S8,S10,SK,S3;C6,C10,C9,CJ;D3,D5,DQ,DK;D6,D2,D10,DJ;S9,SJ,S6,S7;DA,D8,HA,D7;CQ,C3,HJ,C8;SA,H10,H9,H4;HK,HQ,H7,H2;H3,D9,H5,CA;H8,C4,D4,H6"
1571062100,2,18,0,"C5,C10,C2,CQ;CJ,CA,C9,C8;D2,DJ,D10,D9;D3,D7,S9,D5;D6,D8,S7,DA;SJ,S5,S4,S2;DQ,D4,S3,DK;CK,C6,HK,C4;SQ,HA,HQ,S10;SK,C7,H5,S8;SA,C3,H4,S6;H8,HJ,H3,H10;H7,H9,H2,H6"
1571062100,2,1,0,"CA,C7,C2,C4;C3,C5,CJ,CQ;D7,D10,D6,D8;S5,S4,SQ,S10;D9,DJ,D5,D3;S9,S2,S3,SA;DQ,H4,D2,D4;C6,H7,C8,HK;H8,H9,HJ,H2;H10,HQ,H6,H3;C9,SK,S8,H5;C10,HA,S7,DA;CK,SJ,S6,DK"
1571062100,2,18,0,"CJ,C3,C4,C2;S6,S4,S5,S2;D2,D6,D5,DK;DA,D9,D4,D3;S9,SK,SJ,HK;H2,H6,H4,DQ;CQ,CA,C8,C10;SA,SQ,S10,DJ;CK,H9,C5,C9;H5,H8,S8,D10;H7,H3,S7,D8;H10,HJ,C6,D7;HA,HQ,S3,C7"
1571062100,2,3,0,"C5,C10,C2,C8;S6,SQ,SK,S5;CA,C7,CK,CQ;S8,S4,SJ,S3;D9,D6,D8,DQ;S9,D5,D7,DJ;S10,C6,H4,S2;SA,H6,S7,H2;H8,HJ,HK,DA;H3,HQ,DK,H10;H7,D10,D3,D4;HA,C3,C4,C9;H5,H9,CJ,D2"
1571062100,2,2,0,"C8,C5,C2,C6;S6,SQ,SJ,S2;D2,D7,DK,DQ;C7,CQ,CK,C10;SK,D8,S8,S3;D4,D5,D6,DJ;D9,D10,S7,D3;CA,CJ,C3,C9;DA,H10,S5,H8;H6,H2,HJ,H4;H3,H5,SA,H7;HQ,HA,S10,C4;H9,HK,S9,S4"
1571062100,2,13,0,"C7,C3,C2,CA;S3,SA,SJ,SQ;CK,C9,C6,CJ;S6,S10,S5,S7;D7,D2,D5,DJ;D8,D10,C5,D3;D9,CQ,C4,C10;DQ,DK,S2,D6;S9,S4,HQ,H7;SK,S8,HJ,H3;DA,HK,H9,D4;HA,H4,H8,H2;H10,H6,H5,C8"
1571062100,2,5,0,"CQ,C9,C2,C4;S5,S4,SJ,S9;D2,D6,DK,D3;D9,D10,DJ,DQ;C8,S3,CK,C3;S7,SQ,SK,S6;DA,D5,D8,D4;CJ,H5,C5,C10;CA,S8,C7,HA;H8,H7,H10,H4;H9,S2,H3,H2;HQ,S10,H6,HK;HJ,D7,C6,SA"
