1571062102,2,13,3,"CQ,C9,C2,CK;D4,D3,DK,D9;S2,SJ,S8,S5;DQ,D5,D6,SQ;S3,S4,S10,S6;C5,C3,C10,CJ;C6,C8,CA,C4;C7,S9,S7,SK;DA,D8,HK,SA;H4,D7,HQ,H2;H6,D10,H8,H3;H7,DJ,H10,HJ;H9,D2,H5,HA"
1571062102,2,15,3,"C3,C4,C2,C9;CK,C10,CJ,CQ;D2,D8,D3,DJ;D6,DK,SA,D4;CA,C8,C5,SK;S8,S4,S9,SJ;S10,D9,S2,S5;SQ,H2,S7,HA;H10,H3,H7,HJ;H8,DQ,H5,D5;H4,HQ,S6,DA;HK,C7,C6,D10;H6,H9,S3,D7"
1571062102,2,0,3,"CJ,CQ,C4,C2;D4,D8,SK,D2;CA,C10,C3,CK;S2,S5,S10,SJ;S3,S8,S7,S4;D5,C7,C5,HA;D6,D3,HQ,D10;H3,H4,H9,H7;H5,H10,DA,H2;H6,HJ,H8,DK;S9,S6,C9,DQ;SQ,SA,C8,D9;HK,DJ,C6,D7"
1571062102,2,14,3,"C3,CQ,C2,CK;D6,DK,DA,DQ;S5,S6,S7,S4;SJ,S2,SA,S3;SK,SQ,H10,S8;C6,C8,C5,CJ;H8,H2,HA,H3;D7,D8,D3,D10;D9,D5,DJ,D2;C7,H7,HK,H4;C9,HJ,H9,H5;C10,D4,HQ,H6;CA,S9,S10,C4"
1571062102,2,2,3,"CK,C6,C4,C2;S7,S2,SQ,S5;D5,DQ,DA,D2;C5,C9,CQ,C3;S8,SJ,SK,S3;D10,D7,D8,D3;C8,CA,S6,CJ;C10,C7,HK,H10;H4,HQ,H9,SA;H7,D9,H8,D4;HA,D6,H6,S10;HJ,DK,H3,S9;H5,DJ,H2,S4"
1571062102,2,7,3,"CA,C4,C2,CK;S10,S6,SJ,S7;SQ,S5,SK,S3;C3,C7,C8,CJ;D3,D2,DK,DA;D4,DQ,DJ,D10;D5,S2,S8,S4;C10,C9,C6,C5;CQ,H9,S9,H8;H3,HK,HA,SA;H5,HQ,D9,H6;H10,H4,H7,D8;HJ,H2,D6,D7"
1571062102,2,20,3,"C3,C8,C2,CQ;S2,S8,SK,S10;SJ,S3,S7,S9;D4,D6,DA,DQ;CJ,C7,CK,C6;SQ,S6,DJ,S4;D8,D2,D9,D7;CA,H5,C10,C4;D10,D3,HK,D5;DK,H6,HQ,H10;H8,H7,HJ,C9;H3,H2,S5,H4;HA,SA,C5,H9"
1571062102,2,3,3,"CJ,C6,CA,C2;D3,D4,DQ,D6;S4,S10,SJ,S2;D5,SQ,DJ,D2;S5,CQ,C8,C10;S6,S8,S3,S9;S7,C4,C9,CK;D8,C5,D10,DK;D9,HA,D7,DA;H5,H7,HQ,H2;H9,HJ,H10,H8;SK,C7,C3,H6;HK,H4,SA,H3"
1571062102,2,9,3,"C5,C8,CJ,C2;S2,S5,SQ,S9;CA,C6,CK,C4;D4,D7,D9,D5;DJ,D10,D3,D8;S6,SJ,S10,S3;SK,S7,S8,HA;DQ,HK,D6,D2;DK,H6,H10,HQ;SA,H4,S4,H5;DA,C9,H8,H3;H7,H9,H2,CQ;HJ,C7,C3,C10"
1571062102,2,4,3,"CA,C4,C2,C6;S2,SQ,S10,S4;S5,SJ,SK,S9;C7,CQ,C10,CK;D2,DQ,D10,D8;D5,C3,CJ,C8;DJ,D4,D9,D3;S7,S8,D7,S6;DK,C9,D6,C5;DA,S3,HJ,SA;H3,H9,H10,H5;HQ,H8,H7,H2;HK,H4,H6,HA"
1571062102,2,7,3,"CQ,C6,C2,C10;S2,S9,SQ,S4;D4,DA,D7,D2;DJ,D10,SK,D9;S3,DK,S6,S8;S5,D5,C5,D3;C8,CJ,C4,C9;S7,D8,HQ,D6;H4,HA,HJ,H6;HK,H9,H10,H2;S10,DQ,H8,SA;CK,C3,H7,C7;SJ,H3,H5,CA"
1571062102,2,0,3,"CJ,CK,C2,CQ;S2,S3,S9,S6;D8,D3,DA,D2;S8,SQ,S4,S7;D9,CA,C3,C10;S10,C5,C6,C4;SJ,D10,DQ,DK;SK,D5,D4,D6;SA,H10,H9,C7;H6,HJ,H4,H5;H7,H3,HQ,H2;HA,H8,DJ,C8;HK,S5,D7,C9"
1571062102,2,1,3,"C6,C5,C2,C3;D3,D4,DA,D2;S2,SJ,S6,S3;D6,DK,DJ,D9;C10,C8,CA,CQ;S7,S8,S5,S10;CJ,C9,C7,C4;S9,S4,SA,HQ;H3,HJ,H7,H4;H6,HK,H10,H5;SQ,H9,H8,H2;DQ,D8,D10,D7;SK,HA,CK,D5"
