1571062118,2,4,2,"CJ,C3,C2,CQ;C7,C6,C10,C8;S5,S9,SK,S2;SQ,S4,SA,S3;D2,DQ,D8,DA;D3,H6,D4,DJ;H7,HA,HJ,H3;D5,C9,C5,CA;HK,H4,H10,H8;D6,C4,D7,H2;D9,HQ,CK,H5;D10,S6,S7,SJ;DK,S8,H9,S10"
1571062118,2,1,2,"C10,C6,C4,C2;S3,S2,SJ,S5;D9,D6,D8,D3;S4,S8,C9,S9;DJ,DK,D7,D5;C5,CJ,C8,C7;DA,DQ,D2,D10;S7,H5,D4,S6;S10,C3,HK,SA;H7,H10,HJ,H6;CQ,H9,HA,H2;SQ,CA,H4,SK;CK,H8,H3,HQ"
1571062118,2,15,2,"CK,C5,C2,C10;D4,DQ,DK,DA;D5,DJ,D9,D10;S6,SK,CQ,S9;S10,S3,C9,S8;C6,C3,C4,CA;SQ,SJ,C8,S2;D8,H8,D3,D6;SA,S5,HK,S7;H6,H5,HQ,H7;H3,H9,H2,H10;H4,CJ,S4,C7;HJ,HA,D7,D2"
1571062118,2,0,2,"C3,C6,C2,C10;D3,D6,DK,D9;C7,C9,C4,C5;D5,DJ,D2,DA;S6,SA,SQ,S4;S8,S7,S3,S10;SJ,S9,DQ,S5;C8,D10,D7,CA;CJ,H10,D4,CQ;H2,H9,HQ,HA;H7,D8,H6,CK;HJ,S2,H5,SK;H8,H3,H4,HK"
1571062118,2,13,2,"C6,C4,C2,C5;S10,S5,SQ,S2;C7,CQ,CJ,CA;D6,D5,D10,D8;D7,D4,D2,D3;C9,H4,C8,HQ;C10,H5,C3,H7;DQ,DJ,HA,D9;CK,H6,H9,DA;SK,SJ,S8,S9;SA,HJ,S3,S7;HK,H3,H8,DK;H10,H2,S6,S4"
1571062118,2,19,2,"CJ,C7,C3,C2;SK,S4,SQ,S3;D3,D9,DK,D8;C5,C9,CA,C8;D6,SJ,SA,S2;DA,D2,D7,D4;C6,C4,DQ,HA;CQ,C10,H7,HQ;CK,H6,H4,H2;H3,HK,DJ,S10;H5,H8,D10,S8;H9,HJ,S6,S7;H10,S9,D5,S5"
1571062118,2,0,2,"C6,CK,C2,C7;C8,CQ,C10,C9;D3,DJ,DK,D9;D5,C4,D8,D10;S3,CJ,CA,C3;DQ,S6,D6,D2;SJ,S10,SA,S9;DA,S2,HQ,C5;H5,H7,H4,H3;H10,S5,S8,S4;H8,HA,H2,H6;HJ,SK,SQ,D7;H9,S7,HK,D4"
1571062118,2,12,2,"C10,C6,C2,C8;D5,D4,DA,D2;S6,S10,SQ,S4;D7,S7,DK,D3;C9,C3,CK,CA;CQ,C7,CJ,C4;D10,HJ,D8,DJ;DQ,H3,HA,D9;SJ,S2,S8,S5;SK,S9,C5,S3;SA,HQ,H10,H9;H8,H4,H6,H7;HK,H5,H2,D6"
1571062118,2,4,2,"CQ,C4,C2,CA;S9,S5,SQ,S4;D5,D4,D10,DK;DJ,DQ,D8,D6;SJ,S7,S6,S3;C6,D7,CJ,C5;C7,D9,HJ,C3;C8,S10,C9,H5;H4,H9,H2,H3;CK,S8,HQ,S2;H6,H7,H8,SA;HK,SK,DA,H10;HA,D2,C10,D3"
1571062118,2,2,2,"C4,C5,C2,C8;D3,D9,DQ,SA;C9,C6,C10,CA;D4,D5,HK,D10;H2,H7,HJ,H4;S3,S7,SQ,SJ;D7,DA,H10,D2;H5,HQ,H6,H8;S10,C7,CK,H3;SK,CQ,S8,S4;DJ,H9,D6,S6;DK,CJ,D8,S5;HA,C3,S9,S2"
1571062118,2,0,2,"CK,C6,C10,C2;CQ,CA,C9,C5;D4,DA,D10,DK;S3,S5,SA,S9;DJ,D9,D8,D5;S7,HJ,SK,S2;H2,H8,H3,H5;S8,DQ,SQ,D7;S10,C4,C3,C8;SJ,CJ,S6,C7;H9,D6,S4,D3;H10,HQ,H7,HA;HK,H4,H6,D2"
1571062118,2,1,2,"C5,C3,C2,CK;S3,S4,S9,SA;D6,CQ,CA,C6;S7,S10,HA,S6;H4,H3,HQ,HJ;D7,D5,D9,DA;DJ,D10,D8,D2;S8,S2,DQ,HK;SJ,SK,H2,H10;H5,H6,C9,H7;SQ,C7,C4,CJ;H8,DK,D4,C10;H9,S5,D3,C8"
1571062118,2,19,2,"C4,C8,C2,CK;S5,S3,S8,SK;S7,SJ,DA,S2;C6,CJ,C7,CA;D4,DJ,DK,D3;D7,D6,D9,D2;SQ,S9,DQ,S4;C9,CQ,C5,H10;D10,D5,D8,H8;SA,H9,HJ,S10;H6,HQ,H3,H7;HA,C10,C3,H4;HK,H5,H2,S6"
1571062118,2,17,2,"C10,CA,C5,C2;S8,SK,S4,S6;D4,D8,DQ,DK;SQ,S5,S3,S7;C6,CK,C9,HA;C7,C4,C3,H8;C8,CQ,HJ,H6;H2,HQ,H5,H3;H4,H7,D10,SA;CJ,S2,D7,SJ;DA,D3,D6,D9;H10,H9,D5,S10;HK,DJ,D2,S9"
