1571156563,2,13,2,"C6,C7,C2,CQ;S5,S6,SQ,S2;CJ,C3,C10,C8;D6,DQ,D4,D9;D7,D3,S9,D10;S10,S3,C5,S4;SJ,D2,C4,S7;SK,D5,HK,S8;SA,C9,HQ,HA;DA,D8,H7,DJ;CA,H2,H6,CK;HJ,H10,H5,H3;H9,DK,H4,H8"
1571156563,2,0,2,"C10,C6,C2,C7;S5,SK,S4,S2;C5,CJ,C3,CA;D2,D5,D10,D6;S8,S7,S9,S6;D4,DQ,D8,D9;C8,CK,SJ,SQ;SA,S3,D3,S10;D7,HJ,HK,DJ;H5,H4,HQ,H3;H6,HA,H7,H2;C9,CQ,H9,DA;H10,C4,H8,DK"
1571156563,2,1,2,"C9,C5,C6,C2;S4,S10,S2,S3;C10,CA,SA,C7;CQ,C3,SJ,C8;D6,D9,D10,D3;S6,S7,SQ,S5;DJ,D5,D2,D4;CK,C4,S9,H8;H6,H5,HQ,H4;H7,H9,DK,H2;HJ,D8,H10,D7;HA,DA,H3,DQ;HK,CJ,S8,SK"
1571156563,2,21,2,"CJ,CA,C3,C2;D4,D8,D10,D2;S9,S2,S4,S3;C6,C7,C9,HK;SJ,S8,S5,S6;CQ,C10,C8,HQ;SQ,D9,S7,S10;CK,C4,SK,H9;DA,DK,D7,D5;SA,H3,D3,H8;H10,H2,HA,H5;H7,C5,DQ,H4;HJ,DJ,H6,D6"
1571156563,2,1,2,"C3,C6,C2,C8;D7,D2,DQ,D3;C9,CA,C7,CQ;S2,SK,SQ,S5;C10,C4,C5,CJ;S3,S7,S9,SJ;S6,H3,DJ,CK;H4,H9,HK,H2;D10,D9,HA,D8;S10,S8,HQ,SA;H6,D6,H8,H5;DK,S4,H10,H7;DA,D4,D5,HJ"
1571156563,2,0,2,"CK,C3,C4,C2;C10,CJ,C5,C7;D4,D5,D10,D6;DJ,D8,DQ,D3;S8,S6,SK,S5;S10,S2,S9,S4;CQ,C9,C6,C8;DK,D7,SQ,DA;HK,HQ,S7,CA;H3,D9,HA,H2;H5,SJ,H8,H4;H7,S3,H10,HJ;H9,D2,H6,SA"
1571156563,2,13,2,"C3,C5,C2,CK;DJ,DA,DQ,D4;S10,S6,SK,S2;SQ,S9,S3,S4;C4,CA,D8,CJ;C6,D9,D7,D6;C7,D10,D5,HJ;H6,HQ,HA,H3;H8,HK,CQ,H4;C8,D2,D3,SJ;C9,H2,S8,H5;C10,H9,S7,H7;SA,DK,H10,S5"
1571156563,2,7,2,"CA,C7,C3,C2;S5,S4,S9,S2;D7,D4,DK,D3;S7,S6,SQ,S3;D8,D10,D5,D6;C6,C4,C9,CK;D9,DA,D2,DJ;C10,C8,C5,HA;CQ,CJ,HJ,HQ;HK,H7,H2,H8;H4,H6,SA,H10;H9,SJ,S10,DQ;H3,H5,S8,SK"
1571156563,2,0,2,"C9,C3,C2,C6;S2,SA,S3,S6;C4,CK,DQ,C7;S5,SJ,D10,S4;D4,DK,D8,D3;C8,DA,D2,D7;S8,DJ,D5,D9;S9,S7,D6,S10;SQ,C10,HA,CJ;H2,H6,HJ,H5;H3,H8,H9,H4;SK,C5,H10,CQ;HQ,HK,H7,CA"
1571156563,2,26,2,"CJ,C6,C2,C7;C3,C10,CQ,C5;D4,D2,DA,D5;D9,D8,D6,DJ;S6,S4,S7,S2;DQ,D7,D3,D10;S8,S9,S3,SA;C8,H10,SQ,DK;H2,H5,H7,H9;H4,H8,H3,HJ;C9,H6,SJ,HK;CK,HQ,S10,HA;SK,C4,S5,CA"
1571156563,2,15,2,"CA,C3,C4,C2;S5,S9,S4,S3;D2,DJ,D8,D10;C6,C10,C5,C7;SK,S2,S10,S6;D6,DA,D4,DK;DQ,D3,CK,HA;C9,C8,CJ,HK;H3,HJ,H7,H2;SA,SQ,H6,S7;H8,D7,H5,H10;H9,D9,H4,S8;HQ,D5,CQ,SJ"
1571156563,2,3,2,"CQ,CJ,C2,C9;D2,D10,DA,D7;S3,S5,S7,S2;D3,CA,C7,C4;D6,DQ,D5,DK;S8,C3,C6,C5;S10,SQ,S9,S4;SK,SA,S6,SJ;DJ,D4,D9,H10;HJ,H8,HA,H9;H2,H4,CK,H3;H5,HQ,H7,C10;HK,H6,D8,C8"
