1571156565,2,0,3,"CJ,C10,C2,C4;S2,S4,S10,S5;S3,H10,S7,S9;D6,CQ,C3,C9;DK,D4,DQ,D7;S6,H2,D10,SJ;S8,C7,C8,C5;SQ,D3,HA,D2;SA,DA,D9,HQ;H3,H8,H6,H9;HJ,DJ,C6,CK;HK,D5,H4,SK;H5,H7,D8,CA"
1571156565,2,2,3,"CA,C3,C2,C9;D9,D4,D5,D2;S2,S7,SQ,S6;S3,DQ,D6,D3;S5,D8,CJ,D7;S10,SK,S4,S9;C6,C8,C7,HK;H3,H5,HA,H10;H8,H4,HJ,H2;C10,DJ,H9,D10;HQ,H6,S8,DA;SJ,H7,C5,SA;CQ,CK,C4,DK"
1571156565,2,6,3,"CK,C5,C2,C10;S3,S6,S2,S5;S4,SJ,S10,S9;D2,C7,CJ,C6;S7,SA,SK,S8;D3,C8,C3,CA;D6,DA,DJ,D5;D10,CQ,D7,HQ;H6,HA,HJ,H2;SQ,C4,H9,H4;H8,H5,H7,DK;DQ,H10,D4,D8;HK,C9,H3,D9"
1571156565,2,5,3,"CJ,C5,C4,C2;S2,SA,S5,S3;D2,SQ,SJ,S7;C7,CA,C8,CK;D8,D3,DK,D4;DA,D9,D7,DJ;C10,C9,C6,HK;HJ,H2,H4,H6;H7,HA,S9,H10;H5,S8,S6,S10;H9,D6,D5,D10;H8,CQ,S4,DQ;H3,HQ,C3,SK"
1571156565,2,5,3,"C9,C3,C2,CK;S5,S8,SA,S2;S6,SK,H10,S3;S7,S4,S9,H7;C7,CJ,C4,C6;D2,SJ,DA,H4;HQ,H2,HJ,H3;D3,D9,D10,D4;DQ,D7,D6,D8;C8,S10,H9,C5;C10,D5,H8,CQ;CA,HK,H6,DJ;HA,SQ,H5,DK"
1571156565,2,4,3,"CJ,C7,C6,C2;S3,SK,SQ,S6;CQ,C3,C4,C9;S4,S7,SJ,SA;D5,D8,DA,D2;D7,H10,D6,D3;S5,S2,S8,HA;H2,H3,H6,H8;H4,H5,H7,HJ;D9,CA,DJ,D4;CK,C8,DQ,C10;S10,H9,S9,HK;HQ,C5,D10,DK"
1571156565,2,21,3,"C4,C3,C2,C5;C7,C8,C9,CJ;S2,S5,SK,S3;D2,DA,D8,D10;CK,C10,SQ,CQ;D4,D9,D6,DJ;S7,S8,D5,S4;CA,C6,D3,H4;D7,DQ,HA,DK;H5,H6,HQ,H3;H10,H8,SJ,H7;S9,H2,HJ,S6;SA,HK,H9,S10"
1571156565,2,10,3,"C3,C10,C2,CA;S9,S8,SA,S2;C6,DA,C5,C9;D4,DQ,D7,DK;D6,D8,SK,D2;C7,S5,SQ,S6;D9,H2,HA,D3;D10,H3,D5,H8;CQ,H9,C4,C8;CK,SJ,H10,CJ;HQ,H7,H5,H4;HJ,HK,DJ,S10;H6,S3,S4,S7"
1571156565,2,5,3,"C9,C10,C2,CA;S6,SA,SQ,S2;D3,DA,DK,D4;D7,D5,DJ,DQ;S8,S10,S9,S3;C3,S5,S4,S7;C4,SK,C8,SJ;C5,C6,C7,CJ;D8,H8,D6,CQ;H4,H7,HA,H2;H9,H5,H3,H6;D10,D9,D2,HJ;H10,HK,HQ,CK"
1571156565,2,8,3,"C7,C10,C2,CA;S3,S2,SQ,S4;CJ,SA,C5,C8;S5,S9,S8,S7;S6,SK,DA,HA;D6,D9,DK,D3;DJ,DQ,D5,D10;S10,D2,D4,D8;H7,HJ,HK,H3;H10,H4,H6,H5;SJ,H8,H9,CK;CQ,D7,C3,C6;HQ,H2,C4,C9"
1571156565,2,18,3,"CA,C5,C6,C2;C10,C3,C7,CJ;D7,DK,D3,DA;D10,D9,D5,D6;DJ,D2,D4,D8;DQ,H7,SQ,SK;CQ,CK,C4,C8;SA,S10,S9,S3;HK,HQ,HJ,H5;H3,H8,H4,H9;H6,S2,S8,S6;H2,S5,SJ,S4;H10,HA,S7,C9"
1571156565,2,4,3,"CK,C4,C2,C7;S8,S6,S7,S3;D9,D8,DJ,DQ;C10,H8,C5,C6;SJ,S4,S10,SQ;H2,HA,HK,H5;DK,D3,D10,HQ;SK,S2,S9,HJ;SA,H10,S5,CA;DA,D2,D6,CQ;H3,H4,H6,CJ;H7,D7,C8,C3;H9,D4,D5,C9"
1571156565,2,0,3,"C3,C6,C2,CA;S4,SJ,S10,S2;D3,D7,DQ,D2;S8,SK,S3,S6;C7,C8,CK,C4;SQ,SA,S5,S7;DA,D9,DJ,D4;C9,C5,C10,CJ;H4,D6,D5,D8;H5,H3,HQ,H10;H8,H6,HA,H2;HK,CQ,H7,S9;HJ,H9,D10,DK"
