1571156646,2,0,2,"C4,C5,C2,C7;D3,DJ,D7,D2;S4,S2,SA,S3;C8,C9,CK,CQ;D5,DK,D6,D4;S6,S7,SQ,S9;C10,C6,CA,C3;D8,H8,CJ,D9;H4,H7,HK,HJ;H9,H10,HA,H2;D10,S8,S10,SJ;DQ,S5,H6,SK;HQ,H5,H3,DA"
1571156646,2,0,2,"C8,CJ,C2,C10;S5,S6,S8,S2;CQ,C6,C9,C3;S9,S4,SA,HK;D9,D4,D3,DJ;DQ,D8,D5,D10;SJ,S7,SK,H9;H4,H3,H2,H10;H5,H7,H6,HA;SQ,S10,CK,C4;HQ,D2,D6,D7;H8,DK,C7,DA;HJ,S3,C5,CA"
1571156646,2,3,2,"CQ,C5,C3,C2;S2,S8,S5,S3;SK,S9,SA,S6;C4,S4,S7,SJ;C7,CA,C10,C8;D4,D5,DK,D3;D6,DA,D8,D10;C9,CK,C6,SQ;CJ,DQ,D7,D9;H6,D2,HK,H10;H8,HJ,H7,H5;HQ,DJ,H3,H9;HA,H4,H2,S10"
1571156646,2,0,2,"CJ,C4,C9,C2;S2,CA,C6,C10;D6,D8,DJ,D2;D7,DK,D3,D4;S8,C5,SQ,C7;D10,DQ,SA,D5;S10,SJ,S7,S6;DA,S4,S3,SK;H7,C8,S5,CQ;H2,HJ,HA,H4;H3,CK,H8,H5;H9,S9,H6,HQ;H10,C3,HK,D9"
1571156646,2,0,2,"C5,C3,C2,CA;S3,SJ,SK,S5;C4,CJ,C7,C9;D2,D10,D5,DJ;S6,DK,SQ,S8;D6,D4,S9,S2;C6,HA,C8,CK;D7,HQ,H8,H6;D8,H2,H5,H7;C10,H4,H3,H10;DQ,H9,S10,HJ;CQ,D9,S7,HK;DA,D3,S4,SA"
1571156646,2,0,2,"CK,C5,C2,C3;S7,S3,S4,S2;D2,D4,D9,D5;S8,SJ,S5,S6;C6,CA,CQ,SQ;SK,S9,SA,S10;D6,D7,D10,D3;D8,HA,CJ,DQ;C8,H8,HJ,H2;C9,H9,H5,H3;C10,H7,H10,H6;DJ,HK,HQ,C4;DK,H4,DA,C7"
1571156646,2,8,2,"C7,CJ,C2,CA;D2,D10,DA,D3;S3,S6,S5,S2;S8,SA,S7,S10;D6,D5,DQ,D8;C8,C5,C4,C10;CQ,C6,C9,C3;S9,SQ,D7,HA;H3,HJ,HK,H4;H10,H9,H5,H2;SJ,S4,H7,HQ;CK,H8,H6,DK;SK,D9,D4,DJ"
1571156646,2,5,2,"C3,CJ,C2,CQ;D5,D9,DA,D6;S8,SJ,S2,S4;C5,SK,SA,S3;C7,S9,S6,S5;C10,D8,D2,SQ;HA,S7,DK,S10;H6,H8,C8,C4;H5,H3,H10,HJ;HQ,DQ,CA,D3;H7,H2,DJ,CK;HK,H4,D10,C9;H9,D4,D7,C6"
1571156646,2,24,2,"CQ,C3,C2,CJ;S3,S8,S4,S5;C5,C10,C9,C4;D3,CA,C6,CK;D6,D7,DA,D9;S9,S2,S6,SJ;D8,D4,SA,D2;S10,C7,SK,S7;DJ,HA,HQ,D5;SQ,H4,H2,HJ;H10,H3,DK,H7;HK,H5,DQ,H8;H6,C8,D10,H9"
1571156646,2,9,2,"CK,CQ,C2,C8;S2,S3,SQ,S4;D4,D3,DK,D10;CA,CJ,C9,C4;D6,D2,D9,DA;D7,C10,C3,C6;S8,S7,S6,SJ;H7,H4,H8,H2;DJ,SK,HK,D5;S10,S9,S5,HJ;DQ,HQ,D8,H9;SA,H6,C7,H5;HA,H10,C5,H3"
1571156646,2,0,2,"CK,C4,C2,CA;S8,S9,SA,S2;SK,C3,S3,S5;D3,D5,DK,D2;D6,H5,S4,S10;C6,C8,C9,C7;H3,H10,HA,H4;H7,H2,H9,H6;C10,DQ,HQ,S6;CJ,D10,HJ,S7;DJ,D9,D8,SJ;HK,C5,D7,SQ;H8,DA,D4,CQ"
1571156646,2,17,2,"C3,C6,C2,C10;S2,S3,SA,SK;S5,S8,HA,S4;D3,DQ,D10,D7;D5,D4,D6,DK;H3,HJ,HK,H2;SQ,C5,HQ,S6;D8,D2,H4,DA;H5,H6,CA,H7;H9,C7,SJ,H8;CJ,C4,S10,C9;DJ,D9,S9,H10;CQ,C8,S7,CK"
1571156646,2,15,2,"CA,C4,C2,C6;S4,S6,S7,S2;D2,DJ,DA,D4;S5,S8,S10,S3;C7,C9,CJ,C5;CQ,D6,C8,C3;CK,H9,C10,SQ;SK,S9,HK,SJ;H4,H6,H8,H2;HQ,DK,H10,D7;H7,D3,D8,H5;HJ,D5,H3,D10;HA,D9,SA,DQ"
1571156646,2,25,2,"C3,C6,C2,C10;D2,D3,DA,D6;SJ,S3,S4,S2;C7,H9,C4,CK;H8,H5,H3,H2;D9,D4,SA,D7;DJ,D10,CQ,D8;DQ,D5,CJ,DK;SQ,S10,S8,S5;SK,S6,S7,S9;H10,H6,C9,H7;HK,H4,C8,HJ;HA,HQ,C5,CA"
