1571156768,2,6,1,"C6,C3,C2,CQ;C8,C7,SJ,C4;S6,SQ,S10,S2;C9,CA,D10,CJ;C10,CK,D6,H10;H4,HK,HQ,H2;S7,S8,S3,S4;D7,D2,D4,D3;S9,SA,HJ,SK;HA,H9,H8,DA;D9,H7,H6,D5;DJ,S5,H5,D8;DQ,C5,H3,DK"
1571156768,2,17,1,"C9,C5,C2,CQ;C3,C10,SA,C6;C4,C7,SK,HK;D7,DA,DK,D2;D9,D6,D8,D3;S4,S10,SJ,S3;S8,S2,S6,S5;C8,CA,S9,H10;D10,DJ,D4,D5;CK,CJ,HA,H7;SQ,H3,HQ,S7;H2,H5,H9,H4;H6,HJ,DQ,H8"
1571156768,2,4,1,"C4,C3,C2,CK;D2,D5,SQ,D9;S3,SK,S9,S5;D3,D8,CA,DJ;C9,D7,C7,C5;S4,S2,S8,HA;H3,H8,H4,H2;D6,D10,HK,DA;C10,S10,C6,C8;SJ,H10,S7,HJ;DK,D4,HQ,H9;SA,DQ,S6,CQ;H5,H7,H6,CJ"
1571156768,2,18,1,"C8,CA,C2,CJ;S5,S4,S3,S2;D2,D6,D5,D3;D8,D9,SA,D7;DJ,D10,C9,SQ;S7,HQ,S6,S8;C10,C6,C5,C3;S9,H9,C4,S10;CK,D4,HA,C7;DQ,DK,HK,HJ;H6,H4,H7,H8;SK,H10,H5,SJ;DA,H2,H3,CQ"
1571156768,2,18,1,"CA,C5,C2,CK;S6,S5,S2,S3;D2,DJ,D9,D5;D6,DK,D7,D10;C9,CQ,C8,C6;C10,CJ,C4,C7;S7,C3,S10,SA;SJ,S4,S9,S8;D8,SQ,D3,SK;DQ,HQ,D4,H10;DA,H2,HJ,H7;H4,H9,H8,H3;HK,HA,H6,H5"
1571156768,2,8,1,"C10,C4,C3,C2;S2,S7,S3,S5;D4,D6,DA,D2;SA,SJ,S6,S9;D7,C7,D3,D9;C8,C9,C5,C6;D10,S4,DK,S8;CJ,S10,DJ,SQ;CK,H2,D5,DQ;H5,H7,HA,H3;HQ,H6,H4,H9;CA,CQ,H10,HJ;HK,H8,D8,SK"
1571156768,2,0,1,"C3,D3,C2,C9;S5,SA,DA,S3;S8,S2,CK,S4;D5,D6,DK,D7;D8,C4,C6,C5;S9,S7,DJ,S6;D10,D2,D4,DQ;SQ,C7,HA,C8;H3,H4,H8,H9;SK,CJ,H7,C10;H10,D9,H6,HQ;HJ,S10,H5,CA;HK,SJ,H2,CQ"
1571156768,2,0,1,"CK,C6,C2,C3;S2,SK,S5,S9;S3,S4,SJ,S7;C4,D7,C7,CJ;D6,DK,D4,DJ;C5,D5,D9,D10;S6,DA,D3,DQ;S10,S8,C10,SQ;C8,D2,D8,CA;H9,HJ,HK,H2;C9,H7,H3,H5;CQ,H4,H8,H6;SA,H10,HA,HQ"
1571156768,2,7,1,"C5,C9,C2,C4;S2,S4,SA,S5;CK,C10,C7,CA;D3,D5,D2,D9;S9,S10,S7,S3;D4,C3,C6,CQ;D6,D10,SQ,D7;DJ,C8,S8,H8;H3,HJ,HQ,H4;HK,H6,H5,H2;SJ,H9,S6,SK;DK,DQ,H10,D8;HA,CJ,H7,DA"
1571156768,2,13,1,"C4,CQ,C2,C9;S7,S2,S9,S3;D8,DA,D7,D2;CK,C10,CJ,C5;D10,DQ,D6,D3;DJ,C7,C8,CA;SK,HA,D5,D4;SA,S6,SQ,S4;H2,H3,HK,H5;H4,H7,H8,HQ;H10,SJ,HJ,S5;H9,C6,S10,DK;H6,C3,S8,D9"
1571156768,2,1,1,"CQ,C4,C2,C6;S3,S7,S2,S4;D3,D8,DJ,D2;SK,S6,S8,S9;D6,D5,D10,D4;C8,S5,SQ,S10;DQ,H4,D9,D7;C10,CK,CJ,C7;DA,C3,C5,C9;H3,H6,HJ,HQ;H7,HA,H10,DK;H8,H2,SJ,SA;HK,H9,H5,CA"
1571156768,2,12,1,"CQ,C4,C2,CA;S2,SK,S8,S9;S3,S6,S5,SJ;D3,D2,DK,D5;S7,S10,SQ,S4;C8,C6,C10,C7;D4,D10,D8,D6;D7,D9,C5,DA;DJ,H6,C3,C9;HK,H3,HJ,H5;DQ,HQ,H10,H9;SA,H7,H8,CK;HA,H2,H4,CJ"
