1571156769,2,2,1,"C8,C3,C2,CA;S6,S3,SQ,S4;CQ,C10,C9,C6;S7,S9,S5,S10;D8,D2,DK,D7;S8,D6,DQ,D10;SJ,C7,C4,CJ;SK,H9,C5,CK;H2,HQ,HJ,H4;H3,S2,H10,SA;H5,DJ,H8,H6;HK,D9,DA,D3;HA,D5,D4,H7"
1571156769,2,8,1,"C7,CQ,C2,C3;D4,D7,DK,D2;S5,S4,S3,S7;S10,SQ,SK,S8;D6,DA,D3,D5;C6,S6,S9,SA;C8,DJ,SJ,D8;C9,S2,C5,H9;C10,CK,C4,CA;H8,H5,HK,H2;HQ,H4,DQ,H3;CJ,HJ,H10,D10;HA,H6,H7,D9"
1571156769,2,0,1,"C6,CA,C2,C5;S4,S10,S2,S5;D4,D10,D9,D2;S7,S6,S9,SK;C7,CQ,C10,C3;DQ,D6,D7,D3;S8,S3,C9,SA;SJ,DJ,C4,C8;SQ,D5,HA,CJ;H3,H9,HQ,H4;H6,DK,H10,H2;H7,D8,H8,CK;HJ,DA,H5,HK"
1571156769,2,0,1,"CQ,CA,C2,C6;S8,S3,S6,S4;D4,D5,DA,D2;S10,S7,SJ,S5;DQ,S2,D10,D3;SK,SQ,S9,SA;H7,C10,C5,C7;H2,HA,HJ,H3;HQ,C3,C4,CJ;H10,HK,D6,D9;H5,H6,D7,DJ;H9,C8,H4,CK;H8,C9,D8,DK"
1571156769,2,16,1,"C6,CQ,C2,CJ;S5,SA,S2,S7;D10,D2,D8,D5;C10,C4,C7,C5;S10,S4,SK,S3;SQ,H3,S6,S9;DQ,DJ,D6,HQ;CA,D7,C3,C8;DA,DK,D4,H10;H5,H2,HJ,H6;H8,HA,CK,H4;H9,D9,H7,C9;HK,D3,SJ,S8"
1571156769,2,16,1,"C9,C6,C2,CJ;C10,CQ,C3,CK;D3,D7,DA,D5;S3,S5,S7,S2;D4,DQ,DK,D8;S4,S10,S8,S6;D9,C4,SA,CA;SK,C8,S9,SJ;DJ,H9,D10,SQ;H6,HQ,H3,H7;HJ,C5,H2,HA;H4,H5,D6,H8;HK,C7,D2,H10"
1571156769,2,1,1,"CQ,C3,C2,C10;DA,D10,DK,D2;C4,C7,C8,CK;S8,S2,SJ,S3;S9,S10,S5,S4;C5,D5,D3,D6;C9,SQ,S6,S7;CA,CJ,C6,H8;H4,HJ,HK,H6;H10,H2,D8,D4;H7,H5,D7,D9;HQ,H3,DQ,SK;H9,HA,DJ,SA"
1571156769,2,0,1,"C3,CA,C2,C6;S3,SK,SA,S2;S4,SJ,S5,S6;D4,D7,DA,D3;S8,SQ,HA,S7;S10,CQ,CJ,C4;DK,DQ,D9,D5;H6,H8,H9,H2;H3,H10,HQ,H4;HJ,D2,S9,D6;HK,D10,C8,D8;H5,C9,C7,CK;H7,C10,C5,DJ"
1571156769,2,7,1,"CK,CJ,C2,C10;D5,D2,D3,D4;S5,SA,SK,S3;D6,CQ,C3,CA;D8,D10,SJ,D7;S7,S2,S4,S8;DQ,SQ,C9,S9;DK,C5,C4,HJ;DA,S6,H9,S10;H2,HK,H3,H4;H7,H5,C8,H6;HA,HQ,C7,DJ;H10,H8,C6,D9"
1571156769,2,5,1,"C5,C9,C2,CK;CJ,C8,CA,C6;D2,DJ,D6,DK;D9,D4,D10,DQ;S5,C3,C7,C4;S7,S4,SQ,S6;DA,D5,HA,D7;SJ,S3,S10,S9;SK,S2,S8,SA;H6,HQ,H10,H4;H8,H3,H2,H7;H9,H5,CQ,HJ;HK,D3,D8,C10"
1571156769,2,3,1,"CK,C5,CJ,C2;D3,D8,D5,D9;CA,C8,C6,C3;S6,S5,SQ,S9;S8,SA,S10,S3;DJ,D4,C10,D7;DQ,D2,C9,D10;DA,D6,S7,DK;H3,HJ,H9,H8;H6,CQ,C4,C7;H2,S2,S4,SJ;H7,HA,H5,HQ;HK,H10,H4,SK"
