1571156774,2,23,2,"CJ,C6,C2,C3;S5,SA,S2,S3;D5,D9,DA,D4;S10,CK,S9,S4;C5,CA,C10,C9;D6,D8,DK,D10;SQ,HJ,SJ,S6;C7,C4,C8,HK;H8,H5,H2,H3;DQ,D3,D2,DJ;CQ,D7,S8,H9;HA,H6,H4,H7;H10,HQ,S7,SK"
1571156774,2,10,2,"C6,CQ,C2,C10;S10,S8,S3,S2;D2,D10,DQ,D7;SJ,SQ,S4,S6;CK,C9,C8,C3;D5,D8,D3,DK;CA,CJ,C5,C4;SK,S9,DJ,S5;DA,HA,D9,HK;SA,H7,H5,S7;HQ,H6,H4,H8;H9,HJ,D6,H10;H3,H2,D4,C7"
1571156774,2,0,2,"CQ,C9,C2,C3;D5,DA,DJ,D3;DK,D6,D2,D7;S2,C4,S7,S9;S3,C8,S6,SQ;CA,C6,CJ,CK;S4,H10,C10,SA;H7,H2,HA,H4;S5,H6,H8,HJ;S8,H3,D10,D4;S10,H9,D9,HQ;SJ,H5,D8,DQ;SK,C5,C7,HK"
1571156774,2,8,2,"C5,CK,C2,CA;D7,D4,DK,D9;S2,S7,S3,S6;C8,C3,C6,C7;D8,D6,D5,DJ;S10,H2,SA,S4;SJ,H7,S5,S8;D10,DA,D3,SQ;CJ,C4,SK,C9;CQ,H5,S9,C10;DQ,D2,HK,HQ;HA,H4,HJ,H3;H6,H8,H10,H9"
1571156774,2,3,2,"C10,CJ,C2,C5;S2,SJ,SQ,S5;C4,C6,CA,C7;DQ,D4,DA,D6;DK,D7,D8,D2;CQ,C8,C3,HA;CK,C9,HK,HJ;H2,H9,H7,H10;H8,S8,S7,S9;HQ,SK,S3,S10;H5,D5,H6,D9;H3,D3,S6,D10;H4,SA,S4,DJ"
1571156774,2,1,2,"CQ,CK,C2,C3;S3,S9,S5,S2;D2,CJ,C6,C4;D3,D6,D10,SQ;D5,D8,HQ,D9;H2,H9,H3,H8;H4,HK,HJ,H5;S4,H7,SA,H6;DQ,DJ,D7,H10;S6,HA,S7,C9;DA,DK,C8,D4;SJ,C10,S8,C7;SK,CA,S10,C5"
1571156774,2,11,2,"CA,C6,C2,C9;C3,C8,C7,CK;D2,D9,DA,D8;S3,SQ,SA,S5;D4,D10,HJ,D5;S4,S10,SK,S6;D6,DQ,H9,D3;DK,DJ,HK,H6;C4,C10,C5,CJ;H10,H8,H7,H4;S8,S2,H3,S7;HQ,D7,H2,H5;HA,S9,CQ,SJ"
1571156774,2,22,2,"SA,C9,C2,C3;S3,S6,SK,S8;CQ,C7,H9,C10;S7,C5,S2,S9;H5,H7,H10,H2;D8,D5,D3,DJ;DQ,D7,D4,D6;SJ,CA,S4,S10;DK,D2,SQ,D9;DA,HK,C6,D10;HJ,CJ,H4,H3;HA,C8,S5,H6;HQ,CK,C4,H8"
1571156774,2,4,2,"C5,C4,C2,C3;D8,D3,D10,D5;S5,S4,S8,S2;CJ,C6,CK,C9;S9,S10,SQ,S3;CA,C10,C7,CQ;SJ,S6,S7,SK;DJ,D4,D7,DA;DQ,D9,C8,SA;H2,HA,HQ,H3;H6,D6,D2,H10;H5,DK,H8,H9;HK,HJ,H4,H7"
1571156774,2,18,2,"C4,C3,C2,C9;D6,D9,DQ,D3;S9,S8,S3,S2;C6,C10,CQ,C5;SA,SQ,S4,S6;C7,H8,CJ,CK;C8,SJ,S10,S5;DK,D4,D10,D5;CA,H7,SK,HK;H5,H10,HA,DA;H3,H6,DJ,H4;H9,D2,D8,D7;HQ,H2,S7,HJ"
1571156774,2,13,2,"CK,C3,C2,C10;SQ,S4,S5,S2;D3,D6,DQ,D8;C4,C6,C9,C7;SA,S3,SK,S8;D4,D10,D7,D9;D5,S6,S7,S10;DJ,H3,D2,DA;H7,HK,H10,H8;C8,H6,H5,H9;CJ,HQ,H4,HJ;CQ,S9,H2,HA;DK,SJ,C5,CA"
1571156774,2,2,2,"C4,CK,C2,C8;S2,S9,S8,S4;S5,S3,S10,SQ;D6,D9,DA,D2;D7,DK,D3,D5;C10,C7,C3,C9;S6,S7,CJ,HA;H5,H4,HJ,H2;H9,H8,HK,H3;D8,H7,H10,D4;SJ,SK,H6,CA;DQ,CQ,C5,DJ;SA,HQ,C6,D10"
1571156774,2,19,2,"C9,C4,CJ,C2;D4,D2,DK,D7;S6,S5,S2,S4;S8,C10,SJ,S3;SK,CK,S9,S7;D9,DA,D10,D8;DQ,DJ,D6,SQ;SA,H8,S10,HQ;HA,H2,H9,H6;H5,D5,H7,H10;H3,CQ,C7,C5;HK,D3,H4,C8;HJ,CA,C3,C6"
1571156774,2,3,2,"CK,C5,C2,C4;D2,S2,SA,S4;C6,S5,S8,S3;D7,D4,SJ,D6;C8,C3,CJ,CA;D8,D3,S9,D9;D10,D5,S7,DJ;C9,S6,C7,DQ;C10,S10,HK,SK;H2,HA,HJ,H3;CQ,SQ,H9,HQ;H5,H10,H8,DA;H7,H6,H4,DK"
1571156774,2,19,2,"CJ,C8,C7,C2;S2,SJ,S4,S6;CQ,C3,C10,SQ;D4,D2,D9,DA;S7,S9,SK,S5;D6,D10,HQ,D7;H2,H9,HA,H4;D8,DK,HJ,D3;SA,S3,S10,S8;DQ,DJ,D5,H10;CK,CA,C9,H8;H7,H3,C5,H5;HK,C6,C4,H6"
1571156774,2,0,2,"CQ,C3,C2,CA;C4,D9,DK,D3;S6,SQ,S4,S7;C5,D4,D8,D7;SJ,DJ,D10,D2;SA,S9,SK,S5;CJ,CK,C6,C10;HA,S3,C9,S8;H2,H5,HK,H4;H3,H8,H6,H7;H10,S2,H9,S10;HQ,D6,D5,DQ;HJ,C8,C7,DA"
1571156774,2,5,2,"C7,CQ,C2,C6;D2,D9,DA,D3;CK,C8,C9,CA;D4,D10,D5,D8;S9,SA,SQ,S2;D6,C5,C4,CJ;SJ,S7,S10,S5;DQ,HQ,C10,D7;SK,S3,S4,S6;HK,H4,H8,H7;H6,HJ,H5,H9;HA,C3,H2,DK;H3,H10,S8,DJ"
1571156774,2,16,2,"C5,C10,C4,C2;S5,S4,SA,S3;S9,S10,S7,S6;D3,D8,D10,D6;SQ,S2,SJ,S8;D4,DA,D9,DJ;C8,CK,D7,HA;C9,CQ,H10,HJ;D5,D2,H9,DK;HQ,C3,H8,H2;CJ,CA,H6,H7;DQ,C7,H5,H4;HK,C6,H3,SK"
1571156774,2,6,2,"CK,DA,C2,C4;S4,S9,S8,S2;C5,C6,CJ,SQ;C7,C3,HK,C9;D5,D4,D2,D10;D6,DQ,D3,D9;S5,D8,SA,D7;C8,H8,H9,H2;S10,H6,H3,H7;SJ,HJ,HQ,S3;C10,H4,SK,H10;CQ,H5,S7,DK;CA,HA,S6,DJ"
1571156774,2,16,2,"C8,C3,C2,C5;S2,SK,SA,S3;S5,S7,S4,S9;S6,H8,HJ,S10;S8,D3,H3,SJ;C7,C9,CK,CJ;H6,H4,HQ,H2;DK,D7,D5,DQ;SQ,C10,D10,DA;CQ,C4,C6,CA;H9,D4,D9,D6;H10,H5,DJ,H7;HK,HA,D2,D8"
1571156774,2,0,2,"CQ,C6,C2,CK;SQ,S2,SK,S4;C3,CJ,C10,C5;D3,S6,SJ,S10;D4,S7,D2,DA;D6,H8,D9,D8;H2,HQ,HA,H4;H3,H6,H10,HJ;C4,S8,SA,S3;DJ,C9,D7,D10;C8,C7,S9,CA;DQ,H9,D5,DK;H5,H7,S5,HK"
1571156774,2,13,2,"CJ,C3,C4,C2;S6,S4,S3,S2;D3,DQ,DK,D4;S8,SK,S7,S5;D5,SQ,S10,S9;D9,D8,D2,D6;C8,C5,C10,C9;CK,C6,CQ,C7;D10,HQ,D7,HJ;CA,H8,H9,H7;DA,H5,DJ,H4;HK,H2,H6,SA;HA,H10,H3,SJ"
