1571156775,2,2,2,"C4,CK,C2,C7;S6,H2,S2,S4;D2,D7,DK,D9;S10,H6,S3,S5;D4,DA,D8,D10;DQ,D6,D5,DJ;C8,CA,SA,C5;C9,D3,SK,SQ;C10,C3,S8,C6;SJ,CJ,S7,S9;HK,HJ,HA,H3;H4,H8,H5,H10;H9,CQ,H7,HQ"
1571156775,2,4,2,"CA,C7,C8,C2;S5,SQ,S4,S10;S7,S2,SK,S9;CJ,CK,CQ,C10;S8,S3,SJ,SA;D5,D3,DA,DQ;D6,D4,HQ,DJ;H3,HK,H2,H8;D7,C4,C5,HJ;H6,S6,H4,H9;D9,D2,H10,D8;DK,C6,D10,H7;HA,C3,C9,H5"
1571156775,2,17,2,"CA,C5,C7,C2;S7,S9,S2,S5;D4,D6,DA,D2;SQ,SJ,S3,S8;D7,DQ,DJ,D5;C10,C8,CJ,C6;CK,C4,CQ,C9;D8,D3,D9,D10;SA,SK,HQ,S4;DK,H8,H9,HK;H5,H2,H7,H6;H10,HJ,S10,H3;HA,C3,H4,S6"
1571156775,2,0,2,"C3,D3,C2,C4;D4,C10,CQ,C8;D7,DA,D5,DJ;D8,D9,D2,SQ;S5,SJ,SA,S2;S8,C7,C9,C5;S9,S6,SK,S3;DQ,HJ,CK,C6;DK,S10,HQ,S4;H4,H3,H2,H7;H6,HK,CJ,S7;H9,H5,D10,CA;H8,H10,D6,HA"
1571156775,2,3,2,"CK,C4,C2,CA;D6,D2,D5,D7;S7,SK,SQ,S2;C9,C5,C3,CQ;S8,S3,S10,S4;DA,DQ,D9,D4;S9,H5,CJ,S5;SJ,H10,HA,S6;H3,H2,H6,HQ;HK,D8,D3,D10;H9,H7,C10,DJ;H8,H4,C8,DK;HJ,C6,C7,SA"
1571156775,2,2,2,"C9,CA,C2,C6;CJ,C3,C7,C10;S2,S8,SQ,S3;D2,D4,D5,DK;D6,SJ,DJ,DQ;D7,HA,DA,D3;H2,H5,HQ,H4;H9,H3,H6,HJ;CQ,C8,CK,C4;S7,H10,D9,H7;SK,S6,S4,S10;D8,S5,S9,H8;D10,HK,C5,SA"
1571156775,2,22,2,"C5,C3,C2,C4;S9,SK,SA,S5;SJ,S3,S8,S4;DJ,D6,D9,D7;CJ,CQ,C7,C6;SQ,S10,D8,HQ;CK,S6,H7,C8;DK,D10,D2,DQ;DA,HA,D5,HJ;CA,S7,H6,C9;HK,H5,H4,H2;H8,H10,D4,H3;H9,S2,D3,C10"
1571156775,2,0,2,"C9,CQ,C2,C10;D7,CA,C4,C8;S7,CJ,C3,C5;S10,S8,SA,S5;D10,D6,D3,D9;SJ,SK,S3,S9;DJ,D8,D2,D5;DQ,D4,SQ,DK;DA,CK,S6,C6;H3,C7,S4,HA;H9,S2,HK,HQ;H4,H5,H8,H2;H10,HJ,H7,H6"
1571156775,2,23,2,"C3,C9,C2,CA;S4,S5,SK,S6;S7,S2,S8,S3;D9,D7,D10,D3;S10,DK,HJ,S9;CQ,C8,CJ,C4;SQ,D2,SJ,H9;SA,H8,D8,H4;H10,H6,C7,DA;HA,H3,C6,CK;H5,HQ,C5,DQ;H7,DJ,D5,D6;HK,H2,D4,C10"
1571156775,2,26,2,"C5,CK,C2,C3;S3,S10,S5,S4;S6,S2,SA,SJ;D5,DJ,D3,DA;D7,DK,D4,D2;S7,S8,CQ,HQ;S9,SQ,H8,HJ;H7,H9,DQ,H2;C8,H10,CJ,H3;D9,HA,D10,H5;C9,HK,D6,CA;C10,H4,C6,D8;SK,H6,C4,C7"
1571156775,2,10,2,"CQ,CK,C2,CJ;CA,C5,C4,C9;D2,DA,D6,D5;D3,D7,SQ,DJ;S3,D8,C3,C6;S5,SA,S10,S7;SJ,S2,S6,S8;D10,D9,C8,DK;SK,S4,HK,S9;DQ,D4,HQ,HA;H8,H6,H7,H4;H9,H10,H3,C10;HJ,H5,H2,C7"
