1571661260,2,8,2,"C3,CQ,C2,C4;D2,D4,D10,D3;S2,S7,S6,S3;D6,CA,C6,C5;D8,C8,C9,C7;SQ,S9,SA,S4;DQ,D7,HA,D5;DK,H4,HQ,D9;DA,CK,H9,DJ;HJ,H3,H5,H8;H7,H2,SK,HK;H6,S8,SJ,C10;H10,S5,S10,CJ"
1571661260,2,3,2,"C3,C7,C6,C2;S5,SJ,S2,S3;S8,S6,S9,S4;C10,C4,CQ,C8;D3,D8,D9,D4;D6,C5,SQ,C9;D10,CK,HK,CJ;H2,H3,H5,DA;H6,HQ,SK,H7;H9,HA,H8,DQ;S10,D2,DJ,D5;HJ,H4,S7,H10;SA,DK,CA,D7"
1571661260,2,20,2,"C7,C5,C2,C9;D3,D7,D2,D6;DJ,DA,D4,D10;C8,C4,C6,CA;S2,SA,S6,S5;CJ,C10,H9,SQ;S3,SK,S8,S7;CQ,C3,H7,HQ;S4,HA,H4,S9;H5,H10,DK,H2;SJ,D9,D5,HJ;H8,H6,DQ,H3;HK,CK,D8,S10"
1571661260,2,8,2,"C6,C3,C2,CQ;D5,DA,D3,D2;C5,CA,C4,C8;S4,S3,S8,S2;DJ,H3,D4,D6;C7,CJ,SQ,CK;C9,SA,SK,S5;C10,S9,HK,S6;H2,H8,H4,H10;DK,HA,D7,D9;HQ,H7,HJ,DQ;H9,H5,D10,SJ;H6,S7,D8,S10"
1571661260,2,3,2,"C9,C6,C2,C5;S4,S6,S3,S5;D2,D4,D3,D9;S7,S2,SQ,S10;DJ,D7,HQ,D5;C7,CK,CJ,H9;H4,HA,CA,H2;H10,HK,DA,H3;C8,H8,SK,H5;S8,C3,CQ,H7;DQ,HJ,H6,D6;S9,C10,D10,SJ;DK,C4,D8,SA"
1571661260,2,15,2,"C5,SK,C2,C9;C8,C6,C10,HQ;H3,H9,H5,H2;D6,D3,D5,D2;D7,DA,DK,D8;CJ,CA,CQ,H8;CK,C7,SQ,DQ;D9,D10,HA,DJ;SJ,S8,S5,S3;SA,S2,S10,S4;H7,D4,H4,S9;H6,C4,HJ,S7;H10,C3,S6,HK"
1571661260,2,4,2,"C5,C4,C2,C7;C9,C3,C8,C10;S9,SJ,S3,S2;S10,S7,S6,S5;D3,DA,D2,D5;D7,D9,D6,D10;SA,S4,H10,S8;CJ,C6,CQ,SQ;H7,HJ,H2,H8;H9,H4,CA,H5;DJ,D4,D8,DK;HQ,H6,CK,SK;HK,H3,DQ,HA"
1571661260,2,21,2,"C3,C4,C8,C2;D2,D10,D6,D3;S5,S10,S4,S2;CJ,C10,C6,HQ;D9,D7,DQ,D4;H6,H3,H8,H2;SJ,S8,HK,S3;SQ,S7,HJ,S6;CQ,C5,C7,H10;CK,HA,C9,DA;SK,SA,H4,DJ;H7,H5,CA,D8;H9,S9,DK,D5"
1571661260,2,6,2,"C3,C9,C2,CJ;S3,S4,S6,SJ;C5,CQ,CK,C4;D7,D4,D9,D2;C7,D5,CA,C6;S5,D10,DJ,D3;S7,S8,S9,SK;C8,H6,SQ,C10;H5,HK,H9,H4;S10,S2,HQ,H8;SA,H3,H10,DA;HJ,H2,D8,DK;H7,HA,D6,DQ"
1571661260,2,7,2,"C4,CQ,C2,C5;S4,S3,S8,S2;C7,CA,SQ,C3;D2,DJ,D3,D6;S9,S6,S5,H9;D8,D5,D7,DA;H5,H2,H7,H3;SJ,S10,H4,S7;D10,D4,D9,CK;SK,DQ,HQ,CJ;SA,C9,HJ,C10;HA,HK,H8,C8;H6,DK,H10,C6"
1571661260,2,16,2,"C10,C4,C2,C5;S4,S3,S8,S2;D4,D10,D6,D3;S5,S9,S10,S6;D9,D2,D7,D5;C8,C6,C9,SA;DQ,H7,DJ,D8;SK,SQ,H10,S7;DA,C7,DK,HA;H2,H6,H3,H8;H4,HJ,CA,H9;HK,CK,CJ,HQ;H5,C3,CQ,SJ"
1571661260,2,0,2,"CJ,C4,C3,C2;S7,S6,S3,S2;D3,D2,D5,D4;SA,SK,S4,S5;C6,C10,CQ,SQ;C7,C5,S9,S8;D7,D9,D10,D6;D8,HJ,SJ,S10;H2,H10,H9,H3;C9,C8,CK,HK;DA,DK,DJ,DQ;HQ,H8,HA,H6;H4,H5,H7,CA"
