1571062115,3,12,0,"C10,C5,C2,C6;S2,S9,SK,S5;C7,C3,CK,CA;D4,D7,DJ,D9;S6,SJ,SQ,S7;D8,D3,DA,D2;C8,H2,S3,S8;C9,CQ,C4,CJ;DQ,D6,S10,DK;H6,HA,H10,HJ;H9,D10,H4,H7;HQ,D5,H3,H5;H8,HK,S4,SA"
1571062115,3,1,0,"CJ,C3,C10,C2;S3,S4,SQ,S2;D2,DQ,DK,D3;D6,CK,C7,C9;S8,CQ,C8,C6;D8,C4,SA,HK;H8,H2,HA,HJ;D9,H6,D5,D7;D10,C5,HQ,D4;S10,S6,SJ,H10;H9,H5,H7,H4;DJ,S5,S9,DA;SK,CA,S7,H3"
1571062115,3,8,0,"CQ,C8,C4,C2;S4,S3,SJ,S8;S5,CK,SK,S2;SQ,D2,S7,S9;C6,C9,C7,H9;CJ,D5,DJ,DK;SA,DA,D7,DQ;HA,CA,C5,H4;H8,D4,HQ,D6;H7,C10,S10,S6;H5,HK,D10,H2;H10,D8,H3,D3;HJ,H6,C3,D9"
1571062115,3,24,0,"CK,CA,C2,CQ;S7,S6,SK,S5;C5,C3,SA,CJ;D3,D10,DK,D8;C6,DJ,D7,D6;C9,C8,C10,HQ;H3,HA,H10,H2;H9,C4,SQ,H6;HJ,S2,S4,SJ;HK,DA,D2,DQ;H8,C7,D5,S10;H7,D9,D4,S9;H4,H5,S3,S8"
1571062115,3,0,0,"SK,C3,C2,C7;S2,DQ,DK,D9;C4,DA,D7,DJ;S5,S7,SQ,SJ;S10,S9,H6,S3;C9,C5,HQ,CJ;C10,HJ,H3,C8;CQ,H4,D10,C6;CK,H9,S8,CA;SA,D4,D8,D6;H7,H5,H2,S4;HA,H8,D3,D5;HK,H10,D2,S6"
1571062115,3,9,0,"C7,C3,C2,C10;D4,DK,D6,DQ;C4,CK,CJ,CQ;S2,SJ,SQ,S6;D7,DJ,D10,D2;S3,DA,S10,D9;C5,D5,S8,D3;SK,S9,S4,S5;C8,C9,C6,H8;H5,HK,HA,H4;H7,HQ,H2,H6;H9,HJ,H10,SA;CA,H3,S7,D8"
1571062115,3,5,0,"CK,CA,C3,C2;S10,SA,S8,S2;SJ,S6,S5,S7;D3,D9,D10,DJ;D8,SQ,D6,D2;C9,C10,CQ,HA;H4,H2,HJ,H7;H5,C8,H9,H8;DQ,S9,H6,S3;DK,SK,C7,H3;H10,CJ,C5,DA;HQ,S4,D5,D7;HK,C6,C4,D4"
1571062115,3,2,0,"CA,C4,C5,C2;S4,S5,SQ,S9;S7,SA,SK,S2;C6,CK,C10,HK;D2,D5,DA,DQ;D6,D9,D10,D4;C7,H4,D7,D8;H8,H5,H10,H7;H9,H2,H3,H6;S8,CQ,S10,S6;C8,CJ,SJ,C9;HA,C3,DK,D3;HQ,HJ,DJ,S3"
1571062115,3,0,0,"C3,CQ,C2,CK;S3,S2,S7,SQ;D7,DJ,DA,D3;C5,C9,C6,CJ;D10,CA,D4,D2;S4,S9,C10,S10;S5,HK,D9,S6;H7,H4,HA,HQ;C8,H2,H10,H3;SJ,H6,H8,H9;SK,C4,D8,S8;DQ,C7,D6,H5;DK,HJ,D5,SA"
1571062115,3,18,0,"CA,CQ,C5,C2;C6,C7,SA,C3;C8,C10,SQ,H10;H4,HK,HJ,H8;S4,S6,SJ,S9;D6,DQ,D4,DA;D8,SK,S8,S2;C9,S10,S3,S7;D10,D5,D3,D2;CJ,C4,DK,H7;CK,H6,DJ,H5;HA,HQ,D9,H3;H9,H2,D7,S5"
1571062115,3,1,0,"CQ,C4,C2,C5;S4,S9,SQ,S2;C8,CJ,HA,C7;D4,DK,DQ,DJ;SK,S10,S6,SJ;D7,D5,D8,D9;D10,C3,C6,SA;C10,D6,D2,DA;H2,H9,HQ,HK;CA,CK,HJ,S8;H8,H6,H10,S7;H3,C9,H5,S5;H7,D3,H4,S3"
1571062115,3,2,0,"C3,C10,C2,C6;S3,S2,SQ,S10;CA,C9,CK,CJ;D4,D9,D10,D7;D5,DA,HA,D6;HK,H2,H10,HQ;S4,SK,SJ,S9;D8,DK,D2,HJ;S5,H6,H4,H7;S6,D3,H9,S8;S7,C5,H8,H5;DQ,C7,CQ,C4;SA,DJ,C8,H3"
1571062115,3,0,0,"C4,C3,C2,C10;D9,D4,DJ,DQ;S4,S6,SA,S3;C5,CA,C7,C9;DK,D2,D3,D6;C6,H4,C8,HK;H6,HJ,H8,HQ;H7,H9,H3,HA;DA,D8,H2,D5;CJ,SK,SQ,SJ;CQ,S2,S10,S9;CK,H5,D10,S8;H10,S5,D7,S7"
