1571062139,3,13,3,"CK,C4,C7,C2;S3,S10,S8,S6;SQ,SK,SJ,S5;D5,DJ,DA,D3;D6,CA,CJ,CQ;D9,D10,D8,D2;SA,S2,S7,S4;DK,DQ,D7,HA;H3,H8,HJ,HQ;H2,H5,H10,H4;H6,S9,C10,H9;H7,C6,C8,C3;HK,D4,C9,C5"
1571062139,3,0,3,"C3,C5,C2,C7;SQ,S5,SJ,SK;D3,DK,D10,DQ;D5,SA,S9,S10;D6,S6,S3,S2;CJ,C10,C9,CA;D7,DA,D8,D9;CK,CQ,S7,H10;DJ,S8,HK,D4;H9,H3,HQ,H6;H7,C6,H4,H5;H8,C4,HJ,H2;HA,C8,D2,S4"
1571062139,3,0,3,"C6,CJ,C2,S4;S2,S10,SQ,S7;C8,HA,C10,CQ;C9,H9,C7,C3;D2,D10,DK,D9;D7,DJ,D8,D4;S5,D3,SK,D5;CK,H3,C4,C5;S9,S3,S8,S6;SJ,HQ,HJ,SA;H6,H2,H8,H10;H7,DQ,H5,DA;HK,D6,H4,CA"
1571062139,3,19,3,"C3,CJ,C2,CK;S3,S4,S6,SK;S9,SA,S5,SQ;C5,C7,C8,C10;CQ,C4,C6,C9;SJ,S10,S2,S8;DJ,DQ,DK,D9;DA,D7,D4,D3;CA,D6,D10,HK;H4,H8,H7,H6;H9,H3,H2,H5;H10,HA,D8,S7;HQ,HJ,D5,D2"
1571062139,3,21,3,"SK,C3,C4,C2;D3,DJ,DQ,D9;DK,D5,D7,D6;C6,CK,SQ,CQ;DA,D8,D2,D4;C10,C8,SJ,C9;CJ,C7,S9,C5;CA,H2,S6,H3;H9,H8,HK,S10;H5,HA,S8,H4;H10,D10,H7,S5;HQ,S7,S4,S3;HJ,SA,H6,S2"
1571062139,3,10,3,"CJ,C7,C5,C2;S3,S5,S8,S9;D5,D9,D10,DA;CQ,C8,CK,C3;CA,SQ,C4,C10;S6,S2,DQ,S4;D8,DK,DJ,D6;SJ,S10,C9,HA;SA,S7,HJ,H10;H8,HK,H3,H7;H4,H6,D7,H2;H5,SK,C6,D3;H9,HQ,D4,D2"
1571062139,3,17,3,"C8,C3,C2,CJ;D8,D5,DA,DJ;S3,S9,SJ,S5;S10,SK,S8,S7;C5,CQ,C4,CA;C7,SQ,S6,S4;D9,D6,D3,D2;C9,C6,DQ,HA;C10,H5,HK,HQ;CK,H6,H9,HJ;DK,D4,D10,H8;H4,H7,H2,H3;H10,S2,D7,SA"
1571062139,3,0,3,"C9,C3,C10,C2;S2,S6,SA,SQ;D8,CK,CJ,C4;S10,S4,S8,S9;D10,DK,DJ,DQ;SJ,S7,S3,S5;SK,C6,D9,H8;H5,D5,HJ,H7;H3,CA,H2,H4;H9,C7,DA,H6;HK,D6,H10,C8;HA,D7,D3,C5;HQ,CQ,D2,D4"
1571062139,3,6,3,"C7,C3,C2,C9;S8,SA,SK,S10;SJ,S5,SQ,S9;C10,CJ,HA,CQ;D4,D5,DK,DA;D6,C8,D10,D3;D9,S3,S6,S2;CK,C4,H8,C5;DQ,HK,D7,D2;H2,H5,H10,H6;H4,HJ,H3,H9;HQ,C6,DJ,S7;H7,CA,D8,S4"
1571062139,3,1,3,"C3,CQ,C2,C4;C7,CK,C5,C9;D6,D4,DJ,D10;D8,DK,D7,D2;S3,SJ,SA,S9;DQ,DA,HJ,D3;S7,S2,H10,S5;C10,H4,C6,CA;HK,H7,H6,H2;CJ,S10,C8,H9;SQ,S6,H3,S4;SK,S8,D9,H8;HA,HQ,D5,H5"
1571062139,3,26,3,"C4,C8,C2,C6;S2,S6,S10,SJ;D6,D2,DK,DQ;SQ,S8,S5,S3;C9,CJ,CA,CQ;D10,D9,HK,D3;C10,S9,C3,C7;DJ,D5,D8,HQ;CK,SK,H8,C5;SA,S4,S7,H10;HA,H3,H2,H9;HJ,H7,D7,H5;H6,DA,D4,H4"
