1571062198,3,20,3,"CA,C3,C4,C2;S6,SA,SJ,S5;D2,D4,DA,D8;D3,SK,S8,S9;DK,DJ,D9,D5;C5,CK,CQ,HK;C8,S2,S10,S7;C9,C6,H9,C7;H10,HQ,HJ,H7;H5,SQ,H8,S4;H6,D6,D7,H3;HA,D10,H2,C10;H4,DQ,S3,CJ"
1571062198,3,13,3,"C8,CQ,C2,C4;D8,D7,DK,D2;S2,SA,SQ,S4;C3,C6,SK,CA;S6,S7,S9,S3;D10,DA,DJ,DQ;S8,D3,HA,D4;C9,H9,HK,H3;S10,H4,HQ,H2;SJ,C5,H10,S5;C10,C7,H8,HJ;CJ,H6,H7,D9;CK,D5,H5,D6"
1571062198,3,4,3,"CJ,C5,C2,C3;SK,S9,SQ,S3;D2,DK,DQ,DJ;C9,CA,C6,C10;CK,CQ,SA,C8;D3,C7,D8,D7;D4,S5,S8,S4;D5,H3,S6,S2;H8,H9,H6,H7;HQ,H5,HK,H4;HA,H10,DA,HJ;D6,C4,S10,D10;D9,H2,S7,SJ"
1571062198,3,4,3,"CK,CJ,C2,C3;S8,SJ,S7,S9;SQ,S2,S10,S6;D3,DJ,DK,DQ;C4,C10,CQ,C9;D8,D10,D7,D2;C6,S5,C7,S3;C8,S4,D5,SA;D9,HQ,D4,D6;HJ,H7,HK,H6;H2,H10,H4,H3;H9,H5,H8,DA;HA,CA,C5,SK"
1571062198,3,0,3,"C4,C5,C2,C3;D2,DJ,D10,DQ;D4,D5,D7,D9;C8,C9,CJ,C10;D6,DA,SA,D3;CA,C7,C6,CK;S5,S2,SQ,SK;S7,H4,S9,CQ;HJ,H3,HQ,H5;HA,HK,H10,H2;S10,S8,S4,H9;SJ,S6,S3,H7;DK,D8,H8,H6"
1571062198,3,4,3,"CA,C5,C2,CK;S7,S3,S5,S2;C3,C6,C8,SA;S8,S6,S4,S9;SJ,C10,HA,S10;C4,C9,H7,HJ;H10,H3,H5,H9;C7,CJ,H4,H6;D10,DK,DQ,DJ;SQ,D2,D9,D8;CQ,D3,D4,D5;SK,HK,DA,D6;HQ,H8,D7,H2"
1571062198,3,17,3,"CJ,C6,C9,C2;S6,S8,S9,S2;D2,DA,DQ,D7;S7,SK,SJ,HA;S10,S3,H10,HK;D9,D5,D6,DJ;H3,H5,H4,H6;H8,H2,C10,H7;D10,DK,D3,D8;CK,S4,C5,HQ;CA,SQ,C4,CQ;HJ,SA,D4,C8;H9,S5,C3,C7"
1571062198,3,26,3,"CA,C3,C2,CQ;S2,SK,S8,S4;D4,DQ,D2,DK;CJ,C5,C8,C4;S6,S3,SJ,S5;SQ,S10,HK,S7;DJ,D3,HJ,D10;CK,HQ,C7,C10;DA,D9,H9,D8;SA,HA,S9,H2;H7,H5,H6,C9;H10,D7,H4,C6;H8,D6,H3,D5"
1571062198,3,0,3,"CA,C6,C2,C9;D3,D4,DK,DQ;S7,S6,SQ,S2;C5,C10,C8,C3;D6,D9,CQ,D10;SK,SJ,S8,S3;D7,D2,CJ,HA;C7,H7,C4,CK;H5,H9,HK,H2;H8,H4,H6,HJ;H10,D8,H3,HQ;DJ,SA,S10,S4;DA,D5,S5,S9"
1571062198,3,6,3,"C4,CQ,C2,C8;S3,SJ,S10,S2;D3,DJ,DA,D6;S7,S5,S4,S6;C5,CK,C7,C9;S8,SQ,SK,SA;CJ,C10,C6,C3;D10,D5,D9,D4;DQ,D7,D2,HA;DK,D8,HQ,H5;HJ,H8,H10,H4;H7,HK,H9,H3;H2,H6,S9,CA"
1571062198,3,22,3,"C3,CQ,C2,CK;D4,D8,DA,DQ;S6,S7,SJ,S5;SK,S4,D10,S2;C4,CJ,C9,C7;C5,SA,D9,S10;C8,C6,D6,CA;D7,DK,D5,D3;C10,S9,D2,S8;HJ,S3,HK,H6;H4,H9,H10,H5;H7,HQ,H3,H2;HA,SQ,H8,DJ"
