1571062268,3,22,2,"C3,CQ,C2,CJ;S2,S3,S4,S8;S5,SJ,S6,S10;S7,SA,DA,S9;C7,C6,C5,C4;D5,D4,DQ,D6;DJ,D9,D10,D2;CA,CK,D7,C8;H3,H8,HK,H5;H2,HJ,SK,H7;H4,HA,HQ,DK;H9,D8,D3,C10;H6,SQ,H10,C9"
1571062268,3,3,2,"CA,SA,C2,CQ;SQ,S10,S2,S5;C3,C6,C9,HK;D3,D8,D2,DJ;D5,D10,D9,D6;C4,S8,SK,S3;D7,DQ,DK,D4;H4,H10,HJ,H3;H5,H2,H7,H6;CJ,S4,SJ,S6;CK,C10,DA,C7;HQ,HA,H9,S9;H8,C5,C8,S7"
1571062268,3,3,2,"CA,C4,C2,C5;S2,S10,S4,S5;C3,C10,CJ,C6;S3,SJ,S8,S9;D2,C8,SA,C7;D9,DQ,D10,D4;DJ,D6,D8,HA;SQ,S7,H9,H8;SK,S6,H7,H6;DK,D5,D7,H2;DA,HQ,D3,CK;HK,HJ,H4,CQ;H5,H10,H3,C9"
1571062268,3,6,2,"C3,C10,C2,C4;C6,CA,C5,C9;D4,D10,DA,D2;S5,S10,S2,S7;S8,S3,SQ,S4;CK,CQ,CJ,C7;D5,D7,SJ,D3;D8,S6,S9,SK;DJ,D6,HJ,D9;DQ,H3,H10,HK;DK,H4,H9,H8;H6,HQ,H2,H5;HA,C8,H7,SA"
1571062268,3,18,2,"C4,CA,C2,C3;S2,SQ,S3,SJ;D3,DA,DK,D8;D7,D6,D9,D10;S8,S6,CJ,S4;C5,C7,C10,C8;DJ,D5,HQ,D2;C6,CQ,H10,CK;S9,H9,H7,S5;DQ,H6,D4,H8;SA,H2,H5,S7;HJ,HA,H4,SK;HK,C9,H3,S10"
1571062268,3,5,2,"CK,C8,C3,C2;C5,C7,CJ,C6;S4,S6,SQ,S3;DQ,DJ,D4,D10;S8,S5,S7,S9;DK,DA,D9,D8;SK,SA,S2,S10;C9,D6,D2,HQ;H7,HJ,H2,H3;HA,H5,D7,H4;C10,HK,C4,H9;CQ,H8,D5,H6;CA,H10,D3,SJ"
1571062268,3,0,2,"C4,C3,C2,C10;D4,D8,DA,D2;S9,S8,S2,S3;C6,CQ,CA,C5;SA,S10,S6,S5;C7,C9,CK,SQ;C8,D3,D6,DK;CJ,D10,D7,D5;H10,S4,S7,SJ;H3,HQ,HA,H2;H6,H5,SK,H8;H7,H4,DQ,H9;HK,DJ,D9,HJ"
1571062268,3,14,2,"CK,C3,C2,C6;C5,C10,C4,CQ;D3,DK,D7,DA;D6,D2,D10,DQ;D9,D4,HA,D5;S3,S2,SK,S4;S5,SA,S6,S8;S7,S9,S10,SJ;H4,H2,HQ,H5;H6,H10,HK,H3;C7,CA,SQ,C8;H9,DJ,D8,CJ;H8,H7,HJ,C9"
1571062268,3,0,2,"C3,C5,C2,C8;S3,S4,SA,S2;SQ,S10,S8,S7;D4,D2,D10,D9;C10,CA,C6,C4;D5,S5,S9,SJ;CJ,H5,D8,C7;DJ,D3,D7,DQ;CQ,HQ,D6,C9;DK,HJ,H7,DA;H8,H3,H6,HK;H10,S6,H4,SK;H9,HA,H2,CK"
1571062268,3,4,2,"C3,C7,C2,CJ;S4,S2,S6,S5;S7,S8,S9,S3;D4,D3,DQ,D2;C4,CA,C9,C5;SJ,S10,D9,SQ;D10,D7,D8,D6;C8,C6,D5,C10;SK,DJ,HQ,CQ;H4,HK,HJ,H10;H6,DK,H9,DA;H5,H3,H7,CK;HA,H8,H2,SA"
1571062268,3,17,2,"C4,C7,C2,CA;S3,S2,SK,S5;S7,S8,S6,S4;D3,D7,DA,D2;C10,C3,C8,CJ;D4,D6,D8,D10;CQ,CK,C9,C5;DQ,D5,D9,DJ;S9,SQ,C6,S10;H6,H7,HA,H2;H10,HJ,H9,H3;HQ,H8,H4,SA;SJ,H5,HK,DK"
1571062268,3,7,2,"C4,C8,C2,C9;S5,S9,SK,S6;S8,S2,S10,S3;D2,D6,DK,D3;SA,SQ,SJ,S4;D8,D9,DQ,D4;CJ,C3,CK,CQ;DJ,H9,D5,D7;CA,C6,C10,HJ;H5,H6,H2,H3;H8,H7,D10,H4;HK,HA,S7,H10;HQ,C5,C7,DA"
1571062268,3,2,2,"CA,C3,C2,C4;S6,S2,S3,S5;D2,DQ,DJ,DA;S8,S7,SA,S4;C8,HA,C5,C10;D6,D4,HQ,D8;H10,H2,H3,H5;D7,D5,D3,HJ;D9,D10,HK,H6;S9,H4,H7,CQ;CJ,H8,SJ,H9;CK,SK,C7,C6;DK,SQ,C9,S10"
