1571156551,3,5,1,"C5,C10,C2,C3;S2,S4,SK,S3;D3,DJ,D2,DA;D4,D10,DQ,D8;S7,SJ,CK,S5;CJ,C8,C4,C6;D7,S9,D5,DK;S10,H5,CQ,S6;D9,H10,D6,HA;SQ,HK,HQ,S8;SA,H4,H8,H6;H2,H7,C9,H3;H9,HJ,C7,CA"
1571156551,3,21,1,"CJ,C4,C2,CQ;C7,C6,C8,C5;S2,S5,S9,S4;D2,D4,DJ,D5;S7,S3,SK,S6;CK,CA,C3,C9;D3,DK,D10,DA;S10,H7,S8,SA;H3,H4,HK,H2;HJ,HA,H6,H5;D7,C10,H10,HQ;SJ,DQ,D9,H9;SQ,D8,D6,H8"
1571156551,3,21,1,"C4,C6,C2,CK;S9,S10,SA,S5;C7,C8,C5,CJ;D2,D5,D7,D10;D4,S6,SJ,S2;D6,DJ,SQ,D9;D8,S3,S4,SK;C10,H4,C3,C9;DK,DA,HA,DQ;H3,HJ,HK,H6;H5,HQ,H9,H2;CA,S8,S7,H10;H8,D3,H7,CQ"
1571156551,3,0,1,"C3,C7,C2,C4;C5,C9,C8,C6;CQ,CJ,SQ,CK;S4,S6,SA,S5;D4,D6,D10,D9;S9,SK,S2,S8;D5,C10,D8,CA;SJ,S3,D7,S10;DJ,S7,D2,DQ;H10,HJ,D3,DK;H3,H8,HQ,H2;H5,H4,H7,H6;HA,HK,H9,DA"
1571156551,3,13,1,"CQ,C8,C3,C2;S9,S5,S3,S2;C4,CA,C10,C9;DJ,D10,DA,D2;S10,HQ,S4,S8;C5,CJ,C6,SQ;SJ,DK,D3,D4;CK,D9,SA,D8;SK,D6,C7,DQ;H2,H8,HA,H4;H5,H7,HJ,H3;H10,D5,HK,S6;H9,D7,H6,S7"
1571156551,3,6,1,"C5,C8,C2,CA;S7,SK,SJ,S5;S9,DA,D10,DQ;S10,S6,S3,SQ;C10,D2,C7,C4;CJ,S4,C3,C6;CK,S8,D9,C9;SA,DJ,S2,HK;HJ,HA,H7,H3;H9,D3,D4,HQ;H8,D8,H10,D5;H2,H4,D7,H6;H5,DK,D6,CQ"
1571156551,3,17,1,"C6,C5,C3,C2;D8,D10,D2,DA;D9,D3,DJ,DK;S2,S9,S5,S3;C9,C10,SQ,C8;CJ,D4,D5,DQ;SJ,C7,SA,S6;CA,D7,S7,S4;HQ,H3,S10,S8;H8,HA,H4,H6;HK,C4,H9,CQ;H10,H2,H7,H5;HJ,CK,D6,SK"
1571156551,3,5,1,"CJ,C3,CQ,C2;S3,S10,SA,S6;D4,D8,D2,DQ;D6,D5,D9,DJ;S4,CK,C9,C4;SJ,S7,SQ,S8;D7,C10,HQ,C5;H2,H7,HA,H4;H3,H9,H5,H8;DK,D3,C8,D10;DA,H10,C7,HJ;H6,S2,C6,SK;HK,CA,S5,S9"
1571156551,3,0,1,"CK,C3,C2,CQ;D6,D4,DA,D2;S2,S4,S3,S5;S8,H4,S6,S7;C4,C5,CJ,CA;H5,H2,H9,H3;SQ,H8,SJ,S9;C6,C8,C9,H7;D8,D9,D5,DK;C7,H10,D7,D3;SA,HK,DQ,D10;HA,HQ,SK,C10;HJ,H6,DJ,S10"
1571156551,3,3,1,"C4,C6,C2,CQ;S8,S10,SK,S6;C10,C3,C5,CA;D4,D8,D2,DA;D5,H8,D3,D6;H2,H4,H5,H3;CJ,SA,C8,C7;D7,S4,SQ,D10;H6,H9,HK,H7;D9,S2,HJ,S3;DJ,S9,CK,S5;H10,HQ,SJ,DQ;DK,HA,S7,C9"
1571156551,3,0,1,"CJ,C10,C2,C5;S6,S2,S4,S3;C4,C6,DK,CK;D6,D4,DQ,D3;SJ,D2,SQ,S5;D8,D10,D7,D9;C9,C8,S10,HJ;CQ,C7,HA,H9;SA,H4,S7,SK;DA,H10,D5,DJ;CA,C3,H5,H6;HK,H8,S9,H2;HQ,H7,S8,H3"
1571156551,3,4,1,"CJ,C5,C2,CK;C3,C9,C4,C7;CA,CQ,S10,C8;S6,S8,S5,S3;DJ,D9,D4,D5;S9,S7,S4,SK;DQ,D8,D3,D7;SQ,SJ,S2,SA;DK,D6,D2,D10;DA,H9,HQ,HJ;H6,H3,H8,H7;H5,HK,H10,H2;HA,C6,H4,C10"
1571156551,3,8,1,"CJ,C7,C2,CK;D5,DA,D10,D9;D8,D6,D7,DQ;S4,SA,SK,S3;S8,S5,S7,SJ;C5,C4,C6,C8;CQ,C3,S6,C9;S9,DJ,S2,SQ;S10,D4,D3,C10;DK,H4,D2,CA;H2,HQ,H9,H3;H10,H5,H8,H7;HK,HA,H6,HJ"
