1571156656,3,20,3,"CK,C4,C8,C2;S5,S10,S2,SJ;C9,C6,C7,C5;D5,D3,DQ,D4;D6,D8,SQ,D2;S6,S3,SA,S4;D7,CQ,C10,C3;DA,DK,DJ,H6;S8,CJ,HA,S7;SK,H9,HQ,S9;H3,HK,H10,H2;H5,H8,D10,H4;HJ,H7,D9,CA"
1571156656,3,12,3,"CQ,C8,C6,C2;S3,S9,S2,S6;D2,D9,D4,D6;D3,D5,SA,D8;D7,S8,S10,S4;D10,SJ,S5,S7;CK,C3,C4,CA;DJ,H9,C10,SQ;H2,HJ,H10,H6;DQ,DA,H5,HA;H3,HQ,C9,H7;H4,HK,C7,H8;DK,CJ,C5,SK"
1571156656,3,14,3,"C3,CQ,C2,C4;S3,S9,S5,S2;D5,D7,DK,D6;S6,SQ,S8,S4;D8,D2,DJ,DQ;C5,CA,CJ,C6;C8,DA,D4,HA;H8,H9,HJ,H3;HK,H10,H4,H2;C9,D10,C7,CK;SK,D9,S7,S10;C10,H5,H7,HQ;SA,D3,H6,SJ"
1571156656,3,4,3,"CK,C3,C2,CQ;S2,S8,S3,S6;C6,CA,C7,C4;D4,D10,DK,D2;S10,S5,S4,S9;D7,DJ,D9,D6;D8,D5,D3,H9;DQ,DA,SK,H8;H4,H3,HA,H5;SA,SQ,S7,SJ;H10,HK,CJ,H6;HJ,H2,C10,C8;HQ,H7,C9,C5"
1571156656,3,4,3,"CK,C7,C2,C6;S4,S6,S2,S9;S7,S3,S5,SJ;C9,C10,C8,C5;D6,D4,DJ,D5;D9,D7,DQ,D10;SQ,S8,D3,S10;SA,D2,C3,SK;DA,D8,HQ,DK;H10,HK,HJ,H6;H4,CQ,H9,CA;H3,CJ,H7,H8;H5,C4,H2,HA"
1571156656,3,4,3,"C6,CK,C2,C4;S10,SA,S3,S2;D8,DQ,DA,D4;SJ,S7,S8,S4;C7,C5,C8,C3;SQ,S5,S9,S6;C9,C10,DK,HA;D9,DJ,D2,D5;CJ,D10,D7,HK;CQ,CA,HQ,H10;H2,H3,H7,H4;H9,H5,H6,D3;HJ,H8,SK,D6"
1571156656,3,6,3,"C5,C9,C2,C7;S2,S5,SA,S7;S6,S10,S8,S3;C10,C8,C3,CK;D3,D7,DQ,D6;SJ,HK,SQ,S4;H5,H10,DJ,H2;HJ,HQ,CJ,H4;D5,H7,S9,H9;D9,H6,C6,SK;D10,H8,C4,HA;CQ,D8,D4,CA;DK,H3,D2,DA"
1571156656,3,8,3,"CA,C3,C5,C2;S7,S10,S2,S3;C10,C9,C4,C8;D4,D3,D9,D7;S8,S6,S4,S5;D5,DA,D2,D8;D6,C7,C6,SK;SJ,CK,CQ,H5;H2,HK,HQ,H3;H7,HA,H6,DK;H9,H8,H4,DJ;SQ,H10,SA,S9;DQ,HJ,D10,CJ"
1571156656,3,2,3,"CJ,C8,C3,C2;S2,S10,S5,S3;S4,SQ,SA,S7;C7,C10,CK,C9;D4,D5,DQ,D2;D6,D3,D9,D10;CA,C4,HA,C5;S6,S9,S8,SJ;H8,H10,HQ,H2;HK,H5,H3,H6;D8,D7,HJ,H7;DJ,DA,H9,H4;DK,CQ,C6,SK"
1571156656,3,0,3,"C5,CA,C2,CK;D2,DQ,D3,D9;S5,SJ,SQ,S8;D4,D10,D5,D8;S10,SA,S7,S9;D6,D7,C7,DK;C8,S4,C6,C10;C9,HQ,C3,CJ;H6,H7,HJ,H2;HA,H3,H4,H9;CQ,DJ,C4,HK;SK,S3,S6,H10;DA,H5,S2,H8"
1571156656,3,10,3,"C10,CA,C2,C4;S4,S10,S8,S2;D6,D5,D8,SQ;CJ,C9,C6,C8;S5,SK,S9,HA;D7,DK,D3,HK;D9,DQ,H5,HJ;D10,DJ,H3,H9;H2,H4,S7,H6;H7,H10,S6,H8;SJ,DA,C5,CK;SA,D2,S3,CQ;HQ,D4,C3,C7"
1571156656,3,0,3,"C4,C8,C2,C7;D2,DK,D10,D6;CQ,C3,CK,C10;S8,S9,S7,S3;S10,S5,SK,SQ;D3,D5,D9,D8;D4,S2,S4,SA;HJ,H10,H8,H3;DJ,C9,D7,HQ;DQ,C5,H6,H9;DA,C6,H2,H7;CA,HA,CJ,H5;HK,SJ,S6,H4"
1571156656,3,20,3,"C7,C9,C2,CK;D2,D7,DQ,D5;S5,SA,S4,S2;D3,DK,DJ,D9;S7,S6,SJ,S8;CA,CJ,C3,C8;D6,D10,D4,SK;S9,SQ,C6,H10;H5,H4,HA,H2;H6,HJ,H3,H8;D8,H7,H9,CQ;S10,HK,C10,HQ;DA,S3,C5,C4"
