1571156772,3,22,2,"CJ,C10,C2,C4;D4,D8,DK,D3;S6,SQ,S3,S2;S8,S4,SJ,S7;CK,CA,C3,C5;SA,S5,DQ,SK;D6,DA,D5,D7;D9,S10,D2,H7;D10,C6,HJ,C7;H5,HA,H10,H2;DJ,S9,H8,H6;HQ,C9,H4,C8;HK,H9,H3,CQ"
1571156772,3,0,2,"CK,C3,C4,C2;S2,S6,S10,S5;D8,DQ,DJ,D2;S4,S3,SA,SQ;C6,C10,C5,CQ;D9,D5,D3,D7;C7,SJ,C9,C8;DK,H6,D6,D4;CJ,H7,HA,HJ;CA,S8,HQ,H8;DA,S7,H10,D10;H9,H3,SK,H2;HK,H4,S9,H5"
1571156772,3,2,2,"C6,C3,C2,C5;D2,D7,DA,D3;S10,S2,SK,S4;DJ,D9,DQ,D4;SQ,S9,H9,S5;C4,C9,HQ,C7;C8,CK,HJ,C10;H4,H2,H10,H3;H8,H6,H7,H5;CQ,HA,S8,CJ;DK,D10,D8,D5;SA,S3,S6,CA;HK,SJ,S7,D6"
1571156772,3,21,2,"CK,C4,C5,C2;S3,SQ,S2,S6;C9,CJ,C7,CQ;D4,DK,DA,D2;DJ,D7,D3,DQ;S4,D8,D5,D6;C10,C8,SA,CA;S8,S10,S9,S5;SJ,C6,D9,H10;H4,HA,HK,H2;H9,C3,H8,H3;HJ,H5,H6,SK;HQ,H7,S7,D10"
1571156772,3,1,2,"C4,C9,C2,C8;S4,S8,S3,S2;SQ,S9,S5,S6;D2,D5,DK,D3;C10,C7,C5,C3;D8,D10,SA,D6;D9,CQ,SK,CJ;DJ,C6,S7,CA;DQ,DA,HK,D7;H5,H4,HJ,H3;H10,H8,H6,H2;HA,CK,H9,SJ;HQ,D4,H7,S10"
1571156772,3,1,2,"C4,CA,C2,C7;S3,S2,S10,S4;D4,D8,D2,D3;C8,C9,C5,C3;D5,D10,CK,D6;S7,S8,S6,SQ;DK,DA,CJ,D7;S9,DQ,C6,HQ;H9,H2,HA,H6;HK,CQ,H7,H3;C10,DJ,H8,HJ;SJ,S5,H5,SA;SK,D9,H4,H10"
1571156772,3,0,2,"C9,CA,C2,CQ;CJ,CK,C3,C6;S2,S5,SQ,S3;D9,DJ,D3,D8;S9,S7,S8,H7;D10,D4,D6,D7;SJ,S10,D5,DA;DQ,HQ,D2,DK;SK,S6,H10,C4;HA,HJ,H9,C5;H6,HK,H8,C7;H4,S4,H5,C8;H2,SA,H3,C10"
1571156772,3,13,2,"CK,C3,C4,C2;S7,SQ,S3,S8;C5,C10,C7,CJ;D6,DK,DQ,D2;S9,S2,SK,S4;D7,C6,DJ,D3;D9,SJ,CQ,S5;H7,H2,H5,H10;H9,H4,C9,HQ;D10,H3,C8,S6;CA,H6,D8,S10;HA,H8,D5,SA;HJ,HK,D4,DA"
1571156772,3,1,2,"C4,C3,C2,C9;S3,S8,S10,S7;S9,S2,SJ,S4;D4,D3,DA,D2;SQ,S5,SK,S6;D7,D6,DQ,D5;D9,D10,HJ,D8;H9,H2,HK,H4;CJ,H8,H5,HQ;CK,C7,C5,C8;DJ,HA,CA,H7;DK,H3,CQ,H6;SA,H10,C10,C6"
1571156772,3,7,2,"C5,C6,C2,CJ;SK,S6,SJ,S3;C7,C4,C10,C8;SA,S10,S4,S2;D8,D7,DJ,D2;DQ,S5,H10,S8;CK,S7,H8,S9;H2,H7,H6,H5;H4,HK,HQ,DK;HJ,H9,D6,CQ;DA,D10,D3,D4;CA,H3,C3,C9;HA,SQ,D5,D9"
1571156772,3,4,2,"CA,C7,C2,C3;C4,D5,CQ,CK;D4,D3,D2,DQ;DJ,D7,D8,D9;C6,H6,CJ,SA;HQ,HA,H5,H3;S8,S5,SQ,S7;SJ,S4,S10,S2;C8,H2,C5,HK;C9,S3,H9,HJ;C10,H10,H7,H8;SK,S9,S6,DA;DK,H4,D6,D10"
1571156772,3,23,2,"CQ,C4,C6,C2;S3,SQ,S9,S2;D2,D10,DK,D4;C8,CA,C5,C3;D3,DJ,D7,D8;D6,DA,D5,HJ;S7,C10,HK,C9;D9,DQ,H10,H9;SK,C7,H3,CJ;H2,HA,SJ,H4;H7,HQ,S10,H5;SA,S5,S6,H6;H8,S8,S4,CK"
