1571659340,3,22,3,"C6,C3,C2,C4;S6,SA,S2,S3;D6,DQ,D3,D2;S8,S5,S10,S4;D8,D5,D7,D4;D10,D9,DJ,DA;SK,H3,SJ,S7;CJ,HJ,C5,C7;CQ,H5,C10,C8;CK,H8,CA,C9;H2,HQ,H7,H6;H10,HA,H9,HK;DK,H4,SQ,S9"
1571659340,3,6,3,"C4,C7,C2,C5;C3,S8,S2,S7;D3,S5,S3,SJ;D4,CQ,C6,C8;D8,S6,S4,SK;DJ,C9,CK,CJ;DQ,D2,DK,D5;H3,C10,DA,CA;H4,HJ,D10,H5;H6,HA,S10,H7;H10,SQ,S9,SA;H8,H2,D7,H9;HK,D9,D6,HQ"
1571659340,3,20,3,"C6,C4,C2,CQ;S4,SQ,S3,S2;D3,D4,D7,D2;D5,D6,HA,D8;H2,H9,H7,H5;C3,C5,CJ,C8;S7,SA,S6,S8;S9,S5,SK,S10;C7,DJ,HK,D9;H6,H3,DA,HJ;C9,CA,DK,C10;H8,H4,DQ,CK;H10,HQ,D10,SJ"
1571659340,3,4,3,"C7,C9,C2,C10;SJ,S9,S3,S2;D2,D8,D3,D9;SQ,S7,S6,S4;C3,C5,C8,CQ;C6,SA,S8,S5;D10,S10,HA,SK;H5,H10,H2,H8;CJ,C4,CA,CK;DQ,D5,DK,D4;H6,H4,DJ,H9;HQ,H3,D7,HJ;HK,H7,D6,DA"
1571659340,3,0,3,"C5,C3,C2,CK;S5,S2,S8,S9;D3,D5,D4,D2;S10,S3,HA,SQ;H6,H3,H4,H2;C4,C8,CJ,C7;D9,D7,D8,D6;C6,SJ,HQ,C9;H9,H5,H8,H7;C10,S4,HJ,CQ;SK,DA,DJ,D10;CA,S7,DK,SA;H10,S6,DQ,HK"
1571659340,3,25,3,"C8,C3,C2,C9;D3,D6,D4,D7;S7,S5,S4,S3;C6,C4,CJ,C5;D10,D2,D8,D5;C7,HJ,CQ,C10;S8,S2,SJ,S6;H6,HQ,H8,H2;S10,DA,DK,H10;SQ,DQ,HA,H7;H9,HK,SA,H3;SK,DJ,CK,H5;CA,D9,S9,H4"
1571659340,3,0,3,"C5,C4,C2,CQ;D5,D3,D7,D4;S3,S7,S5,S2;S9,SA,S4,S6;D8,D6,D9,SQ;CK,C3,C7,C6;D10,DJ,DK,HA;H7,H2,H5,H3;S10,H8,S8,SJ;DQ,H6,C8,C9;DA,HK,CJ,C10;H10,H9,CA,H4;HQ,D2,HJ,SK"
1571659340,3,8,3,"C9,C5,C2,C8;D8,D6,D7,D2;C6,CQ,C3,H10;SA,S7,S3,S4;C7,CK,C4,H9;D9,S2,S6,S5;H3,HJ,H5,H2;C10,S8,S9,SJ;CJ,DA,D10,D3;H4,S10,HA,DK;H8,H7,H6,DQ;HQ,SQ,CA,D5;HK,SK,DJ,D4"
1571659340,3,0,3,"C3,C6,C4,C2;S3,S9,S6,S8;D4,SJ,S7,SK;C5,CJ,C8,C9;D7,DA,D2,DJ;D9,S5,S10,SA;CA,C10,CQ,CK;D10,D8,D3,HA;DQ,S4,D5,HQ;DK,H7,D6,HJ;H6,H5,H2,H3;H9,C7,HK,H8;H4,S2,H10,SQ"
1571659340,3,0,3,"C3,C5,C2,C7;D4,D3,D2,D5;S2,S5,S9,S3;C4,C8,C9,C6;S6,S8,SQ,S4;D6,DJ,DQ,D8;S7,H8,HA,S10;H2,H6,H4,H9;H3,H7,H5,H10;D9,D7,D10,DK;SJ,C10,CA,SK;HQ,HJ,CK,HK;DA,CQ,CJ,SA"
1571659340,3,13,3,"C5,C3,C9,C2;D2,DQ,D3,D10;CJ,C10,C6,C7;D4,DJ,DA,DK;S6,S8,S3,S2;S9,D8,SQ,SA;CA,CQ,C8,HQ;S10,D7,S5,S4;SJ,HJ,H10,S7;HK,D5,H3,H2;H7,D6,H4,H5;HA,D9,H9,H6;H8,C4,CK,SK"
1571659340,3,26,3,"C4,C6,C5,C2;S9,S8,S2,S3;D4,D7,D3,D8;SA,S7,S4,S6;D5,D2,D6,DJ;D9,C3,C9,C7;D10,SJ,S10,S5;DQ,DK,DA,SQ;HQ,H2,C8,C10;H4,H3,H7,HK;H6,HA,CJ,CQ;H5,H8,H10,CK;H9,HJ,SK,CA"
