1571665076,3,4,2,"C3,C4,C2,CJ;D2,D9,D3,D10;S3,SK,S4,S2;C8,C7,C5,C10;S6,S9,S5,SQ;C9,CQ,CA,CK;DQ,D4,DK,D5;H6,H9,H2,H5;DA,DJ,D7,HA;S8,S7,SJ,HK;H7,H3,H8,H4;H10,D6,SA,HJ;S10,C6,D8,HQ"
1571665076,3,4,2,"C8,C5,C2,CA;S5,S6,S2,S8;D6,DA,D3,D2;C4,C6,C9,C7;D7,DJ,D5,D4;S7,S10,S4,SQ;DQ,H2,D8,D10;SJ,S3,S9,H8;SK,C3,HJ,H7;SA,H9,H10,H3;H6,HA,CQ,CK;H5,HQ,C10,DK;HK,H4,D9,CJ"
1571665076,3,0,2,"DK,C8,C2,C9;S5,SA,S4,S2;D2,D4,D6,D7;S9,SJ,SQ,S3;C10,C3,HA,C4;D3,D8,DJ,D10;CK,H9,HQ,C5;D5,HK,H8,H10;D9,SK,H7,H6;DQ,H3,CQ,S10;DA,HJ,CJ,S8;CA,H5,C6,S7;H4,H2,C7,S6"
1571665076,3,4,2,"C8,CQ,C2,C9;D5,DQ,D4,D2;CK,C7,C3,C10;D6,DK,D10,SK;D7,C4,C5,CJ;S7,S4,S2,S3;D8,D3,DA,HK;H8,H9,H3,H2;HJ,H4,H5,H7;D9,HA,SQ,HQ;S10,S9,S6,S5;DJ,C6,H6,SJ;SA,H10,CA,S8"
1571665076,3,4,2,"C4,C10,C2,C3;D10,D2,D6,D4;S5,S2,S9,S7;DJ,D3,D9,D7;S8,S4,SQ,H9;H2,HQ,H7,H3;C9,SJ,SK,DA;HA,D5,DQ,D8;H4,H5,CJ,C5;H6,SA,DK,H10;H8,S10,C6,CQ;HJ,S6,C7,CK;HK,S3,C8,CA"
1571665076,3,16,2,"C3,C4,C2,C5;D4,DQ,D2,D3;S2,C9,HJ,C6;H2,H4,H3,HQ;S6,S3,S5,S7;D10,CA,H10,C8;SQ,CK,H6,C10;SK,CJ,SJ,CQ;H9,S4,S9,S8;H8,D8,DJ,D5;H5,C7,D9,HK;HA,S10,D6,DK;H7,SA,D7,DA"
1571665076,3,1,2,"C8,C4,C2,C10;S4,S8,S9,S2;D2,DJ,D4,D3;C6,C9,CK,C5;D9,S5,DA,D5;SJ,SA,HK,S3;CQ,C3,HQ,CA;H9,H8,H4,H3;DQ,H10,D6,HA;SQ,CJ,H6,S6;DK,C7,D7,H7;SK,H5,D10,S7;HJ,H2,D8,S10"
1571665076,3,20,2,"C3,C9,C5,C2;S5,S10,S2,S3;D2,S8,S6,SJ;C6,CQ,C8,CK;D3,D5,D4,DK;C7,S4,S7,SK;D7,DJ,D8,DA;H6,HJ,S9,SA;H2,HA,SQ,H4;H8,C4,C10,HK;H9,D10,HQ,D9;H3,D6,DQ,H7;H10,CA,H5,CJ"
1571665076,3,8,2,"C4,C8,C3,C2;D6,DJ,D5,D3;DK,D2,D9,D4;S3,S2,SK,S4;C6,CA,C10,C5;S5,S6,H8,SJ;DA,D10,DQ,D7;S7,S8,H7,HA;H2,HQ,H5,H9;S9,SA,H6,HK;H10,H4,CK,HJ;CJ,H3,C9,D8;SQ,S10,C7,CQ"
1571665076,3,18,2,"C6,C4,C10,C2;S4,S8,S5,S2;CJ,C3,C8,C5;D4,D10,D7,D3;S10,S3,S6,SJ;DQ,D2,DK,D5;SQ,SK,HQ,S7;H2,H10,H4,H3;CK,D8,DA,D6;H8,H6,H7,H5;CA,C9,CQ,C7;SA,HJ,S9,DJ;HA,H9,HK,D9"
1571665076,3,17,2,"C3,CQ,C2,C10;D2,DA,D6,D4;S5,S3,S2,S6;D3,D10,D8,D5;D9,D7,HQ,DQ;H4,H6,H7,H5;S9,S10,S7,S4;C4,C9,C6,SQ;DK,DJ,H10,HK;C5,H3,C7,HJ;C8,HA,H8,H9;CJ,H2,CA,SK;SA,S8,CK,SJ"
1571665076,3,1,2,"C4,C3,C2,CJ;CK,CQ,C5,C8;S2,S5,S3,S4;D4,D8,D2,D9;D5,CA,C7,C9;S8,C6,C10,HK;DA,D6,D10,D3;SQ,S6,S10,HQ;SK,S9,SJ,HJ;H7,H2,H3,H6;HA,SA,H4,H8;H5,S7,DJ,H10;H9,DK,D7,DQ"
