1571903950,3,15,1,"C6,C3,C7,C2;D2,D8,D7,D3;S8,S4,S5,S2;C8,C5,C10,C4;S10,S6,S7,S3;D4,D5,D9,D10;H10,SK,S9,SJ;H7,H3,H5,H2;H4,H9,DK,H8;DQ,SQ,HA,D6;HQ,CQ,CA,C9;CK,HJ,HK,DJ;CJ,SA,H6,DA"
1571903950,3,0,1,"C3,C7,C4,C2;D3,D2,D6,D4;S6,S2,S3,S4;D7,DQ,DJ,D5;C5,C8,C10,C9;SA,DK,D9,D8;S7,S9,SJ,S5;C6,CQ,CA,CJ;HJ,SQ,S8,S10;H6,H2,H3,H5;H4,H7,HQ,H9;H10,HA,H8,HK;CK,DA,SK,D10"
1571903950,3,5,1,"C5,C3,C6,C2;S6,S2,S10,S3;D4,D10,D2,D5;C7,CQ,C8,C4;D6,DQ,D3,D7;S7,HJ,S4,S8;H4,H3,H9,H2;S9,SQ,H8,S5;H5,SA,H10,H6;HK,CA,SK,SJ;CK,C9,DJ,C10;HQ,D8,DK,DA;H7,D9,CJ,HA"
1571903950,3,0,1,"C3,C9,C10,C2;D2,D3,D4,D8;S8,S2,S5,S9;DK,D5,D6,D10;C6,SA,CQ,C4;SJ,S3,S6,S10;C8,HQ,HA,C5;H5,H2,H9,H4;H7,H10,H3,HJ;SQ,DQ,HK,C7;SK,DJ,H8,CJ;S7,D9,H6,CK;S4,D7,DA,CA"
1571903950,3,21,1,"C5,SK,C4,C2;S4,S6,S2,S3;C3,C6,HA,C7;D2,D4,D3,D8;H2,H4,H3,H9;CQ,C8,HK,C9;HQ,H6,H10,H5;DQ,D9,D6,D5;S9,S7,DA,S5;SQ,D7,H8,D10;HJ,DJ,SJ,DK;H7,C10,S10,CK;SA,CJ,S8,CA"
1571903950,3,0,1,"C4,C5,C3,C2;D3,D5,D4,D2;S9,S3,S6,S2;DJ,D7,D8,D6;HK,S4,S10,S5;C10,CQ,C7,C6;H7,HJ,H4,H2;CJ,CK,C8,C9;H8,HA,H5,H3;S8,HQ,S7,SK;SQ,H9,H10,CA;SJ,H6,DK,SA;DQ,D10,D9,DA"
1571903950,3,0,1,"C8,C3,C5,C2;D7,D2,D6,D4;C6,CK,C9,C4;SJ,S5,S6,S2;C7,CJ,CA,C10;HA,SK,S10,S3;D3,DJ,DQ,D8;H8,H2,H4,H3;D5,SQ,DK,D9;H10,H7,S9,H5;H9,S8,H6,HQ;HK,S7,HJ,D10;SA,S4,CQ,DA"
1571903950,3,14,1,"C4,C5,C6,C2;D2,D3,D6,D4;S7,S2,S3,S6;D9,D5,DQ,D7;C10,C3,C7,C9;S4,S5,SJ,S9;S10,HK,S8,SQ;H5,H7,H3,H2;CK,HA,CA,C8;H9,H8,H4,H6;D8,DA,D10,DK;HQ,CQ,HJ,H10;CJ,SK,SA,DJ"
1571903950,3,0,1,"C5,C7,C3,C2;D5,D4,D2,D6;S2,S4,S3,S8;D8,DJ,D3,D9;S9,S10,S5,S6;S7,HJ,SA,SJ;SQ,C4,C8,C6;H8,H2,H7,H3;HA,D10,DQ,D7;H10,H5,CA,H4;HK,C10,CJ,C9;HQ,H9,CK,H6;SK,CQ,DK,DA"
1571903950,3,7,1,"C4,C6,C3,C2;D3,D4,D7,D2;S8,S2,S9,S3;D10,D6,D5,D9;HA,S6,S10,S4;H5,H8,H6,H2;C7,SA,C5,C8;SQ,DK,DA,D8;CA,HQ,SK,S5;H7,DQ,H10,H3;HK,H9,C9,CJ;HJ,SJ,C10,CQ;H4,S7,DJ,CK"
1571903950,3,15,1,"C9,C3,C7,C2;S4,S6,S9,S2;DK,D2,D3,D4;SJ,S7,S10,S3;C10,C6,HA,C4;D6,H10,SQ,D5;H9,HQ,D10,D7;CQ,H7,C5,CJ;H5,H6,DJ,D8;H8,H3,H2,HJ;SK,H4,CA,HK;DQ,S5,CK,SA;D9,S8,C8,DA"
1571903950,3,4,1,"C5,C3,C4,C2;S9,S2,S4,S3;D5,D2,D3,D4;S5,SA,S10,S7;C10,C8,C6,C7;DJ,DQ,D8,D6;HQ,SJ,SQ,S6;H5,H2,H3,H7;H9,H4,H10,H8;HA,DA,D9,D7;C9,HJ,CJ,CQ;H6,DK,HK,S8;CA,D10,CK,SK"
1571903950,3,7,1,"C3,C9,C4,C2;S5,S4,S3,S2;D6,D3,D2,D5;SK,C10,C7,C5;D7,DK,D4,D10;HK,CJ,C8,C6;H2,H3,H9,H4;HA,SJ,S7,S6;DA,HQ,H6,H5;HJ,D9,CA,D8;CK,DQ,H7,H8;S8,S10,H10,SQ;S9,DJ,CQ,SA"
