1570081276,0,16,0,"C3,C6,C5,C2;D2,DA,DQ,D7;SQ,S5,SJ,S10;D8,C4,D3,D6;S6,S7,C10,SA;S8,S4,S3,C7;DJ,D4,HK,D9;C8,HJ,H9,C9;H4,H8,H6,H3;S2,CA,CJ,S9;SK,CK,H2,DK;D5,HA,H7,D10;CQ,H10,HQ,H5"
1570081276,0,26,0,"CQ,C2,C3,C7;SA,S3,S5,S4;C8,CA,C5,S2;S10,C10,SJ,SK;D8,D2,D6,D5;D4,DJ,DK,D7;DQ,D10,D9,DA;S6,S7,SQ,H8;S8,S9,CJ,H4;C4,H5,HQ,C6;H3,H6,H2,CK;HJ,H9,HA,C9;H10,D3,H7,HK"
1570081276,0,0,0,"CJ,C2,C3,C9;D9,DQ,D7,D5;CA,CK,C4,C8;DJ,D6,DK,D2;D3,D4,DA,D10;C7,C6,CQ,SK;HA,H7,C5,H9;S4,S8,S6,S10;S3,SJ,HK,SQ;S5,S7,H3,S2;HQ,H5,H2,H10;D8,HJ,H8,C10;H4,H6,S9,SA"
1570081276,0,6,0,"C9,C2,C10,C7;S8,S10,SQ,SA;S4,S3,S2,SK;D5,DJ,DQ,D9;D10,H2,D4,DA;C5,C8,CA,C3;HK,C6,C4,HQ;HA,H3,H10,H5;S7,D3,H6,D6;D2,H9,S6,D8;SJ,S9,CQ,S5;HJ,H8,DK,H7;CJ,D7,H4,CK"
1570081276,0,1,0,"C4,CK,C2,C6;DK,D2,D7,D5;D9,D6,D10,D4;S2,S9,S3,S8;HJ,SJ,SQ,SK;HQ,H4,H3,H6;H9,H8,H5,H7;SA,S5,CQ,S10;C3,C9,C8,C7;S6,S4,CA,S7;DA,DJ,D8,H10;HK,C10,CJ,H2;C5,DQ,HA,D3"
1570081276,0,4,0,"C6,C2,C7,C9;C3,CK,D5,C5;DJ,D7,DQ,D6;S5,S9,SQ,S7;S2,S4,SJ,S6;CJ,C10,CA,H7;H2,H9,H4,HA;HQ,H8,D9,H10;S3,SK,SA,H3;C4,D2,D10,C8;D3,HK,H6,CQ;S8,D4,H5,S10;DA,D8,HJ,DK"
1570081276,0,17,0,"C5,C2,C7,CA;SQ,S6,SA,S3;S9,SJ,S4,SK;D10,DQ,DK,D5;C4,CJ,C10,C3;C8,C6,C9,D7;H5,H9,CQ,D4;H2,HK,H10,H4;S8,S5,HQ,S10;D6,D9,D3,HA;CK,H7,H8,S2;DA,HJ,D8,D2;H3,DJ,S7,H6"
1570081276,0,5,0,"C9,C2,C8,C7;D5,D4,DJ,D3;C5,C10,C6,CK;CQ,C3,CA,D10;SQ,S8,S3,S2;DQ,DK,D7,H10;SJ,S9,S7,HA;H7,H4,H5,H9;HQ,H8,H2,S4;DA,S10,H6,D8;D2,S5,C4,D9;D6,SA,S6,HK;SK,CJ,H3,HJ"
1570081276,0,2,0,"C6,C2,C10,CQ;SJ,S5,S4,S6;D8,D6,DQ,D2;CK,C5,C4,CA;S7,S8,SA,SQ;C8,C7,CJ,DJ;SK,S10,S9,H3;D10,D5,D4,D9;S2,C9,S3,HA;H7,HK,H4,H2;DK,H9,HJ,D3;HQ,H8,H6,H10;C3,D7,H5,DA"
1570081276,0,18,0,"CJ,C10,C2,CQ;SA,S5,SJ,S9;D3,D10,D6,D7;C8,CK,C7,C5;S4,S6,S8,SK;S3,H6,H8,SQ;HK,H2,DA,H9;HJ,HQ,D5,H7;S7,DK,DJ,S2;H3,HA,C6,C4;H10,H4,C9,H5;D8,DQ,CA,D9;C3,D4,S10,D2"
1570081276,0,2,0,"C5,C2,CQ,C4;D10,D8,D3,DA;DQ,D2,D7,D6;SK,SA,SQ,S4;CJ,CK,H3,C6;S8,S2,H7,S3;H9,HQ,H5,H4;C8,C10,D5,C3;SJ,S9,S5,HJ;H2,HK,S6,H8;C9,D4,DK,C7;H10,HA,CA,S7;DJ,D9,H6,S10"
1570081276,0,20,0,"C4,C3,C2,CJ;SK,SQ,S6,S10;D9,DJ,DA,D2;S8,S2,S5,SJ;S3,S7,D10,S4;D4,D5,D7,D6;C9,CQ,C8,C6;SA,S9,H5,H6;CK,DQ,H3,C7;H10,HK,H8,HJ;D3,C10,H4,DK;CA,H7,HA,D8;C5,H2,HQ,H9"
